sample,value
0,0.0000000000
1,2233.1404367853
2,2211.4592446636
3,2237.1190472983
4,2273.6194459938
5,2258.0402801085
6,2232.8051606184
7,2201.1550904697
8,2234.3027274969
9,2271.5183820150
10,2259.4037365203
11,2234.4591897081
12,2201.8032910589
13,2225.8090646039
14,2270.4678500256
15,2256.6097684633
16,2230.9052623397
17,2202.8314713039
18,2224.7585326145
19,2264.5446377450
20,2251.5582742164
21,2232.6486984073
22,2205.6254393608
23,2227.4407419492
24,2262.8012016775
25,2242.9081491122
26,2217.8071400889
27,2191.7673577985
28,2229.6535646502
29,2278.5144780295
30,2255.6486434518
31,2225.8314163484
32,2197.3552939123
33,2231.0617245509
34,2275.5193442725
35,2263.3823470333
36,2233.5874716744
37,2209.3805324293
38,2232.9616228296
39,2278.7826989630
40,2268.1209168578
41,2243.8022188905
42,2212.9568115421
43,2235.4650182086
44,2271.3172163149
45,2248.0266985925
46,2227.0831140379
47,2201.9597532701
48,2226.3231547264
49,2266.5339430015
50,2250.1724660602
51,2235.0403350640
52,2204.6196108603
53,2222.4563029356
54,2266.4445360237
55,2245.5456549580
56,2212.4874249086
57,2190.0686252199
58,2222.0092680465
59,2269.9090564143
60,2249.7254311711
61,2241.6340996783
62,2218.2765267225
63,2228.8936053388
64,2267.2715505685
65,2251.5135707275
66,2225.5631954149
67,2194.6507328332
68,2216.7119046106
69,2262.8459051664
70,2252.3182335279
71,2236.3814397313
72,2209.0899597514
73,2227.0831140379
74,2263.9187889002
75,2244.6292334353
76,2217.0695325219
77,2195.9247822672
78,2217.7624366000
79,2278.0003879071
80,2266.1316116013
81,2237.4096199762
82,2210.5204713965
83,2232.1793117737
84,2281.8001844645
85,2267.6515302243
86,2242.4387624787
87,2216.4436836772
88,2233.2298437631
89,2280.6825972417
90,2269.1043936139
91,2236.1132187978
92,2213.8508813203
93,2236.9402333427
94,2288.4610043122
95,2277.7992222070
96,2248.7643061595
97,2220.3999424457
98,2239.1530560438
99,2285.1082426439
100,2280.5931902639
101,2250.1054108269
102,2223.2386139916
103,2250.3959835048
104,2298.2957718725
105,2286.2034781222
106,2264.1646580892
107,2235.1967972752
108,2250.8206666494
109,2299.4133590953
110,2293.1995741367
111,2267.3386058019
112,2240.3376984999
113,2251.5806259609
114,2301.8720509853
115,2289.5562397905
116,2263.2482365666
117,2230.7935036175
118,2250.1277625713
119,2301.0673881850
120,2293.9818851926
121,2276.4134140507
122,2256.3862510188
123,2270.0655186254
124,2317.1382924483
125,2308.2870016440
126,2283.5436205320
127,2248.9878236041
128,2267.7185854576
129,2309.2928301445
130,2321.8768622728
131,2298.7875102505
132,2259.1578673313
133,2269.3949662918
134,2315.0595802140
135,2325.2072721967
136,2294.4289200817
137,2259.2249225646
138,2277.5086495291
139,2338.3724496809
140,2326.4366181417
141,2301.5814783074
142,2279.9449896747
143,2286.8740304558
144,2351.8058480985
145,2348.6989556192
146,2317.2500511706
147,2288.4833560566
148,2299.5698213064
149,2347.2460922296
150,2339.3112229480
151,2313.9866964801
152,2290.4503095687
153,2303.6154870529
154,2349.9283015643
155,2350.9117783203
156,2329.9011385323
157,2304.5542603200
158,2312.7349987906
159,2356.3432522229
160,2351.3364614649
161,2332.2704234446
162,2306.9458969767
163,2321.8545105284
164,2378.8738106339
165,2373.3082262645
166,2340.4735136597
167,2319.4181703828
168,2332.3821821668
169,2389.6920549502
170,2380.3713775124
171,2355.2927202335
172,2329.4988071321
173,2335.3773159238
174,2383.7464909251
175,2384.1041188364
176,2367.3626622394
177,2337.0984002469
178,2343.7592200946
179,2399.1915463437
180,2395.7940811865
181,2366.5803511835
182,2345.3908974398
183,2357.6843568902
184,2407.8416714480
185,2400.2197265887
186,2373.1070605644
187,2346.9555195517
188,2352.0070137986
189,2406.0311801471
190,2405.8523661914
191,2380.3937292568
192,2352.1634760098
193,2363.5852174264
194,2416.1788721298
195,2414.5695465290
196,2391.0331596176
197,2359.8077726135
198,2367.5191244506
199,2414.7707122291
200,2411.9543924277
201,2390.3849590284
202,2366.9826825837
203,2374.1128890649
204,2428.2711658801
205,2434.3061368830
206,2401.4714242782
207,2374.2693512761
208,2380.3043222790
209,2423.2196716332
210,2427.7347240132
211,2403.5724882570
212,2386.6298659599
213,2386.6075142154
214,2442.0845439535
215,2439.7376107857
216,2413.6307732619
217,2378.7397001671
218,2384.6182089589
219,2437.5024363401
220,2440.8328462640
221,2412.9602209282
222,2384.5958572144
223,2389.2897235500
224,2454.7579830596
225,2463.3634046749
226,2431.2215961482
227,2402.8348806900
228,2399.4597672772
229,2449.6170818349
230,2450.1535237018
231,2428.9640699582
232,2405.7629592136
233,2404.2430405906
234,2458.0883929835
235,2460.7929540626
236,2437.1895119178
237,2399.7950434440
238,2401.5831830005
239,2458.6248348504
240,2461.9999482632
241,2437.1895119178
242,2410.5909360160
243,2407.1487673698
244,2460.1671052178
245,2468.1243262439
246,2447.8736457674
247,2423.0632094220
248,2422.8620437219
249,2479.3225502160
250,2482.4964979287
251,2452.9027882699
252,2423.3761338444
253,2422.4150088328
254,2476.9309135593
255,2485.3798729634
256,2460.8823610404
257,2432.9203287268
258,2430.4839885812
259,2478.3390734600
260,2481.9600560618
261,2454.9144452708
262,2426.5947850460
263,2425.9018809678
264,2490.3866637214
265,2501.1378528044
266,2477.4673554262
267,2451.3381661580
268,2438.7988375186
269,2489.0232073096
270,2497.1145388024
271,2466.4255936653
272,2441.9504334868
273,2441.6375090644
274,2485.2681142411
275,2489.7161113877
276,2466.2914831986
277,2443.8503317655
278,2443.4032968763
279,2487.4585851978
280,2495.5052132017
281,2471.2535704677
282,2442.8445032650
283,2430.5957473035
284,2486.9891985642
285,2487.2574194977
286,2472.1476402459
287,2450.2876341686
288,2443.8950352544
289,2503.9318208613
290,2514.8841756444
291,2485.6033904080
292,2450.1088202129
293,2448.7453638012
294,2489.5596491766
295,2501.7860533936
296,2467.7666983326
297,2456.1884947048
298,2444.3420701435
299,2495.4158062238
300,2514.5936029665
301,2483.4576229403
302,2452.9698435032
303,2440.0505352081
304,2489.9396288323
305,2500.3331900040
306,2484.4858031852
307,2463.2292942082
308,2457.8201720500
309,2507.9104313744
310,2524.7189432048
311,2489.0455590541
312,2455.1826662043
313,2446.5772445890
314,2496.4216347243
315,2503.7083034168
316,2474.0698902690
317,2451.3605179024
318,2443.4256486208
319,2501.8978121159
320,2516.5382047341
321,2486.2515909972
322,2458.6695383393
323,2452.5451603586
324,2502.1436813049
325,2506.0999400735
326,2478.0261490376
327,2453.2157126922
328,2444.2973666546
329,2505.8540708845
330,2517.6557919569
331,2494.5440881901
332,2463.8551430530
333,2448.1418667009
334,2497.1815940358
335,2502.1660330493
336,2477.2214862372
337,2448.4771428677
338,2439.6705555523
339,2498.6344574254
340,2513.8559953995
341,2485.2010590078
342,2457.0378609941
343,2447.2477969227
344,2496.5557451911
345,2506.4799197292
346,2477.8473350820
347,2448.6112533344
348,2437.9718229737
349,2490.0066840657
350,2513.1854430658
351,2490.6325329104
352,2463.3634046749
353,2445.1690846883
354,2494.4993847012
355,2500.9813905932
356,2470.8512390675
357,2445.1243811994
358,2430.9310234703
359,2482.8094223511
360,2498.2544777697
361,2480.6189513944
362,2457.9989860057
363,2438.4188578628
364,2488.1514892759
365,2495.3711027349
366,2466.1573727318
367,2444.0067939766
368,2432.6074043044
369,2479.9483990608
370,2503.5965446945
371,2475.5898088920
372,2452.1204772139
373,2443.7162212987
374,2473.9581315468
375,2483.6364368959
376,2475.0757187695
377,2437.5024363401
378,2421.2750698656
379,2478.2273147377
380,2493.5606114341
381,2466.2467797097
382,2448.2759771676
383,2430.8192647480
384,2474.6510356249
385,2497.3157045025
386,2477.8026315931
387,2443.4703521097
388,2428.4276280913
389,2469.8901140559
390,2487.0562537976
391,2465.9115035428
392,2447.6948318118
393,2431.0427821926
394,2469.2642652111
395,2480.7977653501
396,2454.5791691040
397,2434.6190613054
398,2415.3071540960
399,2458.4460208948
400,2485.7375008747
401,2466.5373523876
402,2439.1117619409
403,2421.2303663767
404,2475.8133263365
405,2495.9745998352
406,2463.6316256084
407,2436.5636630730
408,2419.6433925204
409,2464.9727302757
410,2487.3915299644
411,2464.1457157309
412,2443.2915381541
413,2429.7016775252
414,2471.9688262902
415,2491.8395271110
416,2461.5082098851
417,2421.9903256882
418,2406.5899737585
419,2447.5383696006
420,2473.2875792131
421,2451.7181458137
422,2424.0690379225
423,2409.8309767045
424,2461.1282302294
425,2486.0280735526
426,2456.6578813383
427,2430.8416164925
428,2403.5724882570
429,2444.5432358436
430,2461.0835267405
431,2437.1895119178
432,2422.1020844104
433,2414.3460290844
434,2459.0718697395
435,2477.6014658930
436,2445.0126224771
437,2423.4655408222
438,2397.6939794652
439,2434.9319857278
440,2464.9056750424
441,2439.3129276410
442,2405.7182557247
443,2382.4500897467
444,2435.4237241058
445,2467.3196634435
446,2438.6647270518
447,2416.1118168964
448,2391.0555113620
449,2426.5947850460
450,2460.2118087067
451,2432.5850525600
452,2407.0817121365
453,2379.0302728451
454,2425.4548460787
455,2464.0786604975
456,2452.6122155919
457,2415.2400988627
458,2390.6084764729
459,2421.2527181211
460,2449.7064888127
461,2426.4606745792
462,2404.1759853573
463,2376.0574908325
464,2415.7094854962
465,2451.3828696469
466,2436.7871805176
467,2406.3441045694
468,2378.1362030669
469,2424.4713693227
470,2449.2594539236
471,2420.3139448540
472,2392.8660026629
473,2376.7727466551
474,2420.1127791539
475,2451.0252417356
476,2427.0865234240
477,2400.6891132223
478,2376.7056914217
479,2417.3188110970
480,2453.9756720037
481,2424.0019826891
482,2388.1274328384
483,2356.5891214119
484,2401.0020376446
485,2440.9893084752
486,2414.8377674625
487,2389.3120752945
488,2371.3636244969
489,2405.0700551355
490,2441.3469363865
491,2414.6813052513
492,2385.4452235037
493,2359.6960138912
494,2400.0185608886
495,2439.0447067076
496,2416.7376657412
497,2390.7649386841
498,2363.7416796376
499,2398.0292556321
500,2431.6015758039
501,2405.1147586244
502,2374.7610896541
503,2355.4491824447
504,2387.2333630602
505,2419.3304680980
506,2398.4315870323
507,2374.4705169762
508,2354.2868917330
509,2394.9894183862
510,2427.6229652909
511,2403.1701568568
512,2375.3422350099
513,2346.0167462846
514,2379.2761420341
515,2417.6764390083
516,2399.4821190217
517,2373.2188192867
518,2348.8554178304
519,2378.0020926001
520,2404.1312818684
521,2393.2683340631
522,2363.7640313821
523,2334.6844118457
524,2367.2285517727
525,2398.8786219214
526,2369.6648919183
527,2356.0079760561
528,2330.9740222662
529,2358.0643365460
530,2404.1759853573
531,2383.7688426696
532,2360.0312900581
533,2327.2189291977
534,2366.6250546724
535,2399.8173951885
536,2373.5764471980
537,2340.2052927262
538,2329.1188274764
539,2361.9535400812
540,2396.2411160756
541,2375.1857727987
542,2351.0905922759
543,2328.7611995651
544,2355.9409208227
545,2384.2158775587
546,2362.4229267148
547,2340.7640863376
548,2312.8244057684
549,2341.3228799490
550,2389.1779648278
551,2375.8786768769
552,2345.8602840734
553,2321.2957169170
554,2347.5143131631
555,2383.0982903359
556,2365.5745226830
557,2333.7232868342
558,2304.7107225312
559,2341.0099555266
560,2387.3451217824
561,2371.3859762413
562,2342.0828392604
563,2312.4444261127
564,2338.1265804919
565,2380.4160810013
566,2353.0128422991
567,2324.8943477743
568,2293.4901468146
569,2330.3928769103
570,2374.8281448875
571,2359.1819237688
572,2337.9701182807
573,2303.6825422862
574,2326.8389495419
575,2372.7717843976
576,2352.0070137986
577,2318.5017488601
578,2288.2151351232
579,2325.2519756856
580,2372.5035634641
581,2347.8048858410
582,2319.2840599160
583,2294.5406788040
584,2320.6922198167
585,2357.0138045566
586,2334.1032664899
587,2307.6164493104
588,2278.6709402407
589,2306.6553242988
590,2352.9234353213
591,2340.6746793598
592,2316.7583127926
593,2289.2433153681
594,2311.2374319121
595,2350.6435573868
596,2327.3530396644
597,2302.6767137857
598,2279.2744373410
599,2300.1509666623
600,2349.5259701641
601,2346.6649468738
602,2311.6174115679
603,2278.5368297740
604,2298.6086962949
