freq_hz,power
0.000000,643.4466419331
0.100000,3180.1721796390
0.200000,238.2534952633
0.300000,12.9998555186
0.400000,111.4540506628
0.500000,37.3165408286
0.600000,107.5021204634
0.700000,198.1409835698
0.800000,755.3072729077
0.900000,4114.3304420768
1.000000,5735.3993105873
1.100000,1194.4085697629
1.200000,31.2223463252
1.300000,499.9061220430
1.400000,389.1036086207
1.500000,140.5556851784
1.600000,1108.0435467075
1.700000,1459.4130169937
1.800000,827.1543357268
1.900000,3072.3788822945
2.000000,1630.3608141684
2.100000,97.0553471316
2.200000,501.2044719621
2.300000,323.3983505538
2.400000,249.7263926768
2.500000,289.6273185013
2.600000,148.9210220866
2.700000,159.7437289181
2.800000,239.6633177461
2.900000,566.9746518854
3.000000,461.2719741290
3.100000,855.0843212954
3.200000,1634.0404304663
3.300000,447.3899280499
3.400000,87.9258320720
3.500000,114.9848535983
3.600000,125.7380536588
3.700000,208.7224286573
3.800000,235.0352925881
3.900000,874.7469311758
4.000000,224.0413598729
4.100000,455.4955272878
4.200000,371.1488816027
4.300000,78.0038643596
4.400000,130.3505314143
4.500000,508.9879749912
4.600000,284.6793129874
4.700000,70.5598926183
4.800000,596.6256261536
4.900000,1667.2033732143
5.000000,717.0456911964
5.100000,79.8709733583
5.200000,661.2420152808
5.300000,280.5618548601
5.400000,179.9047285783
5.500000,434.9468397991
5.600000,128.5442762852
5.700000,101.2000634278
5.800000,66.0047483818
5.900000,74.8932688504
6.000000,68.8016469779
6.100000,335.7780413135
6.200000,60.7327882132
6.300000,188.7235664208
6.400000,220.5385337286
6.500000,259.4439507928
6.600000,620.7170830788
6.700000,1948.9968804468
6.800000,4917.9975260852
6.900000,2986.3017176293
7.000000,248.0440135911
7.100000,412.9066726572
7.200000,295.9637604475
7.300000,250.1976586988
7.400000,234.9882386290
7.500000,421.9280348281
7.600000,1793.6460885354
7.700000,10946.0518726786
7.800000,24142.8634360335
7.900000,6251.3167630553
8.000000,660.7479565303
8.100000,225.4816860118
8.200000,773.2365081738
8.300000,867.0932674914
8.400000,1208.0756381103
8.500000,743.9131699588
8.600000,160.5383548711
8.700000,3762.8639998954
8.800000,11243.3234687712
8.900000,5819.0405130127
9.000000,80.7829687319
9.100000,64.7549804043
9.200000,247.6627106996
9.300000,265.4485411804
9.400000,462.5957691010
9.500000,31.1187099204
9.600000,224.0118716245
9.700000,796.2141613008
9.800000,1391.4615491924
9.900000,276.3398296892
10.000000,342.4799332053
10.100000,398.9890260397
10.200000,37.9706203463
10.300000,296.6118229234
10.400000,219.6588328765
10.500000,24.9949953040
10.600000,10.5332788653
10.700000,64.9835744555
10.800000,187.7408730362
10.900000,50.9695460672
11.000000,268.5561413009
11.100000,87.4646201750
11.200000,109.5940266166
11.300000,85.8437711805
11.400000,36.6255429440
11.500000,266.2474287252
11.600000,697.6625820244
11.700000,1023.6970396236
11.800000,284.9767620529
11.900000,233.4456707851
12.000000,93.3331568614
12.100000,9.0781265743
12.200000,47.3795251033
12.300000,186.0647536873
12.400000,124.3172225483
12.500000,753.3686023817
12.600000,1888.0749222541
12.700000,2907.6231168034
12.800000,1325.9531194399
12.900000,708.4062621463
13.000000,380.9590297402
13.100000,101.7170961286
13.200000,18.3339829369
13.300000,235.9322184064
13.400000,364.3805638829
13.500000,237.8141132771
13.600000,1064.0507343584
13.700000,564.6920811371
13.800000,126.1459838155
13.900000,12.9106260450
14.000000,170.5591004502
14.100000,141.1804376108
14.200000,1.3539818129
14.300000,226.1705096061
14.400000,2.2258632355
14.500000,669.7742717057
14.600000,2428.3779209827
14.700000,2102.1288502729
14.800000,205.1293326849
14.900000,60.3703412213
15.000000,19.7839858208
15.100000,3.4313597563
15.200000,38.8446655689
15.300000,20.4578276618
15.400000,60.6432810485
15.500000,5771.6812247700
15.600000,16235.4410268174
15.700000,4919.4484155860
15.800000,165.6791077359
15.900000,42.6664095975
16.000000,487.5363850444
16.100000,287.3090149454
16.200000,289.4981199122
16.300000,255.4615109895
16.400000,882.4683041326
16.500000,2768.1874833842
16.600000,10535.6327788401
16.700000,4430.0140126115
16.800000,86.6342564022
16.900000,356.4132373078
17.000000,280.1995486752
17.100000,388.9178572415
17.200000,731.1952660180
17.300000,74.4432130255
17.400000,276.1082524711
17.500000,561.1403099245
17.600000,2511.3559181452
17.700000,435.0719793053
17.800000,148.4471616828
17.900000,605.9202477131
18.000000,1440.1580160451
18.100000,909.6851361170
18.200000,268.6580648051
18.300000,58.0281068367
18.400000,99.0868165764
18.500000,854.7981655353
18.600000,1798.1821821119
18.700000,349.4642341891
18.800000,169.3365125737
18.900000,207.3131508423
19.000000,552.2671609980
19.100000,100.8243883805
19.200000,736.3920534078
19.300000,443.8186101775
19.400000,141.1727165300
19.500000,404.4067456646
19.600000,133.7168826769
19.700000,64.0236691095
19.800000,589.8492255710
19.900000,1129.1010774950
20.000000,188.0255677134
20.100000,51.7988838395
20.200000,286.2463872888
20.300000,373.6187067523
20.400000,247.5346039276
20.500000,1151.4039614311
20.600000,566.6855395514
20.700000,29.4210037824
20.800000,27.6013509196
20.900000,95.9646258173
21.000000,95.2287609276
21.100000,2.8520917098
21.200000,302.0917824243
21.300000,724.4590559984
21.400000,58.1050720026
21.500000,501.5777304427
21.600000,164.3698854681
21.700000,104.9073445947
21.800000,105.0765853598
21.900000,33.7974587888
22.000000,290.9494647912
22.100000,544.8928231329
22.200000,424.6262796516
22.300000,599.0276632529
22.400000,1875.6810645651
22.500000,1778.7300605853
22.600000,211.1892742535
22.700000,1627.6952913629
22.800000,1023.8196330818
22.900000,912.1886422664
23.000000,891.7047178811
23.100000,158.9377835667
23.200000,129.7850584151
23.300000,3367.0901200835
23.400000,13271.3691388215
23.500000,2496.4898251890
23.600000,350.3968291237
23.700000,741.5085728507
23.800000,602.6994410576
23.900000,258.7086164367
24.000000,197.6198385093
24.100000,808.5249239312
24.200000,317.1301398680
24.300000,6907.9925198130
24.400000,23889.0050931704
24.500000,9191.1839156658
24.600000,536.1711039140
24.700000,110.8411160240
24.800000,248.2571882888
24.900000,512.0712720669
25.000000,532.2659734181
25.100000,363.3069021844
25.200000,939.4632397744
25.300000,2942.7940433129
25.400000,2326.0753419712
25.500000,19.3579833654
25.600000,441.3888394110
25.700000,244.9761392572
25.800000,628.4308228025
25.900000,1042.4864258655
26.000000,468.7421006266
26.100000,261.2656017923
26.200000,221.6892763090
26.300000,5.6974394457
26.400000,318.6008150081
26.500000,1121.6491888911
26.600000,826.5622673749
26.700000,230.6921535927
26.800000,22.0347334450
26.900000,418.6437439876
27.000000,275.7352025098
27.100000,272.2104684128
27.200000,23.5633268352
27.300000,343.4119845652
27.400000,1128.1016221748
27.500000,605.5542115199
27.600000,274.1198923531
27.700000,149.1617795424
27.800000,156.8157774486
27.900000,128.2965062533
28.000000,270.1977074815
28.100000,567.5454213636
28.200000,492.5591293195
28.300000,1046.9252028990
28.400000,1196.8187466629
28.500000,412.2035591349
28.600000,123.2387778781
28.700000,417.6200901034
28.800000,1011.1104538920
28.900000,279.3094226897
29.000000,616.1851409457
29.100000,259.8078716887
29.200000,95.9981195447
29.300000,449.4502647769
29.400000,466.6562806290
29.500000,456.7882137337
29.600000,52.3228898616
29.700000,260.9459049299
29.800000,1081.0900247271
29.900000,652.2449264117
30.000000,214.9733170347
30.100000,77.3758310894
30.200000,262.4755930506
30.300000,391.9480230601
30.400000,213.7992433855
30.500000,123.9633600623
30.600000,43.6972089968
30.700000,49.4557968721
30.800000,230.4218433166
30.900000,33.6209811892
31.000000,460.4937199978
31.100000,181.1959211856
31.200000,4026.9065943243
31.300000,1663.7190786272
31.400000,80.0983321381
31.500000,43.0721650133
31.600000,27.9440811379
31.700000,349.6307464066
31.800000,402.9963324113
31.900000,288.9714277634
32.000000,93.8515240419
32.100000,11556.4517966364
32.200000,28207.7504494580
32.300000,10378.2712876140
32.400000,35.4897742767
32.500000,100.6798444809
32.600000,78.2653062708
32.700000,159.8755159662
32.800000,10.7147601405
32.900000,137.8438384777
33.000000,325.4565270627
33.100000,115.2723618629
33.200000,2161.2720444431
33.300000,719.3029856287
33.400000,516.7199304191
33.500000,226.0291655954
33.600000,242.0268616527
33.700000,354.5077674486
33.800000,370.5413286099
33.900000,1226.8962260890
34.000000,1576.8529626694
34.100000,2758.3205448992
34.200000,1694.5202781683
34.300000,357.6031834395
34.400000,209.3994832793
34.500000,69.0551335131
34.600000,299.6787729206
34.700000,510.6345273494
34.800000,472.1032349250
34.900000,433.6562157351
35.000000,148.0714463162
35.100000,581.5121940428
35.200000,249.0536703773
35.300000,219.8149312442
35.400000,330.5355284361
35.500000,62.3428995374
35.600000,153.4056363111
35.700000,92.2315602840
35.800000,183.7844428730
35.900000,508.1723241777
36.000000,16.0908965637
36.100000,787.7255148682
36.200000,368.9665685912
36.300000,135.3089303802
36.400000,526.6837430631
36.500000,163.1123742554
36.600000,282.7679783355
36.700000,447.3475766008
36.800000,494.6749491637
36.900000,49.0735132574
37.000000,163.8802021526
37.100000,490.6322816083
37.200000,1194.9795757373
37.300000,554.7958029774
37.400000,127.1665633739
37.500000,558.4603477537
37.600000,363.3204523315
37.700000,504.5307360181
37.800000,448.0326751539
37.900000,270.8099115385
38.000000,240.3890068528
38.100000,177.0356100041
38.200000,64.5575515269
38.300000,322.6641391134
38.400000,301.2244094846
38.500000,94.5208688558
38.600000,176.8322692941
38.700000,190.5822312731
38.800000,308.5073067087
38.900000,433.3228592041
39.000000,995.3986793237
39.100000,2136.5186259595
39.200000,438.2921758794
39.300000,78.7516597191
39.400000,202.3728390130
39.500000,78.9273718258
39.600000,266.7998115238
39.700000,184.1726990040
39.800000,226.0635480619
39.900000,1575737.8459327146
40.000000,5916623.8844044097
40.100000,1377417.4637451647
40.200000,152.3561583154
40.300000,146.4681309575
40.400000,30.5529588171
40.500000,441.8318259911
40.600000,563.1647103319
40.700000,38.7860304213
40.800000,4.8854998732
40.900000,1958.2318290198
41.000000,7496.7810716596
41.100000,2178.0495702417
41.200000,312.4554007254
41.300000,831.2155602468
41.400000,327.3756973257
41.500000,846.3948034580
41.600000,187.6379271833
41.700000,0.6211487044
41.800000,206.6583643459
41.900000,1554.6143541861
42.000000,1269.7489160961
42.100000,358.1617557926
42.200000,249.2524666560
42.300000,506.3351239384
42.400000,613.8602349837
42.500000,331.5105334448
42.600000,843.0724177217
42.700000,580.3276548146
42.800000,233.9797508634
42.900000,895.3894154151
43.000000,1930.0613431702
43.100000,1656.9501196520
43.200000,687.9131857706
43.300000,0.3578609894
43.400000,629.5907092618
43.500000,490.1305285034
43.600000,11.5588897364
43.700000,269.6045989299
43.800000,323.9360745113
43.900000,424.6893181952
44.000000,139.1780856143
44.100000,74.8920450729
44.200000,164.1186251787
44.300000,715.2646810156
44.400000,320.1464797940
44.500000,309.1629775301
44.600000,989.8629386565
44.700000,82.0773147813
