sample,value
0,11736.6551442927
1,11821.5023662451
2,11845.3516775789
3,11794.3673484763
4,11736.0739989369
5,11722.0594551634
6,11819.3342470329
7,11836.9474216637
8,11783.4373454377
9,11740.6561065502
10,11722.6182487748
11,11808.7842236500
12,11821.1000348449
13,11779.1681622467
14,11737.7727315155
15,11730.5307663120
16,11837.7297327196
17,11864.9988609551
18,11806.4596422267
19,11748.4568653651
20,11728.0050191885
21,11802.2128107801
22,11826.6879709587
23,11799.1059183009
24,11738.5103390825
25,11705.8991439222
26,11803.3080462585
27,11839.3837618093
28,11785.8736855833
29,11721.0983301518
30,11724.2275743756
31,11822.7987674235
32,11843.4741310446
33,11813.7686626635
34,11749.6638595657
35,11722.5735452859
36,11828.3867035373
37,11853.5547677940
38,11820.2953720445
39,11767.1429237298
40,11737.4374553487
41,11812.9416481187
42,11823.2681540570
43,11770.6968510982
44,11727.1109494103
45,11711.3976730582
46,11794.9931973211
47,11818.8425086549
48,11776.8435808234
49,11730.6872285232
50,11720.5395365405
51,11805.8784968708
52,11824.1622238353
53,11781.3362814589
54,11723.4005598307
55,11703.7757281990
56,11802.8610113694
57,11812.8522411409
58,11761.2420631936
59,11707.9778561566
60,11710.9506381691
61,11812.1593370628
62,11826.2409360696
63,11766.5841301184
64,11736.2975163814
65,11722.5735452859
66,11806.7278631601
67,11838.7579129646
68,11788.2653222400
69,11738.1974146601
70,11714.0575306484
71,11797.9659793336
72,11830.1971948382
73,11783.7949733490
74,11735.6940192812
75,11715.8009667159
76,11797.9212758447
77,11818.7083981882
78,11774.6307581223
79,11730.5531180564
80,11716.8514987053
81,11798.5471246895
82,11824.3857412798
83,11773.3120051994
84,11703.7533764545
85,11693.4939257495
86,11792.8027263645
87,11817.7249214321
88,11773.1108394993
89,11743.9641647296
90,11740.7678652725
91,11813.6122004524
92,11848.6820875027
93,11801.5869619354
94,11746.1322839418
95,11721.5453650409
96,11798.7929938785
97,11823.6034302239
98,11781.3586332033
99,11728.9437924556
100,11709.1624986127
101,11791.1486972748
102,11822.2399738121
103,11779.8834180693
104,11731.4024843457
105,11711.3976730582
106,11794.4120519652
107,11828.8337384264
108,11789.8299443519
109,11741.8631007508
110,11713.5657922704
111,11801.9892933356
112,11834.8240059404
113,11783.5491041600
114,11735.3587431143
115,11713.4987370370
116,11798.7482903896
117,11821.6588284563
118,11761.8902637828
119,11721.4112545742
120,11704.2674665770
121,11794.3673484763
122,11839.1378926203
123,11803.5762671919
124,11755.0729817239
125,11726.6415627768
126,11809.7677004060
127,11848.1679973803
128,11803.0174735805
129,11744.7464757856
130,11712.2917428364
131,11798.3906624783
132,11831.1359681053
133,11781.3362814589
134,11742.2654321510
135,11725.0769406649
136,11814.1262905748
137,11838.5790990089
138,11781.6268541368
139,11737.2139379041
140,11714.9516004266
141,11787.8853425843
142,11824.1398720908
143,11786.2983687280
144,11729.1896616447
145,11699.0148066300
146,11789.0029298071
147,11820.8988691448
148,11767.4111446632
149,11717.0079609165
150,11699.9535798971
151,11796.4460607107
152,11828.8337384264
153,11784.5549326605
154,11732.7212372686
155,11699.9759316416
156,11791.0145868080
157,11823.0446366125
158,11775.3013104560
159,11741.8407490064
160,11712.2917428364
161,11798.5694764339
162,11836.2098140967
163,11792.6239124088
164,11738.0409524490
165,11709.5648300129
166,11790.3887379633
167,11822.1952703232
168,11774.2954819555
169,11713.9234201817
170,11676.6854139191
171,11758.2245776921
172,11805.6102759374
173,11774.5637028889
174,11731.2683738790
175,11703.7086729656
176,11793.4285752092
177,11826.1291773473
178,11781.0233570365
179,11738.4209321047
180,11714.0575306484
181,11785.2701884830
182,11804.5597439480
183,11768.5734353749
184,11740.8796239948
185,11716.1362428828
186,11780.5539704030
187,11814.5286219750
188,11794.0991275429
189,11752.1672549447
190,11715.5550975269
191,11787.1477350173
192,11819.2895435440
193,11769.4898568976
194,11733.4588448356
195,11714.3928068152
196,11802.3469212469
197,11837.1262356193
198,11784.4208221937
199,11736.0739989369
200,11706.8826206783
201,11784.2643599825
202,11816.8308516539
203,11767.3887929188
204,11711.5988387583
205,11669.1528760377
206,11756.7493625581
207,11815.6462091978
208,11761.6667463382
209,11715.4656905491
210,11683.4356407446
211,11758.4927986256
212,11823.2681540570
213,11808.4936509721
214,11755.2070921906
215,11716.0915393938
216,11802.6598456693
