freq_hz,power
0.000000,7830.1044902106
0.100766,223548.5839391969
0.201532,100590.2151638680
0.302297,10107.1615980370
0.403063,426.1756813710
0.503829,2131.1191544988
0.604595,1335.8394521798
0.705361,158.6492585539
0.806127,209.8347115732
0.906892,748.5980834954
1.007658,1128.6915875635
1.108424,1655.5137411511
1.209190,1804.4642142174
1.309956,1130.3214964923
1.410721,329.4844549950
1.511487,24.7351158115
1.612253,3.9356906488
1.713019,254.4165427271
1.813785,1069.5765913098
1.914551,1403.5729654251
2.015316,782.1349785484
2.116082,284.4618960504
2.216848,130.8905469114
2.317614,68.0684391002
2.418380,207.0856548486
2.519146,640.1472730601
2.619911,983.3212574552
2.720677,674.6952485932
2.821443,114.1052620196
2.922209,38.4121464572
3.022975,233.2925917462
3.123740,363.0425421701
3.224506,218.7104817926
3.325272,11.1682801311
3.426038,803.4151393461
3.526804,2050.3388422211
3.627570,1939.0115351365
3.728335,482.8929011877
3.829101,348.6705728470
3.929867,2794.6681293120
4.030633,4028.3403167683
4.131399,2932.5415313776
4.232164,1729.2338306709
4.332930,818.5139271195
4.433696,558.3812748354
4.534462,177.5546868674
4.635228,796.9632166806
4.735994,2890.6185985338
4.836759,2662.6678966009
4.937525,1117.7331985718
5.038291,1254.4930965956
5.139057,907.0682522108
5.239823,94.7223566319
5.340588,744.8344751626
5.441354,1924.6033916297
5.542120,2677.1132025479
5.642886,2699.1905414500
5.743652,1886.9040996014
5.844418,903.3252158659
5.945183,354.8148684953
6.045949,137.6055722184
6.146715,203.0361172909
6.247481,1152.8445036198
6.348247,2149.0546203880
6.449012,1620.4532982793
6.549778,625.8293565664
6.650544,275.3946043098
6.751310,88.7499333704
6.852076,18.1835202642
6.952842,327.1909735035
7.053607,871.6046290908
7.154373,1113.5021913136
7.255139,776.5696767342
7.355905,276.3341431019
7.456671,280.9864376303
7.557437,1240.1493726551
7.658202,2052.5503012099
7.758968,1354.0490024287
7.859734,475.0112934966
7.960500,734.5023046817
8.061266,1209.0964615883
8.162031,1105.6755309657
8.262797,726.4283957166
8.363563,523.9170970256
8.464329,451.4158217984
8.565095,215.2547252571
8.665861,284.9873785184
8.766626,705.2079690570
8.867392,863.2252504529
8.968158,958.3263072342
9.068924,953.0521922418
9.169690,1068.8740303106
9.270455,1907.2346735650
9.371221,2765.3466731294
9.471987,2748.8215039483
9.572753,2064.5764722838
9.673519,1168.7529819981
9.774285,377.0156561743
9.875050,40.0392347761
9.975816,534.7006379053
10.076582,2540.5357165107
10.177348,4593.3137998477
10.278114,4362.4447543846
10.378879,2960.4096816903
10.479645,2281.1570633048
10.580411,2471.1131028798
10.681177,2556.1844695971
10.781943,1367.2891828930
10.882709,78.3553388958
10.983474,1058.9347203472
11.084240,2062.3476005915
11.185006,789.1101364009
11.285772,386.9182292820
11.386538,2260.5622639931
11.487304,5533.2815320089
11.588069,8105.7048573532
11.688835,5999.4171884897
11.789601,2515.6683000907
11.890367,3423.5111859423
11.991133,5403.4505622139
12.091898,5083.7304283776
12.192664,3963.9661691047
12.293430,2140.7953626402
12.394196,557.1860255492
12.494962,1167.6330588006
12.595728,1925.6592023940
12.696493,1155.9644525849
12.797259,1049.7417387796
12.898025,3122.4079264667
12.998791,4778.7211194895
13.099557,4683.5462838217
13.200322,5197.4606362888
13.301088,4534.4933754182
13.401854,1035.4650964556
13.502620,438.9598810092
13.603386,3031.9281958473
13.704152,1926.2899208509
13.804917,924.7540624018
13.905683,8819.4316120400
14.006449,21898.8394347267
14.107215,29365.0005133560
14.207981,27190.6886507840
14.308746,19862.0601336760
14.409512,13213.1484462950
14.510278,9152.6074536959
14.611044,7584.0141062902
14.711810,7542.8179286085
14.812576,6012.1106425615
14.913341,2327.8698393256
15.014107,943.3320195724
15.114873,2487.3203495084
15.215639,2701.5682429838
15.316405,1491.2268163321
15.417170,3496.1169124637
15.517936,10425.3775838737
15.618702,13792.4276968999
15.719468,7789.5457994318
15.820234,2497.5891079783
15.921000,4636.7162048049
16.021765,5993.3812373743
16.122531,3100.1930452293
16.223297,1357.4810141894
16.324063,1280.4532581804
16.424829,908.8875188027
16.525595,275.5228746520
16.626360,17.6446730619
16.727126,589.2317662340
16.827892,2452.8268129100
16.928658,5226.1908867515
17.029424,5720.8612201870
17.130189,6951.9731843807
17.230955,11523.0670476325
17.331721,11022.2279867575
17.432487,3916.9469898785
17.533253,5.8246354794
17.634019,2058.4769648411
17.734784,3889.2826876923
17.835550,2348.6937017704
17.936316,235.4547639701
18.037082,507.0747074179
18.137848,1406.0648839071
18.238613,1079.2966321580
18.339379,1072.2596366473
18.440145,2792.6894270421
18.540911,13319.8367040554
18.641677,28069.7005691366
18.742443,24618.6008078175
18.843208,8625.8489594422
18.943974,3935.3259626710
19.044740,8779.9395193154
19.145506,9533.2760046454
19.246272,4081.5265399031
19.347037,317.7246433349
19.447803,9904.1094852218
19.548569,37835.2013820294
19.649335,66420.7522931655
19.750101,66284.9000127083
19.850867,38284.9627214219
19.951632,15175.3852510918
20.052398,11233.5119935852
20.153164,11585.0887059160
20.253930,7479.4535458530
20.354696,3060.9345012163
20.455462,481.7705313880
20.556227,518.4738208277
20.656993,4902.2679169972
20.757759,9585.9045439493
20.858525,10041.8799134345
20.959291,8433.5421147058
21.060056,7027.8806665703
21.160822,5896.0790898548
21.261588,5344.6739049668
21.362354,4411.8667091468
21.463120,2478.6030631434
21.563886,1332.7554985255
21.664651,1521.8652470763
21.765417,1934.3641553581
21.866183,2140.3655200073
21.966949,1921.7196178541
22.067715,1208.6282533093
22.168480,601.6247417837
22.269246,316.9295731092
22.370012,134.8541926790
22.470778,40.9456160393
22.571544,24.5366071303
22.672310,483.9347159716
22.773075,1650.0149263516
22.873841,2102.2340623078
22.974607,1194.8444410545
23.075373,2143.5743795985
23.176139,4856.0833863751
23.276904,4356.3884403271
23.377670,1492.9337124667
23.478436,178.0504796283
23.579202,61.9232427533
23.679968,338.7838946932
23.780734,815.4229277465
23.881499,698.7357217903
23.982265,243.7804690588
24.083031,55.0637656454
24.183797,6.6506306416
24.284563,65.3964504145
24.385328,653.1500035560
24.486094,1887.5244556757
24.586860,3256.5754144726
24.687626,5087.2406071180
24.788392,7773.2007964590
24.889158,10761.4279901788
24.989923,12452.6818209769
25.090689,11276.2876410850
25.191455,8378.3949641616
25.292221,5562.4139742728
25.392987,3559.7471935610
25.493753,2158.6311905879
25.594518,863.1070237264
25.695284,124.1349693946
25.796050,1.4207196836
