sample,value
0,24070.0571620533
1,24055.0814932682
2,24026.2477429208
3,24034.1155569691
4,24046.1184437416
5,24075.7568568894
6,24067.2184905074
7,24029.3993388890
8,24029.7122633114
9,24054.5897548902
10,24082.1941592925
11,24078.9308046020
12,24048.1524524870
13,24041.4022256615
14,24052.0863595112
15,24080.7412959029
16,24078.8190458797
17,24076.0250778228
18,24076.4721127119
19,24080.8083511363
20,24100.7908106793
21,24087.3350605172
22,24044.0844349962
23,24053.9639060454
24,24073.4993306994
25,24082.7529529039
26,24070.7277143869
27,24044.4197111630
28,24046.0513885082
29,24046.8560513086
30,24069.9454033310
31,24073.1193510436
32,24032.2156586904
33,24015.9659404714
34,24039.9493622719
35,24075.2427667669
36,24079.1096185576
37,24048.0853972537
38,24033.6908738245
39,24042.8550890511
40,24070.9065283426
41,24071.6441359096
42,24033.8920395246
43,24021.5091730963
44,24021.5091730963
45,24045.4255396635
46,24064.6480398951
47,24024.0349202198
48,24009.8862659796
49,24016.6811962940
50,24042.8327373067
51,24067.9337463300
52,24039.8823070386
53,24031.4333476345
54,24031.9921412459
55,24042.4527576509
56,24010.1097834241
57,23997.5257512958
58,24037.0436354928
59,24045.2243739634
60,24048.3983216761
61,24035.6354755921
62,24005.8629519776
63,24004.9465304549
64,24043.6374001071
65,24080.6742406695
66,24069.1183887861
67,24027.9911789884
68,24022.6714638080
69,24038.6306093491
70,24056.3555427021
71,24034.6743505805
72,23984.6287947451
73,23990.1496756255
74,24029.6005045891
75,24066.6820486405
76,24077.0532580678
77,24038.2506296933
78,24017.4188038610
79,24021.7103387964
80,24063.7539701169
81,24064.8045021062
82,24032.7297488129
83,24015.0271672043
84,24015.3177398822
85,24031.5674581012
86,24041.8492605507
87,23990.5967105146
88,23993.7259547384
89,24034.7414058139
90,24045.6267053636
91,24060.2223944929
92,24039.6140861051
93,24022.3138358967
94,24024.0125684753
95,24035.7919378033
96,24057.7189991139
97,24034.3837779026
98,24019.8327922622
99,24028.8181935332
100,24053.3380572007
101,24062.4575689384
102,24033.3555976576
103,24016.2341614049
104,24035.5684203587
105,24035.5684203587
106,24045.6490571081
107,24027.6559028215
108,24003.7395362544
109,24017.5305625833
110,24050.7229030994
111,24033.8473360357
112,24004.4100885880
113,24011.3838328581
114,24022.4255946190
115,24065.3185922287
116,24069.4983684419
117,24026.6947778100
118,24001.7278792534
119,24018.7152050394
120,24037.0436354928
121,24055.9532113019
122,24033.5567633577
123,24016.3459201271
124,24018.0223009613
125,24040.0611209942
126,24026.8512400211
127,24004.4547920769
128,24031.5004028678
129,24042.0057227618
130,24061.8540718382
131,24056.8919845691
132,24005.9076554665
133,23991.4460768039
134,24001.6384722756
135,24037.3789116596
136,24072.4711504544
137,24042.3409989287
138,24017.5082108388
139,24045.1796704745
140,24069.2748509973
141,24052.3992839336
142,24024.2137341754
143,24031.2768854233
144,24043.8385658072
145,24058.2107374919
146,24061.1164642711
147,24023.7890510308
148,23999.8950362080
149,24023.8561062641
150,24059.9318218150
151,24073.6334411661
152,24026.0912807097
153,24013.3507863701
154,24039.1223477271
155,24053.1815949895
156,24057.9425165585
157,24036.3060279257
158,24030.3381121562
159,24034.1826122025
160,24053.5168711563
161,24058.9706968034
162,24018.3352253837
163,24013.8425247482
164,24037.0212837483
165,24055.6849903685
166,24050.3205716992
167,24022.4032428745
168,24014.3342631262
169,24014.2448561483
170,24032.1262517126
171,24060.2670979818
172,24038.1165192266
173,24028.5946760887
174,24041.7151500839
175,24072.3817434766
176,24078.3273075017
177,24039.0776442382
178,24020.3021788957
179,24042.8997925401
180,24061.4517404380
181,24059.4400834370
182,24024.6160655756
183,23994.8658937056
184,24014.4460218484
185,24048.1524524870
186,24032.4168243905
187,24000.7220507529
188,24014.5801323152
189,24040.2175832054
190,24072.6276126656
191,24085.4798657274
192,24052.1087112556
193,24032.1486034570
194,24040.1728797165
195,24057.2049089914
196,24075.8686156116
197,24038.1165192266
198,24014.5354288263
199,24011.3391293692
200,24012.5461235697
201,24030.7180918119
202,24019.0504812062
203,24012.5461235697
204,24031.2545336788
205,24056.7578741023
206,24087.8938541286
207,24065.0503712953
208,24033.4673563799
209,24024.1690306865
210,24059.7977113483
211,24068.8501678527
212,24036.6413040926
213,24030.5839813452
214,24034.7637575583
215,24051.2369932219
216,24057.0707985247
217,24025.6665975650
218,24010.8920944801
219,24030.0475394782
220,24046.9678100309
221,24055.7743973463
222,24041.8492605507
223,24027.5217923548
224,24048.5324321428
225,24065.0950747842
226,24078.9978598354
227,24048.6441908651
228,24018.2458184058
229,24017.3070451387
230,24076.1368365451
231,24079.2213772799
232,24024.1913824310
233,24020.8833242516
234,24063.3516387167
235,24087.5362262173
236,24091.6936506860
237,24052.1087112556
238,24033.8026325467
239,24028.7064348109
240,24046.7219408419
241,24063.2845834833
242,24049.5606123877
243,24036.5966006037
244,24044.5761733742
245,24054.9697345459
246,24058.3001444698
247,24032.2380104349
248,24022.9843882304
249,24027.4770888659
250,24051.5052141553
251,24062.1893480050
252,24025.6218940761
253,24019.2516469063
254,24047.6607141090
255,24059.7083043704
256,24057.7860543473
257,24042.0057227618
258,24027.9911789884
259,24036.4848418814
260,24054.6344583791
261,24074.6839731555
262,24047.7054175979
263,24029.1981731889
264,24017.3517486276
265,24032.7297488129
266,24044.8443943077
267,24024.2807894088
268,24024.8395830202
269,24035.6801790810
270,24050.4546821659
271,24061.0941125267
272,24038.0271122488
273,24011.1603154135
274,24022.6938155525
275,24066.8385108517
276,24076.4944644564
277,24046.8560513086
278,24024.4148998755
279,24030.2040016894
280,24039.2788099383
281,24058.7024758700
282,24052.0640077667
283,24019.4751643509
284,24007.8969607230
285,24041.2457634504
286,24072.9628888324
287,24046.4760716529
288,24026.5383155988
289,24020.7045102959
290,24030.9416092565
291,24051.7063798554
292,24037.8930017821
293,24030.6063330896
294,24040.3293419277
295,24051.3934554331
296,24053.4721676674
297,24031.2768854233
298,24028.3711586441
299,24042.0504262507
300,24058.3671997031
301,24083.1999877930
302,24047.9065832980
303,24024.8395830202
304,24024.7501760423
305,24056.3108392132
306,24075.4886359559
307,24046.0066850193
308,24013.9989869593
309,24019.6092748176
310,24043.1903652180
311,24073.8569586106
312,24039.0329407493
313,24009.4392310905
314,24016.3012166382
315,24040.8210803057
316,24048.6441908651
317,24043.5703448737
318,24031.2098301899
319,24029.0417109778
320,24050.8793653106
321,24066.4808829404
322,24037.4683186374
323,24019.2069434174
324,24039.9270105275
325,24073.6110894216
326,24076.3156505007
327,24030.4498708784
328,24010.2215421464
329,24039.8599552941
330,24050.1641094880
331,24061.4517404380
332,24038.0941674822
333,24025.2419144204
334,24045.2020222189
335,24055.7967490908
336,24062.7481416164
337,24042.3186471842
338,24022.3808911301
339,24041.0669494947
340,24064.7374468729
341,24067.6878771410
342,24039.0329407493
343,24022.7161672969
344,24042.4527576509
345,24062.4575689384
346,24081.7694761478
347,24057.0931502692
348,24022.3585393856
349,24014.2448561483
350,24039.8599552941
351,24084.5857959492
352,24077.4108859790
353,24042.8550890511
354,24053.2933537118
355,24064.0892462837
356,24083.6470226821
357,24068.4925399414
358,24041.6704465950
359,24043.2797721958
360,24072.8064266212
361,24088.4526477400
362,24073.3428684882
363,24064.8492055952
364,24053.0251327783
365,24054.5226996568
366,24074.2369382664
367,24056.4225979355
368,24027.6335510771
369,24035.2778476808
370,24047.0348652643
371,24081.8588831256
372,24091.2913192858
373,24063.6869148835
374,24061.2058712489
375,24074.5275109443
376,24094.1523425761
377,24071.2641562538
378,24049.5382606433
379,24072.0017638209
380,24084.1387610601
381,24089.7043454295
382,24083.3117465152
383,24057.0260950358
384,24072.0911707987
385,24081.2330342809
386,24102.7577641914
387,24102.3554327912
388,24082.4176767370
389,24091.4924849859
390,24093.9511768760
391,24108.7256799609
392,24098.0191943668
393,24076.1368365451
394,24078.3943627351
395,24101.2825490573
396,24117.2193428539
397,24093.9958803649
398,24064.5809846617
399,24069.2077957639
400,24092.4536099975
401,24113.9336364190
402,24103.4059647806
403,24074.2592900108
404,24081.9929935924
405,24104.2776828143
406,24102.6460054691
407,24086.1727698055
408,24093.6382524536
409,24111.9443311625
410,24128.1716976370
411,24131.8150319833
412,24104.1435723476
413,24074.8180836222
414,24102.5789502357
415,24126.4729650584
416,24151.7527880374
417,24131.2338866274
418,24103.9871101364
419,24108.2339415829
420,24117.7110812320
421,24133.8043372398
422,24115.9899969089
423,24102.3107293023
424,24111.1396683621
425,24129.7810232378
426,24146.2766106458
427,24125.2436191134
428,24107.5410375048
429,24123.7013487460
430,24142.6332762996
431,24153.7867967828
432,24133.0443779283
433,24122.4049475676
434,24138.2970378753
435,24133.3349506062
436,24158.6371253296
437,24160.4252648861
438,24130.4515755715
439,24140.6663227876
440,24141.9627239660
441,24158.8382910297
442,24152.1104159487
443,24136.7771192523
444,24129.5575057933
445,24136.2630291299
446,24183.6487273751
447,24183.7604860974
448,24156.3572473952
449,24155.8878607616
450,24163.3980468986
451,24180.3853726846
452,24169.0083347569
453,24141.2027646545
454,24150.0317037143
455,24166.7955120558
456,24178.4184191726
457,24164.6273928437
458,24141.0910059322
459,24145.7178170345
460,24170.3717911687
461,24200.9936810724
462,24185.6603843761
