freq_hz,power
0.000000,20004366.4746171236
0.100725,24423851.4079610854
0.201450,8161235.8354363441
0.302176,1905572.9625140771
0.402901,1006025.6799387508
0.503626,248008.4201729203
0.604351,92192.9396712176
0.705077,27299.5741130162
0.805802,16326.9581752383
0.906527,3498.5265681907
1.007252,6370.7515307398
1.107977,5612.5820982201
1.208703,2796.7686241326
1.309428,1378.1587310637
1.410153,362.0925789771
1.510878,253.7448103500
1.611604,360.0983989310
1.712329,310.3189788354
1.813054,80.4180985933
1.913779,814.3784181391
2.014504,1191.0779821908
2.115230,128.4267370437
2.215955,267.2106462849
2.316680,376.8580961489
2.417405,636.2276817959
2.518131,928.8543557747
2.618856,430.3874542261
2.719581,71.0502093331
2.820306,278.2641170987
2.921031,1426.2646773470
3.021757,1301.0526451964
3.122482,211.1793649277
3.223207,702.7974329008
3.323932,1394.2636537373
3.424658,668.4037246397
3.525383,749.0381881876
3.626108,1567.3682023222
3.726833,1685.9379715887
3.827558,1145.6664355947
3.928284,256.6950441708
4.029009,50.6513954348
4.129734,6.5116341311
4.230459,4.1683707351
4.331185,16.0408767864
4.431910,141.7166649843
4.532635,121.2550622145
4.633360,26.8361405763
4.734085,0.4703265505
4.834811,46.0311319548
4.935536,181.5101198849
5.036261,310.0579757403
5.136986,775.8282115893
5.237712,917.0012442305
5.338437,102.6196614562
5.439162,257.0499105604
5.539887,718.4961414472
5.640612,1004.8697594513
5.741338,865.5575472395
5.842063,793.1495791850
5.942788,489.2746580967
6.043513,144.2494426171
6.144239,979.9292035772
6.244964,1251.0927078101
6.345689,852.1921722438
6.446414,953.9854192041
6.547139,615.1851811398
6.647865,341.3845171744
6.748590,54.4758341703
6.849315,243.2535668572
6.950040,593.9232515795
7.050766,158.8581324458
7.151491,77.8996878599
7.252216,439.0219513149
7.352941,248.3213880655
7.453666,4.3303287422
7.554392,12.2690137467
7.655117,15.5178250208
7.755842,61.6238253618
7.856567,26.2750143457
7.957293,545.9241149434
8.058018,925.1589615905
8.158743,277.7668533081
8.259468,38.7468866558
8.360193,232.5289030308
8.460919,312.0902624198
8.561644,30.3482006447
8.662369,59.8137875518
8.763094,127.9223066549
8.863820,455.0966263221
8.964545,749.9331005156
9.065270,347.8263732299
9.165995,45.1008047653
9.266720,24.6715224422
9.367446,2029.9410841671
9.468171,9474.9097588856
9.568896,4252.7587251625
9.669621,760.0555397988
9.770346,116.3364351019
9.871072,108.2879219473
9.971797,127.8688211601
10.072522,588.7292454503
10.173247,1471.5614261269
10.273973,1138.5583758013
10.374698,22.1258519461
10.475423,160.5131892263
10.576148,197.7899212698
10.676873,44.4030438101
10.777599,176.5189470165
10.878324,456.0608412766
10.979049,105.1922340412
11.079774,30.0195561667
11.180500,13.9951466279
11.281225,137.9348086781
11.381950,329.0449541585
11.482675,849.2610901658
11.583400,382.1294987034
11.684126,77.3033832508
11.784851,489.3443060493
11.885576,151.9464177823
11.986301,514.1835427679
12.087027,859.6104992267
12.187752,361.1022216181
12.288477,68.3117199542
12.389202,74.2517311434
12.489927,438.9110461042
12.590653,285.8796506096
12.691378,413.2528789613
12.792103,1276.9144487130
12.892828,766.5114190770
12.993554,591.3300767909
13.094279,1176.0103259122
13.195004,322.8913926998
13.295729,149.2084392426
13.396454,40.5265335154
13.497180,28.0416624612
13.597905,80.9040031303
13.698630,117.1487866619
13.799355,3.2866722544
13.900081,214.5658679996
14.000806,263.2474573482
14.101531,180.0449989258
14.202256,289.5829324616
14.302981,94.5706499510
14.403707,121.2453951313
14.504432,321.2518390825
14.605157,45.4534528130
14.705882,227.8550183286
14.806608,108.3071695287
14.907333,183.9601872335
15.008058,38.8936628538
15.108783,80.8769993028
15.209508,132.6372552181
15.310234,39.4907988453
15.410959,91.7727729933
15.511684,89.0091630511
15.612409,21.7128579846
15.713135,66.5718143473
15.813860,53.4058342475
15.914585,49.1163314276
16.015310,32.0858374156
16.116035,186.4682847854
16.216761,290.2381395865
16.317486,60.3099102493
16.418211,14.3919450691
16.518936,173.8139124454
16.619662,329.5016154056
16.720387,62.2152788263
16.821112,36.9504546419
16.921837,32.8064748413
17.022562,57.3754854221
17.123288,101.2897551173
17.224013,735.8771898868
17.324738,445.3933238960
17.425463,155.4809215345
17.526189,91.6468964646
17.626914,91.0781310632
17.727639,137.4336846363
17.828364,209.5457062364
17.929089,243.2252750664
18.029815,130.5845906991
18.130540,13.7112389322
18.231265,384.0514037569
18.331990,282.5188972315
18.432716,216.2060938328
18.533441,107.2596624892
18.634166,211.7206991976
18.734891,85.1207872249
18.835616,13.1566263372
18.936342,120.6407138109
19.037067,147.3413929398
19.137792,621.8524348211
19.238517,947.8419578104
19.339243,432.6903743255
19.439968,3.5162231427
19.540693,33.5947406586
19.641418,75.1952699064
19.742143,282.7732289226
19.842869,80.9218665721
19.943594,183.1848286742
20.044319,329.5644165802
20.145044,105.6291243685
20.245770,137.1250821648
20.346495,163.3852809027
20.447220,230.6285429255
20.547945,1644.8017973686
20.648670,820.0568701981
20.749396,25.3634028370
20.850121,51.0431209185
20.950846,17.6973998737
21.051571,173.0366490131
21.152297,477.4880701743
21.253022,140.6892875252
21.353747,124.1912441968
21.454472,76.2461456674
21.555197,118.1897787985
21.655923,234.1920843924
21.756648,304.9454795152
21.857373,213.3945980330
21.958098,246.8808485851
22.058824,330.8735736692
22.159549,8.7869536379
22.260274,14.6350169617
22.360999,72.7929698964
22.461724,129.6522620810
22.562450,552.9801243808
22.663175,176.6176507700
22.763900,66.4856345577
22.864625,111.9126211125
22.965351,167.0055262584
23.066076,223.0651658040
23.166801,112.4347855136
23.267526,157.8830476526
23.368251,368.7949811708
23.468977,354.2284821198
23.569702,299.3763218959
23.670427,9.3527845655
23.771152,4.8267103267
23.871878,1.9993663053
23.972603,42.9636086736
24.073328,247.8387876450
24.174053,380.7105374039
24.274778,7.9936113748
24.375504,382.5361262538
24.476229,157.3643812448
24.576954,227.7387306645
24.677679,154.9232634451
24.778405,279.1116022988
24.879130,190.6030045269
24.979855,11.1666668507
25.080580,18.7519335145
25.181305,188.7496451694
25.282031,114.9826102033
25.382756,92.2604121067
25.483481,334.0017561824
25.584206,407.8224871057
25.684932,669.1943129563
25.785657,421.6248922813
25.886382,64.0283985296
25.987107,690.5884458432
26.087832,216.3188725559
