sample,value
0,45297.6653334696
1,45231.4818181374
2,45322.0957901592
3,45420.7340384405
4,45367.7157005925
5,45285.1707083190
6,45216.0367627188
7,45315.5467290338
8,45416.8671866497
9,45358.5961888547
10,45271.6926064125
11,45207.7219137814
12,45310.2493655979
13,45412.3744860142
14,45360.0490522443
15,45275.3359407587
16,45197.0824834207
17,45296.6595049691
18,45418.9682506285
19,45375.2705902184
20,45301.2192608379
21,45232.0853152377
22,45325.6944210165
23,45428.6018524887
24,45382.0655205328
25,45301.7333509604
26,45225.6256610901
27,45315.6808395005
28,45425.9196431541
29,45374.9576657960
30,45292.4350252670
31,45219.3895243871
32,45304.4155602951
33,45411.1004365802
34,45368.8109360708
35,45289.7304641879
36,45207.6995620369
37,45300.3251910597
38,45413.0003348589
39,45376.2317152300
40,45304.4826155284
41,45227.9278907690
42,45316.6196127677
43,45424.9808698870
44,45372.9460087950
45,45286.5118129864
46,45215.2991551517
47,45303.6108974947
48,45411.9050993806
49,45361.2783981894
50,45274.6653884250
51,45206.0231812028
52,45288.0764350982
53,45401.4891864645
54,45360.4066801556
55,45275.1571268031
56,45198.3788845991
57,45299.6993422150
58,45427.1489890991
59,45384.2783432339
60,45293.9325921455
61,45220.6412220766
62,45302.2697928273
63,45417.7612564279
64,45378.7574623534
65,45300.3251910597
66,45215.1203411961
67,45296.2571735689
68,45418.1412360837
69,45380.7691193544
70,45299.4534730260
71,45223.4128383890
72,45299.3417143037
73,45419.4376372621
74,45372.6107326282
75,45278.0628535822
76,45198.4459398324
77,45293.3737985341
78,45425.8749396652
79,45394.0684073053
80,45310.8528626982
81,45215.5450243408
82,45287.7858624203
83,45422.1869018301
84,45389.6651136476
85,45306.9860109074
86,45227.5926146022
87,45302.1580341051
88,45421.9633843855
89,45375.0247210294
90,45287.9423246315
91,45213.0639807062
92,45290.7139409440
93,45414.6990674375
94,45372.4542704170
95,45284.2766385408
96,45212.6392975616
97,45285.0813013412
98,45401.7127039090
99,45368.2744942039
100,45295.1395863461
101,45213.2651464063
102,45283.8296036517
103,45408.3288202678
104,45384.2783432339
105,45302.7615312054
106,45214.6956580515
107,45292.0773973557
108,45428.0654106218
109,45400.9080411086
110,45309.7576272199
111,45227.2796901798
112,45293.9996473789
113,45418.8117884173
114,45376.7011018635
115,45288.4117112651
116,45205.0844079357
117,45271.2679232678
118,45396.0130090729
119,45364.4746976465
120,45285.6624466971
121,45201.7092945229
122,45264.1377167866
123,45392.8390613603
124,45363.6700348461
125,45284.8354321522
126,45213.6898295510
127,45281.8179466507
128,45411.0110296024
129,45379.2268489870
130,45281.1697460615
131,45214.4274371180
132,45303.0968073722
133,45434.3462508138
134,45394.6048491722
135,45306.3378103182
136,45225.2456814344
137,45281.8179466507
138,45408.1947098010
139,45377.7516338529
140,45295.0948828572
141,45215.8579487631
142,45274.9112576140
143,45409.0664278348
144,45386.1782415126
145,45303.6779527280
146,45216.4167423745
147,45270.7538331454
148,45394.5824974278
149,45367.6262936147
150,45288.8587461542
151,45209.4206463600
152,45251.7324986139
153,45389.5310031809
154,45365.9499127805
155,45296.1007113577
156,45221.4011813880
157,45279.9180483720
158,45421.0469628628
159,45395.6777329061
160,45309.9811446644
161,45221.7588092993
162,45264.7188621424
163,45395.3201049948
164,45375.0247210294
165,45297.6876852140
166,45216.7967220303
167,45274.3301122582
168,45409.9381458686
169,45382.4455001885
170,45297.0394846248
171,45213.6004225731
172,45274.7771471473
173,45397.0635410623
174,45361.7701365674
175,45305.8907754291
176,45224.7092395674
177,45290.5351269883
178,45439.7106694830
179,45406.5630324558
180,45323.1686738931
181,45237.3156234402
182,45282.3767402621
183,45417.6047942167
184,45391.9673433265
185,45304.5049672729
186,45216.8414255192
187,45268.0269203218
188,45405.4454452330
189,45388.5028229359
190,45314.9432319335
191,45227.6373180911
192,45274.6653884250
193,45410.7204569245
194,45386.6476281461
195,45312.7304092324
196,45234.0746204942
197,45275.6488651811
198,45409.9604976130
199,45400.9303928531
200,45322.0734384148
201,45241.0036612753
202,45276.7888041483
203,45405.6689626776
204,45389.3074857363
205,45319.0783046577
206,45233.4934751384
207,45271.8714203681
208,45407.7029714230
209,45388.8828025917
210,45300.5710602487
211,45218.3836958866
212,45254.4370596930
213,45402.9196981096
214,45395.1189392947
215,45305.3766853066
216,45219.9706697429
217,45263.2659987528
218,45407.0547708338
219,45398.6058114297
220,45313.3339063327
221,45214.1815679290
222,45243.4400014210
223,45383.6077909002
224,45383.9654188115
225,45312.5962987657
226,45231.3924111596
227,45260.4496789515
228,45399.1646050411
229,45392.3696747267
230,45314.8314732112
231,45230.1407134701
232,45266.6187604211
233,45407.0771225783
234,45384.0101223004
235,45298.8499759257
236,45224.9551087564
237,45257.2310277499
238,45389.9780380700
239,45375.7846803409
240,45313.1103888882
241,45224.8657017786
242,45243.0376700208
243,45373.7059681065
244,45369.2803227044
245,45302.6721242275
246,45223.8375215337
247,45246.6139491336
248,45389.7768723699
249,45396.4153404731
250,45319.2571186134
251,45233.4711233939
252,45253.2524172369
253,45383.6301426447
254,45371.2472762164
255,45285.4612809970
256,45207.9454312259
257,45247.4409636785
258,45389.7098171365
259,45381.6631891326
260,45304.1473393616
261,45215.8132452742
262,45234.0299170053
263,45381.1714507546
264,45383.1831077556
265,45310.7634557204
266,45228.0396494913
267,45244.1999607325
268,45378.9809797980
269,45381.8643548327
270,45306.1142928737
271,45208.9736114709
272,45220.6859255655
273,45372.5660291393
274,45373.0354157729
275,45276.9676181039
276,45187.5382885383
277,45238.7908385743
278,45381.1267472657
279,45372.7671948394
280,45287.5399932313
281,45202.2233846454
282,45227.0561727352
283,45372.1636977391
284,45380.4338431876
285,45303.8120631948
286,45227.8831872801
287,45247.0162805338
288,45388.0781397913
289,45388.9275060806
290,45310.7858074648
291,45218.7636755423
292,45219.8589110206
293,45372.4319186726
294,45381.4173199436
295,45303.8120631948
296,45219.6577453205
297,45221.7141058104
298,45356.4057178981
299,45368.2297907150
300,45301.3757230491
301,45229.7383820699
302,45239.5731496302
303,45370.9120000496
304,45375.3376454517
305,45295.0948828572
306,45226.8773587796
307,45248.2232747344
308,45383.5183839224
309,45388.6369334027
310,45314.6526592556
311,45230.3642309146
312,45229.8054373032
313,45371.7837180834
314,45382.8254798443
315,45306.6730864850
316,45222.9881552444
317,45220.7529807988
318,45360.3619766667
319,45381.6184856437
320,45308.8188539528
321,45226.5867861017
322,45242.0318415203
323,45383.4066252001
324,45391.9002880931
325,45312.7304092324
326,45230.2524721923
327,45234.2757861943
328,45369.4144331711
329,45383.2278112445
330,45327.6390227841
331,45238.8131903187
332,45233.9628617719
333,45375.2482384739
334,45407.7923784009
335,45343.5758165808
336,45241.2718822088
337,45232.6888123380
338,45370.6661308606
339,45387.6534566466
340,45311.1434353761
341,45228.4866843804
342,45234.9910420169
343,45377.0587297748
344,45394.1354625387
345,45326.9684704505
346,45234.1863792165
347,45229.6713268365
348,45383.6748461336
349,45403.9702300990
350,45319.0112494244
351,45228.3972774026
352,45231.9959082599
353,45370.0402820158
354,45405.2889830219
355,45339.8207235123
356,45253.1853620035
357,45237.6285478626
358,45376.8128605858
359,45393.9342968386
360,45310.7411039759
361,45225.4244953900
362,45232.1747222155
363,45386.1558897681
364,45409.4240557461
365,45323.8839297156
366,45231.5265216263
367,45234.5216553833
368,45373.7283198510
369,45398.2705352629
370,45325.8732349722
371,45239.7296118414
372,45237.8967687961
373,45380.9479333100
374,45397.9352590961
375,45317.2231098679
376,45234.7675245723
377,45238.1649897295
378,45380.1432705096
379,45399.0751980633
380,45311.2104906095
381,45234.9910420169
382,45231.1241902261
383,45376.7011018635
384,45412.1733203141
385,45334.3668978652
386,45238.6343763631
387,45232.4205914045
388,45368.8109360708
389,45398.1140730517
390,45328.3989820956
391,45246.5021904114
392,45226.3185651682
393,45368.0286250149
394,45401.3774277422
395,45315.9490604340
396,45224.9774605009
397,45213.5110155953
398,45355.1763719531
399,45396.3706369842
400,45317.8266069682
401,45220.6188703321
402,45201.1057974226
403,45337.5855490667
404,45395.9683055840
405,45334.2327873984
406,45243.1494287431
407,45216.2602801633
408,45349.1414009501
409,45374.7565000959
410,45302.0462753828
411,45239.9978327749
412,45224.0163354893
413,45351.3318719067
414,45392.2802677489
415,45312.7974644658
416,45221.9599749994
417,45203.3856753571
418,45350.6613195731
419,45379.8974013206
420,45295.2513450684
421,45218.4283993755
422,45202.9162887235
423,45338.4572671005
424,45384.4795089340
425,45321.7605139924
426,45238.6120246186
427,45205.8667189916
428,45335.7750577659
429,45374.4212239291
430,45306.8966039296
431,45218.3389923977
432,45194.4226258305
433,45342.7040985470
434,45384.5242124229
435,45320.0617814138
436,45228.0396494913
437,45199.4294165885
438,45337.0044037109
439,45385.1053577787
440,45322.6992872595
441,45228.5313878693
442,45187.2030123714
443,45326.3426216057
444,45381.2161542435
445,45308.2824120858
446,45214.9638789849
447,45183.6267332586
448,45333.6739937871
449,45394.6495526611
450,45320.5535197918
451,45222.5634720997
452,45196.7472072538
453,45346.6827090600
454,45393.8448898607
455,45320.3747058361
456,45251.2854637248
457,45226.5197308683
458,45355.8916277756
459,45413.3356110258
460,45333.0704966868
461,45236.2650914508
