freq_hz,power
0.000000,16855888.0005442314
0.100725,22404231.4385743029
0.201450,7162301.8102726489
0.302176,1429235.4185577205
0.402901,229341.4459185912
0.503626,25430.6468035134
0.604351,39776.4191322385
0.705077,4924.0956929354
0.805802,14679.3842588160
0.906527,4649.4542364301
1.007252,3420.5725984755
1.107977,11056.6315484558
1.208703,5089.3809689865
1.309428,4903.4053145309
1.410153,381.3555687748
1.510878,1891.2917015992
1.611604,1084.1276297416
1.712329,542.4246344319
1.813054,566.6891783682
1.913779,1832.5694973047
2.014504,493.5805461665
2.115230,685.5655101348
2.215955,829.0547131682
2.316680,154.6807628104
2.417405,1170.1636803097
2.518131,1054.8531663926
2.618856,93.3584987950
2.719581,407.2565201563
2.820306,559.6919313980
2.921031,58.4085367979
3.021757,529.7871072344
3.122482,614.8428537514
3.223207,132.9978550038
3.323932,65.5674241376
3.424658,15.5048821124
3.525383,255.2657229107
3.626108,352.4251080694
3.726833,457.0867623720
3.827558,1228.9419132174
3.928284,784.7057712012
4.029009,260.7798207652
4.129734,197.1356681876
4.230459,5.6428521498
4.331185,20.9822155954
4.431910,14.1226082441
4.532635,137.9588725061
4.633360,10.3676712549
4.734085,752.3493847230
4.834811,545.2786718430
4.935536,92.2223566012
5.036261,419.3509860172
5.136986,128.7519330456
5.237712,212.1807045098
5.338437,226.2501888892
5.439162,74.1570529064
5.539887,67.5859312656
5.640612,27.3858402183
5.741338,262.3363961654
5.842063,388.3094452999
5.942788,505.3409616822
6.043513,325.6451160271
6.144239,162.9430095837
6.244964,356.6159463955
6.345689,51.0209865339
6.446414,253.3377558883
6.547139,347.8732323994
6.647865,10.1859706689
6.748590,22.7227096066
6.849315,77.9074291215
6.950040,463.4826159674
7.050766,720.2429453907
7.151491,350.6224452687
7.252216,116.5946512031
7.352941,113.5970791709
7.453666,84.2639377655
7.554392,154.0324768361
7.655117,168.7560021532
7.755842,80.6016323232
7.856567,217.1275251776
7.957293,241.8061583403
8.058018,355.1788987662
8.158743,677.8547101054
8.259468,736.1585177155
8.360193,611.6577525385
8.460919,338.7822663352
8.561644,502.1464457664
8.662369,978.7033430024
8.763094,434.5245243983
8.863820,224.2576687944
8.964545,57.8315304166
9.065270,9.9343608649
9.165995,159.4870271043
9.266720,276.4952434734
9.367446,1162.5685788592
9.468171,1346.7105104096
9.568896,258.6905241621
9.669621,23.7150297114
9.770346,115.8887174911
9.871072,377.6706261398
9.971797,635.6850048514
10.072522,340.1284265747
10.173247,480.2527232578
10.273973,44.7864487010
10.374698,388.4639127199
10.475423,1884.3040044151
10.576148,223.2940239232
10.676873,232.2926289980
10.777599,211.7168170859
10.878324,927.3567351342
10.979049,312.3291294653
11.079774,243.4575852314
11.180500,231.6382423230
11.281225,222.1565762318
11.381950,556.5506089087
11.482675,1778.6886941737
11.583400,1650.7418766667
11.684126,15.2994992138
11.784851,1835.1287711797
11.885576,2270.0426823708
11.986301,493.4871084543
12.087027,2443.9883312644
12.187752,2783.4766734083
12.288477,1054.9671745547
12.389202,1730.6852045877
12.489927,1198.6679161757
12.590653,470.4480285745
12.691378,56.1880574509
12.792103,126.0602754599
12.892828,596.0885745587
12.993554,332.5923963047
13.094279,252.2542725716
13.195004,662.2113616494
13.295729,159.3107813022
13.396454,68.9250458672
13.497180,126.0845174308
13.597905,37.0087672795
13.698630,100.6559101496
13.799355,304.2784827443
13.900081,26.7171605197
14.000806,99.4328772896
14.101531,23.1430698745
14.202256,128.2953866681
14.302981,472.6081227355
14.403707,810.2965109978
14.504432,148.8199953877
14.605157,1.7839939821
14.705882,223.7706261503
