sample,value
0,17438.5851548416
1,17026.4636905746
2,16455.7118959083
3,16295.3381294415
4,17189.0279279981
5,17437.1099397075
6,17029.7717487540
7,16462.1044948226
8,16302.2001149893
9,17191.3972129103
10,17447.2799834347
11,17043.9427547387
12,16478.8459514196
13,16316.4158244629
14,17207.9375038072
15,17463.2391289758
16,17050.4024088862
17,16481.6399194765
18,16309.2409144927
19,17184.8928552738
20,17441.9155647654
21,17039.2488884030
22,16471.2016548159
23,16294.6452253634
24,17171.3924016228
25,17439.9933147422
26,17032.9456964666
27,16462.2162535448
28,16288.7667165717
29,17178.0979249594
30,17445.8047683006
31,17037.3489901243
32,16475.6496519625
33,16291.5159811397
34,17170.4536283557
35,17440.4179978869
36,17038.0195424580
37,16473.4368292614
38,16300.0766992660
39,17185.4292971408
40,17458.5676143846
41,17057.6443740898
42,16485.7079369674
43,16296.7462893422
44,17174.0075557241
45,17451.5938701145
46,17050.8941472643
47,16482.4892857658
48,16287.8279433045
49,17162.9210904743
50,17452.5549951261
51,17048.2566414185
52,16478.5553787417
53,16280.8765507789
54,17155.3662008484
55,17451.5715183701
56,17066.0486300050
57,16498.3590243291
58,16297.9756352872
59,17170.5653870780
60,17458.0311725177
61,17053.7775222990
62,16492.7710882152
63,16290.2195799613
64,17158.7413142611
65,17453.1137887375
66,17057.4879118786
67,16491.4299835479
68,16278.3284519110
69,17156.7296572601
70,17454.8348730606
71,17054.2245571881
72,16486.8702276790
73,16273.1428471974
74,17139.9434971742
75,17448.0846462351
76,17047.8543100183
77,16479.6953177089
78,16268.0242977171
79,17135.9425349167
80,17442.2284891878
81,17041.3946558708
82,16475.8731694070
83,16258.4353993458
84,17126.1077673564
85,17439.0321897307
86,17046.9825919846
87,16481.8187334321
88,16260.0670766910
89,17125.5266220005
90,17443.8601665330
91,17048.7036763076
92,16490.2900445807
93,16258.7259720237
94,17115.5800957179
95,17440.2615356757
96,17048.9048420077
97,16483.8750939220
98,16251.2604893757
99,17115.3565782734
100,17438.8533757750
101,17049.2624699190
102,16485.6855852229
103,16245.2925736061
104,17105.2982932685
105,17435.2994484066
106,17049.0166007300
107,16488.9712916578
108,16252.3780765984
109,17115.8259649069
110,17450.9680212698
111,17051.7658652980
112,16498.5825417736
113,16254.1215126659
114,17101.0514618220
115,17442.5861170991
116,17053.1740251987
117,16493.0393091487
118,16250.9475649533
119,17112.2273340496
120,17455.5054253942
121,17062.7182200811
122,16504.6845680099
123,16247.9524311963
124,17093.8094966185
125,17438.0487129746
126,17045.7979495285
127,16490.6476724920
128,16238.9670299252
129,17092.2225227621
130,17448.5093293797
131,17056.6161938448
132,16502.6952627534
133,16243.7726549831
134,17087.7745256155
135,17445.9165270229
136,17051.4529408756
137,16490.8935416810
138,16229.4898902762
139,17074.4081824312
140,17430.5832303266
141,17044.7027140501
142,16491.0723556366
143,16225.3324658075
144,17064.7298770821
145,17431.0526169601
146,17046.9378884957
147,16487.6748904794
148,16213.7542621796
149,17048.8154350299
150,17419.7873377546
151,17039.2488884030
152,16486.6020067456
153,16213.0166546126
154,17057.2420426896
155,17444.2848496777
156,17053.0622664764
157,16496.7944022172
158,16221.8902971614
159,17058.8513682904
160,17436.9534774963
161,17048.8601385188
162,16492.8157917042
163,16215.5424017361
164,17048.2566414185
165,17433.1089774500
166,17049.3071734079
167,16493.1287161265
168,16209.6638929443
169,17044.7921210280
170,17434.2042129283
171,17051.1623681977
172,16500.5271435412
173,16210.4685557447
174,17039.6288680588
175,17438.0934164635
176,17059.9913072576
177,16509.8254692346
178,16215.2741808026
179,17040.5452895815
180,17433.9359919949
181,17044.2109756721
182,16495.1627248720
183,16203.0477765856
184,17034.1750424117
185,17434.1595094394
186,17049.4412838747
187,16497.2190853618
188,16192.4306979693
189,17018.3500073373
190,17418.3344743651
191,17036.3208098794
192,16482.8022101882
193,16179.0420030406
194,16998.8145826834
195,17413.6182562850
196,17043.3839611273
197,16499.4095563185
198,16191.6707386578
199,17018.8193939709
200,17433.7571780392
201,17056.9961735006
202,16508.8866959675
203,16183.4452966982
204,17002.8602484298
205,17425.1517564239
206,17051.5423478535
207,16506.3162453552
208,16189.2120467677
209,16999.0604518724
210,17419.8543929880
211,17047.5190338515
212,16500.9294749414
213,16187.4462589557
214,17005.9671409091
215,17424.7270732793
216,17051.7882170425
217,16506.1150796551
218,16187.1780380223
219,16993.7407366920
220,17417.2392388867
221,17052.7493420541
222,16510.6971872684
223,16189.3238054900
224,16994.8359721703
225,17432.2819629052
226,17061.9806125141
227,16515.4134053485
228,16187.5356659336
229,16996.0653181154
230,17431.4325966159
231,17067.5461968835
232,16525.8963734980
233,16189.6814334013
234,16988.9127598897
235,17436.4393873739
236,17066.4286096607
237,16529.1373764440
238,16197.3257300050
239,16994.7242134481
240,17444.1283874665
241,17075.7492870986
242,16532.8254142792
243,16192.0954218025
244,16991.6620244577
245,17446.9894107568
246,17084.1758947582
247,16542.5037196283
248,16194.5541136925
249,16995.5735797374
250,17455.0583905051
251,17088.9815198161
252,16551.8467488106
253,16203.1818870523
254,16988.5327802340
255,17444.1060357220
256,17080.3984499453
257,16548.9410220314
258,16207.5404772211
259,16997.7864024385
260,17461.8980243084
261,17097.7210518981
262,16554.7971790787
263,16204.8582678864
264,16989.0692221009
265,17457.5841376286
266,17100.2691507660
267,16555.4900831568
268,16195.2693695151
269,16971.6125096813
270,17443.6142973440
271,17081.6277958903
272,16554.5960133786
273,16199.2032765392
274,16973.9370911046
275,17448.6210881020
276,17084.0194325470
277,16546.7952545637
278,16185.6357676549
279,16971.4783992146
280,17453.3820096710
281,17090.0097000610
282,16557.5911471356
283,16192.2295322692
284,16958.1344077747
285,17449.3810474135
286,17096.7599268866
287,16560.3180599592
288,16193.1236020474
289,16960.1237130313
290,17448.0846462351
291,17094.7482698856
292,16559.9157285590
293,16187.7815351226
294,16954.8039978509
295,17443.5695938551
296,17089.7861826165
297,16555.0430482677
298,16181.2101222527
299,16937.7049133426
300,17436.5734978406
301,17083.1477145133
302,16545.3200394297
303,16170.0118982806
304,16925.8808405257
305,17420.2567243882
306,17064.5510631265
307,16534.2335741798
308,16170.2130639807
309,16934.7097795856
310,17442.3625996545
311,17085.8746273368
312,16550.5056441433
313,16174.7951715940
314,16935.4920906415
315,17443.3684281550
316,17090.0991070389
317,16555.4677314124
318,16171.8000378370
319,16914.6602648092
320,17425.1517564239
321,17088.2886157380
322,16559.5133971588
323,16167.0838197570
324,16911.4863170965
325,17434.4053786284
326,17091.3955082173
327,16559.0216587808
328,16170.4812849142
329,16916.8283840213
330,17433.6454193169
331,17090.3449762279
332,16557.4570366689
333,16166.6144331234
334,16910.5698955738
335,17435.5676693401
336,17091.2837494950
337,16561.3909436930
338,16156.6008516074
339,16895.0354331774
340,17434.5171373507
341,17090.7026041392
342,16562.4414756824
343,16165.5862528785
344,16899.1705059016
345,17433.2654396612
346,17094.9941390746
347,16564.9672228059
348,16154.8127120510
349,16896.4212413336
350,17440.6415153315
351,17099.7774123880
352,16572.0750775427
353,16158.8807295419
354,16890.9003604532
355,17431.4325966159
356,17087.2827872375
357,16562.6202896381
358,16154.7009533287
359,16875.7235259680
360,17423.5424308231
361,17091.4402117062
362,16572.3432984761
363,16161.2723661986
364,16882.8090289604
365,17433.5336605947
366,17100.4926682106
367,16580.0770020577
368,16158.6795638418
369,16865.7099444520
370,17417.8427359870
371,17086.6569383928
372,16562.5979378936
373,16141.2452031666
374,16847.4709209765
375,17404.2081718693
376,17074.9669760426
377,16553.3666674336
378,16132.8185955070
379,16853.5058919794
380,17415.7193202638
381,17072.5082841525
382,16546.7505510748
383,16124.5037465696
384,16838.7090371500
385,17409.0137969272
386,17076.7998190880
387,16551.1985482214
388,16120.7039500122
389,16828.7178073785
390,17401.1459828789
391,17072.2847667080
392,16553.9925162783
393,16126.9624384597
394,16825.9908945550
395,17398.7990497111
396,17068.8649498063
397,16543.2860306842
398,16116.1441941433
399,16817.0054932839
400,17399.8272299561
401,17067.4344381612
402,16545.4541498964
403,16113.6855022532
404,16810.2776182029
405,17396.2733025877
406,17065.5345398825
407,16544.0459899957
408,16112.3220458415
409,16805.8966762896
410,17395.3121775761
411,17066.7862375720
412,16557.5911471356
413,16111.4056243188
414,16794.3184726618
415,17388.5172472617
416,17063.8134555594
417,16549.6562778540
418,16100.5426765135
419,16785.3330713908
420,17385.8350379270
421,17063.3664206703
422,16544.0236382513
423,16094.6865194662
424,16771.0950101727
425,17376.8496366560
426,17059.7230863241
427,16535.4182166360
428,16085.7905251730
429,16765.3282601033
430,17369.4288574968
431,17051.7658652980
432,16531.0819782116
433,16081.7001559377
434,16759.1368268891
435,17359.2364620252
436,17039.2041849141
437,16517.9391524719
438,16075.2405017901
439,16743.1329778591
440,17355.2131480233
441,17046.5579088399
442,16530.8584607671
443,16075.9110541238
444,16748.1174168727
445,17361.2481190262
446,17050.3130019084
447,16533.7865392907
448,16074.3240802674
449,16731.2418498089
450,17350.4075229654
451,17043.4286646162
452,16525.9187252425
453,16071.9994988441
454,16739.1990708350
455,17354.0732090560
456,17044.4568448611
457,16520.9789897178
458,16065.4057342298
459,16726.6150387067
460,17348.5076246867
461,17047.8096065294
462,16530.2773154112
463,16073.6088244449
464,16721.7870619043
465,17344.0149240512
466,17046.2002809286
467,16532.8924695125
468,16071.2171877882
469,16717.3837682466
470,17346.9653543193
471,17046.7590745400
472,16535.5746788472
473,16065.0481063185
474,16711.6617216661
475,17347.8594240975
476,17045.6191355728
477,16538.4804056263
478,16066.3221557524
479,16701.6481401501
480,17340.4609966828
481,17039.4277023587
482,16531.8866410120
483,16055.8391876029
484,16692.7521458569
485,17332.8614035680
486,17038.8018535139
487,16527.0139607208
488,16052.2629084901
489,16693.0874220237
490,17341.6456391389
491,17048.7707315410
492,16540.7155800719
493,16058.6331556598
494,16692.9756633014
495,17341.7797496056
496,17045.2838594060
497,16531.1490334450
498,16056.8003126145
499,16675.9212822820
500,17328.7263308437
501,17035.9855337126
502,16531.8866410120
503,16049.8936235778
504,16673.0602589918
505,17328.3239994435
506,17040.5005860925
507,16541.2073184499
508,16055.5933184139
509,16681.8891980516
510,17346.6524298969
511,17056.7726560560
512,16555.4006761790
513,16062.1423795393
514,16676.2118549599
515,17346.8535955970
516,17060.2148247021
517,16560.7874465927
518,16072.3794784998
519,16678.7599538279
520,17350.1169502875
521,17063.9028625372
522,16565.6824786285
523,16077.6991936802
524,16686.2030847315
525,17358.9458893473
526,17073.2235399751
527,16568.9905368078
528,16079.8002576590
529,16682.1797707295
530,17362.5221684602
531,17083.2594732355
532,16582.5803974367
533,16096.8546386784
534,16697.5130674259
535,17374.1003720880
536,17095.9329123417
537,16598.2489702998
538,16104.2307143486
539,16695.7472796139
540,17378.5036657457
541,17102.8619531229
542,16607.7484616933
543,16113.8643162089
544,16699.9270558270
545,17390.7077182183
546,17120.6315899648
547,16621.6735984890
548,16115.8536214654
549,16705.6714541520
550,17401.0789276456
551,17125.0125318781
552,16629.0943776482
553,16127.7894530045
554,16702.8998378396
555,17396.6309304990
556,17122.2409155656
557,16630.5025375488
558,16128.7729297606
559,16710.0076925764
560,17405.0798899031
561,17128.6782179687
562,16624.9816566684
563,16118.6922930112
564,16687.0748027652
565,17390.7747734517
566,17130.1087296139
567,16633.4529678169
568,16126.3142378705
569,16682.2244742184
570,17393.9263694199
571,17138.2224128511
572,16641.9466307100
573,16135.8137292640
574,16701.9163610836
575,17410.6454742724
576,17149.5100438011
577,16651.6919912925
578,16139.8593950104
579,16694.4732301799
580,17404.1411166359
581,17144.4361978097
582,16644.0253429443
583,16128.2364878936
584,16680.9280730400
585,17398.5084770332
586,17145.9337646882
587,16653.1672064265
588,16134.9643629747
589,16679.8998927951
590,17400.8107067121
591,17147.0960553999
592,16658.3304593957
593,16143.2345084232
594,16683.0514887633
595,17400.0060439117
596,17151.3652385909
597,16663.4490088760
598,16150.3870666488
599,16692.8192010902
600,17418.9603232098
601,17161.7364480181
602,16672.0320787468
603,16160.4006481648
604,16703.3245209842
605,17435.7911867846
606,17189.7878873095
607,16698.3400819707
608,16180.4725146857
609,16710.0970995542
610,17436.4840908628
611,17195.0405472565
612,16704.1068320402
613,16181.0536600415
614,16702.8551343507
615,17436.8417187740
616,17195.0628990010
617,16706.7890413748
618,16185.8816368439
619,16707.1690210305
620,17447.3470386680
621,17212.6090183984
622,16715.8638496237
623,16188.6085496674
624,16709.6724164095
625,17451.7726840702
626,17215.9841318112
627,16725.5421549728
628,16189.9496543347
629,16703.0115965619
630,17449.4033991579
631,17213.6595503878
632,16724.6033817057
633,16199.0244625836
634,16698.8541720932
635,17443.9495735108
636,17211.8043555980
637,16721.2506200374
638,16186.9768723222
639,16698.6977098820
640,17448.1964049573
641,17218.2416580011
642,16735.0639981108
643,16189.5473229345
644,16677.9552910275
645,17435.2547449177
646,17206.3281782065
647,16720.1553845591
648,16177.9467675622
649,16662.5325873533
650,17425.3305703796
651,17203.3777479384
652,16715.7073874125
653,16183.8699798429
654,16665.3936106436
655,17426.8281372581
656,17202.2601607156
657,16716.5120502129
658,16172.9399768043
659,16656.0952849502
660,17423.9224104789
661,17203.4224514273
662,16726.5926869622
663,16183.1323722759
664,16654.5977180717
665,17425.7105500353
666,17212.8325358430
667,16728.2914195408
668,16185.5463606770
669,16653.6812965490
670,17421.6425325444
671,17207.8480968294
672,16726.9503148735
673,16185.7698781216
674,16646.5510900678
675,17423.9894657122
676,17209.5915328969
677,16727.9114398851
678,16183.1323722759
679,16639.3538283531
680,17424.8164802571
681,17218.0851957900
682,16741.2554313249
683,16198.6891864168
684,16650.3508866252
685,17431.5220035937
686,17218.2193062567
687,16736.0698266113
688,16190.3519857349
689,16637.5656887967
690,17421.3296081221
691,17217.4146434563
692,16735.2875155553
693,16183.1770757648
694,16623.7970142123
695,17416.7698522532
696,17218.5769341680
697,16740.0260853798
698,16182.6182821534
699,16617.7620432093
700,17415.2275818858
701,17217.1017190339
702,16739.8472714242
703,16190.3966892238
704,16626.2110026134
705,17415.1158231635
706,17217.1017190339
707,16737.9697248900
708,16180.0701832855
709,16614.2304675854
710,17412.0759859176
711,17219.8733353464
712,16739.9590301465
713,16181.9030263308
714,16602.2946360462
715,17403.3588055800
716,17216.6770358893
717,16737.1203586007
718,16178.8631890849
719,16594.5609324647
720,17404.5657997806
721,17220.4768324467
722,16747.6927337280
723,16189.3238054900
724,16594.9185603760
725,17398.4861252887
726,17218.8451551014
727,16734.1252248437
728,16181.4336396973
729,16592.1692958080
730,17394.1498868644
731,17220.5215359356
732,16749.1232453732
733,16187.4909624447
734,16593.6892144310
735,17399.8048782116
736,17232.5691261970
737,16754.1300361311
738,16190.7319653907
739,16578.6911939014
740,17391.6017879965
741,17228.6575709173
742,16755.7617134764
743,16195.5375904486
744,16595.3655952651
745,17416.3228173641
746,17247.3436292820
747,16771.6761555286
748,16204.3441777640
749,16582.2227695254
750,17402.7553084797
751,17239.5205187226
752,16762.8695682132
753,16195.8728666154
754,16577.2606822563
755,17399.5143055337
756,17238.4252832443
757,16764.7024112585
758,16195.1129073039
759,16572.2538914983
760,17392.7640787082
761,17239.6769809338
762,16762.5789955353
763,16194.1964857813
764,16575.8972258445
765,17396.1168403765
766,17247.8577194044
767,16775.6771177861
768,16203.8747911304
769,16567.2918042292
770,17388.3607850505
771,17241.2639547901
772,16773.9336817186
773,16206.9816836097
774,16571.6503943980
775,17400.8107067121
776,17250.9869636282
777,16776.5264840754
778,16201.2372852847
779,16552.4502459109
780,17382.1470000919
781,17231.2727250186
782,16761.3943530791
783,16193.8612096144
784,16553.9925162783
785,17392.3393955635
786,17249.3776380274
787,16785.0648504573
788,16204.2100672972
789,16543.5989551066
790,17381.5435029916
791,17241.4427687458
792,16778.4934375874
793,16204.7912126531
794,16539.5309376157
795,17379.3530320350
796,17242.3144867795
797,16776.1688561641
798,16201.9748928517
799,16547.1305307306
800,17387.4890670167
801,17252.7303996957
802,16785.9142167466
803,16213.6648552018
804,16544.5153766293
805,17388.9195786619
806,17253.5127107516
807,16786.3388998912
808,16211.7426051787
809,16532.7136555569
810,17377.9672238788
811,17252.5515857400
812,16788.5293708479
813,16211.1167563339
814,16531.1043299561
815,17378.0342791121
816,17252.7974549290
817,16795.5254668624
818,16221.4656140167
819,16540.2014899494
820,17391.1324013629
821,17269.1812836148
822,16799.2358564420
823,16223.0525878731
824,16530.4784811113
825,17380.8058954246
826,17267.5272545251
827,16798.8782285307
828,16222.7396634507
829,16522.3871496185
830,17384.9409681488
831,17265.8061702020
832,16802.0298244989
833,16228.3499513090
834,16518.1850216609
835,17369.9429476193
836,17260.1064753659
837,16796.2854261739
838,16215.6541604583
839,16518.1179664276
840,17374.6591656994
841,17265.7391149687
842,16801.0239959984
843,16218.0905006040
844,16502.0023586753
845,17359.1023515585
846,17260.6429172329
847,16798.5653041083
848,16220.6162477274
849,16501.0635854082
850,17365.4278952393
851,17271.1035336379
852,16812.6916066041
853,16232.1497478664
854,16510.9654082019
855,17371.7757906646
856,17274.8362749620
857,16814.3456356937
858,16229.9145734208
859,16502.2258761198
860,17365.6961161728
861,17280.6700802648
862,16820.0453305299
863,16239.4140648143
864,16515.3463501151
865,17375.9779186222
866,17282.2794058656
