sample,value
0,22779.4227337149
1,22806.2671788057
2,22827.9036674385
3,22821.1310888685
4,22802.3109200371
5,22788.1622657969
6,22834.3409698416
7,22861.7442085438
8,22833.6480657635
9,22814.5596759987
10,22798.3993647575
11,22835.8161849756
12,22857.2068044194
13,22840.7559205003
14,22806.5577514837
15,22775.8464546021
16,22815.6772632214
17,22861.4312841214
18,22849.3836938600
19,22798.5334752242
20,22787.9834518413
21,22839.2136501329
22,22858.2796881532
23,22831.8822779515
24,22800.0533938472
25,22782.6413849165
26,22822.4498417914
27,22844.5333653132
28,22811.2069143304
29,22787.8940448635
30,22794.1748850554
31,22837.3584553431
32,22845.2709728802
33,22831.5022982958
34,22799.5840072136
35,22782.7531436387
36,22829.4682895503
37,22863.0629614667
38,22822.7851179582
39,22790.3750884980
40,22763.8659195740
41,22824.9532371704
42,22844.1310339130
43,22824.9085336815
44,22799.2710827912
45,22791.3585652540
46,22832.5528302852
47,22868.8297115361
48,22834.7209494973
49,22788.4081349859
50,22787.4246582299
51,22824.7967749592
52,22835.1903361309
53,22812.8832951645
54,22795.3371757671
55,22768.8503585875
56,22807.9659113843
57,22843.9522199574
58,22816.8395539331
59,22785.4800564623
60,22768.4703789318
61,22808.1670770844
62,22833.2457343633
63,22821.7569377133
64,22807.1388968395
65,22785.5247599512
66,22819.0970801231
67,22848.7354932708
68,22831.3458360846
69,22802.6908996929
70,22779.1992162704
71,22817.5771615001
72,22847.4167403480
73,22816.9960161443
74,22788.4081349859
75,22775.4441232019
76,22819.8123359456
77,22838.6772082659
78,22823.8356499476
79,22796.6782804344
80,22768.1127510205
81,22792.6326146880
82,22826.3613970711
83,22815.4090422880
84,22789.7939431422
85,22771.8678440890
86,22812.3468532976
87,22830.4294145619
88,22807.6082834731
89,22806.0660131056
90,22792.1408763100
91,22816.6830917219
92,22851.3729991165
93,22828.5071645388
94,22800.6568909474
95,22772.1360650225
96,22811.5421904972
97,22845.1145106691
98,22823.8580016921
99,22794.2642920332
100,22761.0272480282
101,22782.4178674719
102,22809.1505538405
103,22812.1233358530
104,22790.9115303649
105,22769.5656144101
106,22810.2010858299
107,22840.3312373556
108,22823.2768563362
109,22797.1476670680
110,22778.1933877699
111,22800.9027601365
112,22832.3293128406
113,22813.9338271539
114,22788.0058035857
115,22764.8046928411
116,22795.8512658896
117,22832.3516645851
118,22806.6248067170
119,22770.3702772105
120,22745.1128059760
121,22772.4936929338
122,22818.7618039562
123,22828.9094959390
124,22802.9367688819
125,22773.2760039897
126,22810.4246032744
127,22842.0970251676
128,22816.7724986997
129,22784.6753936619
