freq_hz,power
0.000000,473317.8617202326
0.083836,1088398.4485492979
0.167673,6322819.8614270370
0.251509,2110816.5601791539
0.335345,286715.9918846533
0.419182,268271.9985396657
0.503018,57772.0329440354
0.586854,79938.7079594782
0.670691,57331.6034637523
0.754527,41714.2708826214
0.838364,14319.7681723629
0.922200,4995.9833488876
1.006036,2633.5706320409
1.089873,501.2926346849
1.173709,31.1393500055
1.257545,18.5418555510
1.341382,352.8294909766
1.425218,102.0458958340
1.509054,8.7483381402
1.592891,16.1305539484
1.676727,201.2626991001
1.760563,146.6639191147
1.844400,41.0458993155
1.928236,340.2822335001
2.012072,404.2451130933
2.095909,288.1227343974
2.179745,127.1747256330
2.263581,192.9150897861
2.347418,272.4464533701
2.431254,194.2598994046
2.515091,57.6151417793
2.598927,130.3746146828
2.682763,62.1303186266
2.766600,302.6880783902
2.850436,408.5469251245
2.934272,51.7682686632
3.018109,111.4783167546
3.101945,144.5903702086
3.185781,114.7770981266
3.269618,95.5998310078
3.353454,7.5749813105
3.437290,115.6047698724
3.521127,152.2200104345
3.604963,125.2748597799
3.688799,204.3924373372
3.772636,121.1843706778
3.856472,3.3261922730
3.940309,35.4209432428
4.024145,51.5520134018
4.107981,8.9358849863
4.191818,10.8073512339
4.275654,147.7083606958
4.359490,193.7035156027
4.443327,4.0204525527
4.527163,145.0066143712
4.610999,390.0194403477
4.694836,324.1327422197
4.778672,161.6866117065
4.862508,172.8091786194
4.946345,41.4713574933
5.030181,40.2593670865
5.114017,2.4920155722
5.197854,37.2524615133
5.281690,24.5622959540
5.365526,24.9278497246
5.449363,61.4757070163
5.533199,40.5639698514
5.617036,14.2732672904
5.700872,3.9000508936
5.784708,26.2641721056
5.868545,99.2967048350
5.952381,53.1888492663
6.036217,9.7664919442
6.120054,33.7690335730
6.203890,96.9335939595
6.287726,142.5775747479
6.371563,101.3288948014
6.455399,156.7038494102
6.539235,442.7225711612
6.623072,371.6540220304
6.706908,162.7784755402
6.790744,104.4623334170
6.874581,1.0849611072
6.958417,81.6996173681
7.042254,173.4422323125
7.126090,462.8300869652
7.209926,580.4341353792
7.293763,201.5488410738
7.377599,70.4680686330
7.461435,244.9842897510
7.545272,208.1082285678
7.629108,154.3181047011
7.712944,71.2188817861
7.796781,12.5911130579
7.880617,28.9882812977
7.964453,17.2819833856
8.048290,67.2954877525
8.132126,74.6977854448
8.215962,25.9202936911
8.299799,55.5487466602
8.383635,304.3259764002
8.467471,317.0807892230
8.551308,169.7047317085
8.635144,135.7272756056
8.718981,19.6338371815
8.802817,54.1891310149
8.886653,42.1901275731
8.970490,120.0013391768
9.054326,160.5174838852
9.138162,126.0888150927
9.221999,7.9260125058
9.305835,6.7623330165
9.389671,66.3790511942
9.473508,61.2616004425
9.557344,5.2297512861
9.641180,23.6797289677
9.725017,8.7892432134
9.808853,55.4834116117
9.892689,61.1883794227
9.976526,21.1136485467
10.060362,52.6436743040
10.144199,84.0993065486
10.228035,7.8020675116
10.311871,25.6985052130
10.395708,28.3571705777
10.479544,52.4526738625
10.563380,1.6832366439
10.647217,32.8216262451
10.731053,21.4381351544
10.814889,18.0800897866
10.898726,169.1922061812
10.982562,280.4558936611
11.066398,45.1011269886
11.150235,36.7451674239
11.234071,37.2127053040
11.317907,40.5115862506
11.401744,9.2647526198
11.485580,120.4767957856
11.569416,361.3848676629
11.653253,252.6439996105
11.737089,115.7806364454
11.820926,503.6969028228
11.904762,869.9989076138
11.988598,3061.8431342881
12.072435,2312.0516519991
12.156271,1201.2653110592
12.240107,543.8456307970
12.323944,166.4835125221
12.407780,153.6354523253
12.491616,55.4724118382
12.575453,113.5695386775
12.659289,10.4403579301
12.743125,14.2893896158
12.826962,3.4389562235
12.910798,49.9106906753
12.994634,51.3985883155
13.078471,15.3222229729
13.162307,54.4155165115
13.246144,107.8552389875
13.329980,9.8505395677
13.413816,2.1852623122
13.497653,15.5641683439
13.581489,45.1074004289
13.665325,21.0075318365
13.749162,15.3048595647
13.832998,16.4917287770
13.916834,32.5066229174
14.000671,14.2051575182
14.084507,4.1620605046
14.168343,21.6008561201
14.252180,6.4593147627
14.336016,13.5655655819
14.419852,37.2556291430
14.503689,87.3161368099
14.587525,26.0382349998
14.671362,6.0396992237
14.755198,9.0080977301
14.839034,12.4863141329
14.922871,39.9163295409
15.006707,16.6991888114
15.090543,56.1780156236
15.174380,115.4368344011
15.258216,26.2388867585
15.342052,19.3664967410
15.425889,9.4028423300
15.509725,59.4137353147
15.593561,5.3839629838
15.677398,48.7668452166
15.761234,95.7405045436
15.845070,47.7763170005
15.928907,1.9963504495
16.012743,0.6974965928
16.096579,53.2451820151
16.180416,59.0566489033
16.264252,16.2583294374
16.348089,11.9128315706
16.431925,21.3906030264
16.515761,30.2300966860
16.599598,35.9886171341
16.683434,55.7206327730
16.767270,38.7245339152
16.851107,14.9301356371
16.934943,154.2699949851
17.018779,207.0507028349
17.102616,113.0783344387
17.186452,22.6330741481
17.270288,74.7375692961
17.354125,61.7201067393
17.437961,5.9783550830
17.521797,20.1770769744
17.605634,5.3864984093
17.689470,74.5578242079
17.773307,52.9752567489
17.857143,7.4352752832
17.940979,60.6738122675
18.024816,58.3404784634
18.108652,74.4306188374
18.192488,219.7784207042
18.276325,268.2687952780
18.360161,102.7033843959
18.443997,48.6934664394
18.527834,205.2093679857
18.611670,270.1842119806
18.695506,44.7697612653
18.779343,26.7125863275
18.863179,40.5640623994
18.947015,20.8673040229
19.030852,51.4498606193
19.114688,8.7725556987
19.198524,167.9194218868
19.282361,380.4523407392
19.366197,310.7330178362
19.450034,73.5947549976
19.533870,20.7243177999
19.617706,27.2742862503
19.701543,89.7901799153
19.785379,143.4836439158
19.869215,142.0304370120
19.953052,42.2804927401
20.036888,5.4430454575
20.120724,48.5818853849
20.204561,102.1246071736
20.288397,55.7261378993
20.372233,7.4581410024
20.456070,8.6787246546
20.539906,136.5566745675
20.623742,227.9038892636
20.707579,31.2692684220
20.791415,64.5340871594
20.875252,109.1511338767
20.959088,60.5998351501
21.042924,102.5663527065
21.126761,142.6991487492
21.210597,15.2751092098
21.294433,218.6553533708
21.378270,186.0840981599
21.462106,60.4305940819
21.545942,92.6726025993
21.629779,154.7638688849
21.713615,191.4412521030
21.797451,108.6395888845
21.881288,49.9187764039
21.965124,73.8277805592
22.048960,63.5857191326
22.132797,12.5000599432
22.216633,15.8961520588
22.300469,93.2131237672
22.384306,103.8743705128
22.468142,125.3448946918
22.551979,177.5457305257
22.635815,91.4545671543
22.719651,87.8071367663
22.803488,7.6787772657
22.887324,43.3768313035
22.971160,91.0474135942
23.054997,179.0687523240
23.138833,350.9725406161
23.222669,82.2869044067
23.306506,215.8981345881
23.390342,484.3223369100
23.474178,106.7788566128
23.558015,1190.6441684459
23.641851,365.5439709166
23.725687,422.6636432399
23.809524,2667.9049530431
23.893360,3749.0052019259
