sample,value
0,0.0000000000
1,5445.1531702463
2,5441.2192632221
3,5405.5235273270
4,5336.5013404490
5,5349.6441661887
6,5438.8052748210
7,5447.2765859695
8,5406.7305215276
9,5317.2564884730
10,5318.1952617401
11,5423.1590537022
12,5445.2425772241
13,5383.2164863606
14,5322.2409274865
15,5347.3866399988
16,5441.2863184555
17,5430.4457223947
18,5385.0493294059
19,5316.5412326504
20,5347.4536952321
21,5461.8499233544
22,5456.6866703852
23,5420.2756786675
24,5350.7617534115
25,5346.0008318425
26,5441.3086702000
27,5435.0054782636
28,5380.3778148148
29,5326.8900903332
30,5332.2992124914
31,5436.1230654863
32,5459.5253419310
33,5408.9880477176
34,5327.0242008000
35,5309.0981017468
36,5385.4963642950
37,5424.8577862808
38,5439.9452137882
39,5374.9016374232
40,5366.7879541860
41,5453.2221499946
42,5449.6905743707
43,5396.6051812893
44,5313.1884709821
45,5332.6121369138
46,5431.8985857843
47,5427.7188095711
48,5392.0454254205
49,5334.6908491481
50,5340.9269858512
51,5446.6954406137
52,5448.0365452810
53,5397.5886580454
54,5321.0115815415
55,5304.2924766889
56,5413.5478035865
57,5411.5584983299
58,5360.4400587607
59,5339.4964742060
60,5352.0581545899
61,5446.2484057246
62,5460.3747082203
63,5407.6245913058
64,5319.5363664074
65,5302.7278545770
66,5411.1561669297
67,5430.3786671613
68,5407.0210942055
69,5335.5402154374
70,5309.5004331470
71,5405.9929139606
72,5429.3728386608
73,5405.0541406934
74,5329.3040787344
75,5321.6374303862
76,5412.0502367080
77,5421.0356379790
78,5391.9113149537
79,5324.0961222763
80,5316.9882675395
81,5420.4768443676
82,5429.3951904053
83,5381.5177537820
84,5304.7171598336
85,5291.8425550273
86,5414.5759838314
87,5437.1959492202
88,5382.3894718158
89,5317.7482268510
90,5310.7521308365
91,5395.1523178997
92,5424.7460275586
93,5400.1144051688
94,5342.1116283073
95,5315.1554244942
96,5411.3126291409
97,5431.4739026396
98,5398.6615417792
99,5324.3419914653
100,5305.9688575231
101,5419.5380711005
102,5444.1696934902
103,5406.0599691939
104,5335.1825875262
105,5312.6520291152
106,5407.9151639837
107,5429.8645770388
108,5380.2437043481
109,5297.1399184632
110,5303.0407789994
111,5423.4049228912
112,5458.6983273862
113,5410.7091320406
114,5332.2992124914
115,5304.9406772781
116,5412.5419750860
117,5424.5225101140
118,5378.6343787473
119,5329.6840583901
120,5299.6209620978
121,5409.3009721400
122,5445.2202254796
123,5407.9151639837
124,5334.5120351925
125,5311.3556279368
126,5408.9880477176
127,5433.1055799849
128,5397.1639749007
129,5319.6704768742
130,5292.5578108499
131,5418.4651873666
132,5442.7168301006
133,5394.4147103327
134,5330.7792938685
135,5319.6704768742
136,5404.6518092932
137,5415.4700536096
138,5390.6372655198
139,5338.0436108164
140,5301.2526394430
141,5422.6673153242
142,5448.1930074922
143,5402.2825243810
144,5331.4721979466
145,5308.8298808133
146,5403.5342220705
147,5421.8179490349
148,5377.2262188466
149,5317.7482268510
150,5292.2448864275
151,5393.2524196210
152,5424.3660479028
153,5388.6256085188
154,5313.7249128491
155,5283.1030229453
156,5378.0979368803
157,5420.9238792567
158,5404.9423819712
159,5335.7860846264
160,5293.2060114391
161,5391.3525213423
162,5426.9141467707
163,5388.2903323520
164,5325.0125437990
165,5288.9591799926
166,5387.1727451292
167,5423.5837368469
168,5371.8841519218
169,5316.9882675395
170,5289.7861945374
171,5379.2602275920
172,5411.8043675189
173,5391.3078178534
174,5326.5548141664
175,5282.8795055007
176,5362.8093436729
177,5409.1445099288
178,5400.9414197137
179,5322.5315001644
180,5287.5957235808
181,5390.5925620309
182,5425.0589519809
183,5381.9200851822
184,5319.3575524518
185,5290.3226364044
186,5392.8500882208
187,5421.1026932124
188,5386.5468962844
189,5323.4032181982
190,5305.2759534450
191,5387.2621521070
192,5435.8548445529
193,5400.3379226134
194,5320.6316018857
195,5291.4625753716
196,5385.1610881282
197,5430.3786671613
198,5396.6945882672
199,5336.7472096380
200,5281.8513252558
201,5365.2233320741
202,5401.7684342585
203,5372.0853176219
204,5309.3886744247
205,5271.4130605952
206,5372.7111664666
207,5415.5818123319
208,5387.0833381514
209,5328.1864915116
210,5293.3177701614
211,5388.1562218852
212,5437.8665015538
213,5408.3621988728
214,5339.7870468839
215,5292.8483835278
216,5398.9521144571
217,5444.0355830235
218,5396.7169400116
219,5330.9581078241
220,5291.8649067718
221,5376.8015357019
222,5414.9112599982
223,5389.3855678303
224,5326.3312967219
225,5283.6394648122
226,5388.2903323520
227,5430.4457223947
228,5394.1241376548
229,5332.2545090025
230,5275.8610577418
231,5369.7160327096
232,5431.1609782172
233,5399.0862249239
234,5339.6976399061
235,5292.1331277052
236,5388.6926637522
237,5420.4991961121
238,5371.3924135438
239,5307.7793488239
240,5263.7017087581
241,5350.1135528223
242,5392.4477568207
243,5372.6441112332
244,5322.5538519089
245,5277.3362728758
246,5378.1202886248
247,5427.4282368932
248,5382.2106578601
249,5317.7929303399
250,5264.6404820252
251,5339.4741224616
252,5401.8801929808
253,5402.2601726365
254,5344.4809132196
255,5284.9135142462
256,5386.6363032623
257,5446.6730888692
258,5406.9093354832
259,5332.2321572581
260,5270.1837146501
261,5371.7723931995
262,5428.2552514381
263,5395.9122772112
264,5328.5664711674
265,5285.9193427467
266,5375.5498380124
267,5431.1609782172
268,5395.5770010444
269,5338.0212590720
270,5275.7269472750
271,5375.6168932458
272,5439.9675655326
273,5392.1571841427
274,5318.3964274402
275,5276.4198513532
276,5363.0999163508
277,5417.8616902663
278,5378.8802479363
279,5342.3574974963
280,5321.9727065531
281,5389.2961608525
282,5433.9549462742
283,5386.3457305844
284,5322.1515205087
285,5262.4276593241
286,5339.9211573507
287,5417.1240826993
288,5383.5517625274
