freq_hz,power
0.000000,3689680.0714140269
0.100725,5017314.3606677698
0.201450,2563876.2633789675
0.302176,667549.7555932660
0.402901,379253.7511022614
0.503626,75072.9823510921
0.604351,10553.9746892109
0.705077,24248.9913177754
0.805802,20692.2239168843
0.906527,4095.7796476605
1.007252,1374.7259743736
1.107977,5229.0898930070
1.208703,5869.4298209786
1.309428,1042.0223765492
1.410153,240.5020877309
1.510878,285.7451766299
1.611604,112.2392869436
1.712329,157.5582094161
1.813054,1178.4100900469
1.913779,1034.4988293105
2.014504,18.0295407399
2.115230,539.2379316386
2.215955,318.3745979159
2.316680,102.8633991659
2.417405,117.0817389468
2.518131,586.5064206697
2.618856,897.4907713805
2.719581,356.1836604766
2.820306,509.7651019148
2.921031,263.9905683924
3.021757,261.8989641766
3.122482,335.4772367076
3.223207,210.7398622549
3.323932,42.3218676151
3.424658,46.2292240869
3.525383,167.1976255925
3.626108,181.9319806078
3.726833,55.4562533912
3.827558,341.2324694661
3.928284,460.8521984599
4.029009,272.4449159194
4.129734,15.0666115269
4.230459,242.4579347332
4.331185,181.3525403968
4.431910,14.2895504366
4.532635,217.5031485726
4.633360,563.1711674851
4.734085,88.6621527954
4.834811,182.5364124510
4.935536,142.0072765154
5.036261,47.9011734781
5.136986,160.1311000953
5.237712,26.5188352586
5.338437,9.1859240094
5.439162,175.8159093908
5.539887,242.0876649181
5.640612,400.1075903886
5.741338,541.8907700888
5.842063,233.5831420267
5.942788,172.9355416890
6.043513,77.7288802828
6.144239,5.3228752996
6.244964,142.6719284234
6.345689,623.5078785467
6.446414,729.5486023996
6.547139,297.6901999248
6.647865,236.9831281434
6.748590,110.4407870147
6.849315,8.8048188281
6.950040,162.8950020662
7.050766,476.7559041837
7.151491,385.8593407711
7.252216,136.1697097578
7.352941,4.2833584562
7.453666,82.8202721420
7.554392,28.3093392880
7.655117,590.0832228577
7.755842,1021.1437037773
7.856567,178.3055661804
7.957293,53.3951489067
8.058018,141.6361863097
8.158743,14.8908011841
8.259468,190.8524360868
8.360193,143.1470386458
8.460919,31.4944628224
8.561644,81.9302215738
8.662369,203.4706171174
8.763094,483.2394529383
8.863820,243.1446623782
8.964545,111.0178549431
9.065270,185.7937761383
9.165995,35.4713048660
9.266720,98.1452368562
9.367446,37.0162538634
9.468171,91.3222724762
9.568896,107.9585141120
9.669621,153.6342927410
9.770346,62.8907685353
9.871072,120.7504975161
9.971797,348.9143364628
10.072522,288.1804602190
10.173247,10.6989712942
10.273973,115.6565563547
10.374698,1.0159403996
10.475423,106.1098364891
10.576148,76.4020419972
10.676873,89.4792441375
10.777599,254.8068062307
10.878324,721.1503815030
10.979049,1237.9941658831
11.079774,1470.5809834462
11.180500,1183.8110968795
11.281225,1005.4947845755
11.381950,411.9758260397
11.482675,16.3450414238
11.583400,108.8492168357
11.684126,328.6219284524
11.784851,570.2933481617
11.885576,34.2790358758
11.986301,599.5423264835
12.087027,1610.9922308688
12.187752,490.5969697775
12.288477,1051.2488076480
12.389202,830.3548813564
12.489927,439.4078928066
12.590653,227.6067037500
12.691378,15.8456890263
12.792103,242.6838822740
12.892828,277.1847944151
12.993554,17.2979820984
13.094279,548.3691564305
13.195004,1224.8856313400
13.295729,206.8953295798
13.396454,769.6878343952
13.497180,808.9487535619
13.597905,2697.0365831634
13.698630,3057.4021085898
13.799355,1036.2759242626
13.900081,388.2602255403
14.000806,56.7478297512
14.101531,580.0397031834
14.202256,1853.1519023205
14.302981,176.7114680351
14.403707,1174.4852276775
14.504432,996.8292611903
14.605157,227.8233403365
14.705882,336.4453283906
14.806608,164.1008414524
14.907333,98.9541361947
15.008058,36.7608567512
15.108783,541.0343958178
15.209508,570.3354820076
15.310234,635.6562740360
15.410959,633.4356848279
15.511684,150.3480867661
15.612409,41.9989000724
15.713135,345.5102007458
15.813860,995.4566464441
15.914585,633.8235545920
16.015310,10.9913643502
16.116035,204.6005629296
16.216761,244.3890582329
16.317486,493.6556484672
16.418211,81.5019487259
16.518936,1082.4294011451
16.619662,705.9949962553
16.720387,162.1816629107
16.821112,55.9848468586
16.921837,768.4008298410
17.022562,1410.5114528019
17.123288,568.4324699256
17.224013,272.3529374140
17.324738,64.1180313129
17.425463,363.0615450846
17.526189,582.8793505614
17.626914,93.6329283371
17.727639,503.2234825916
17.828364,1035.2773488470
17.929089,346.6916274102
18.029815,8.8659862132
18.130540,282.2588016142
18.231265,224.1815335407
18.331990,164.4233557248
18.432716,729.4349368307
18.533441,19.5905034771
18.634166,753.7074854202
18.734891,1149.0199667449
18.835616,1137.5050059803
18.936342,279.9998595360
19.037067,59.3811180518
19.137792,25.3776273373
19.238517,122.4229256401
19.339243,230.2483945195
19.439968,60.1102124451
19.540693,0.4046206471
19.641418,744.1952299354
19.742143,560.7188321645
19.842869,109.7366534546
19.943594,330.7958202752
20.044319,383.3867879391
20.145044,141.0729846613
20.245770,1156.6902267852
20.346495,1608.1039449871
20.447220,351.5621593432
20.547945,246.6781638054
20.648670,451.7537566560
20.749396,769.2403415141
20.850121,353.0393372754
20.950846,460.7929693812
21.051571,77.9416442176
21.152297,186.3210016818
21.253022,266.1391294050
21.353747,722.2954887349
21.454472,832.2090281588
21.555197,404.8049269761
21.655923,444.9707427470
21.756648,89.1901082051
21.857373,113.6133472112
21.958098,205.9678517220
22.058824,128.3910782755
22.159549,96.6289255085
22.260274,225.9170574323
22.360999,796.0579781476
22.461724,150.3684044315
22.562450,177.7845150850
22.663175,678.9239720430
22.763900,243.0313796997
22.864625,343.0118108489
22.965351,370.0687627300
23.066076,62.9207807135
23.166801,442.9507097710
23.267526,649.4129717720
23.368251,421.6883133823
23.468977,344.8109375628
23.569702,696.3516862882
23.670427,1039.2342291405
23.771152,712.6662955490
23.871878,295.7613806784
23.972603,1049.4395036226
24.073328,464.5353085166
24.174053,281.2649634031
24.274778,266.2130441988
24.375504,331.6163864539
24.476229,333.3140316922
24.576954,635.0660685787
24.677679,529.8534003551
24.778405,1164.9943848790
24.879130,229.8363357690
24.979855,29.1589452519
25.080580,446.2454339371
25.181305,600.2369133185
25.282031,592.6735770251
25.382756,1299.5862658971
25.483481,894.5775065745
25.584206,6.8647000463
25.684932,64.7529631842
25.785657,1145.4836036102
25.886382,2171.2825276324
25.987107,510.5248590109
26.087832,861.8299489931
26.188558,245.2700596275
26.289283,37.0806125958
26.390008,476.9527384503
26.490733,2094.5237747990
26.591459,1447.3594437691
26.692184,756.7594378307
26.792909,60.0556797512
26.893634,977.8766620431
26.994359,881.9823637910
27.095085,605.1852945496
27.195810,70.7770254254
27.296535,578.5344551839
27.397260,1457.5156573415
27.497985,1332.5191738064
27.598711,1116.5704465270
27.699436,1184.2887846714
27.800161,822.6944579583
27.900886,1240.8154032511
28.001612,2970.4547788774
28.102337,1868.9230087584
28.203062,1104.8484817792
28.303787,972.3920551603
28.404512,697.7977816506
28.505238,82.7654415752
28.605963,1004.8407782374
28.706688,1127.0302147221
28.807413,824.6464445795
28.908139,508.2725662520
29.008864,74.2367140870
29.109589,295.8925163605
29.210314,155.5127978808
29.311039,322.3823097412
29.411765,328.5356728258
29.512490,335.1451814760
29.613215,68.5033039442
29.713940,138.5661773953
29.814666,1251.4951902497
29.915391,2716.7806573576
30.016116,684.2997630858
30.116841,825.7293603818
30.217566,170.1694865355
30.318292,136.7853116457
30.419017,253.1165478833
30.519742,600.5955108115
30.620467,892.5591558054
30.721193,21.0233363794
30.821918,390.7378158747
30.922643,1014.2172834485
31.023368,1452.5261628566
31.124093,285.4690160183
31.224819,90.9634256796
31.325544,1804.0651643781
31.426269,581.9969637125
31.526994,971.7404408730
31.627720,2125.9691762698
31.728445,709.3675754966
31.829170,130.3356106052
31.929895,650.3919108074
32.030620,1261.1605860067
32.131346,325.0582253532
32.232071,1488.4369892732
32.332796,1850.6555240379
32.433521,1196.9298950409
32.534247,1029.3182063341
32.634972,215.6388025247
32.735697,177.7013261192
32.836422,211.1574665211
32.937147,81.9745820121
33.037873,94.6006890486
33.138598,1620.0810827057
33.239323,760.4002521349
33.340048,441.6707774008
33.440774,652.1554074409
33.541499,407.7560647288
33.642224,505.3087141719
33.742949,620.4508101466
33.843674,749.6186983049
33.944400,36.2791780583
34.045125,265.3092771544
34.145850,184.6285614424
34.246575,1696.9648726681
34.347301,487.5940572940
34.448026,160.4855269598
34.548751,4.0599606398
34.649476,1101.9515536428
34.750201,673.6049516220
34.850927,22.9284832473
34.951652,230.9835870095
35.052377,1568.3204282906
35.153102,1304.9263477525
35.253828,577.6479938016
35.354553,611.8854399838
35.455278,443.1883471068
35.556003,167.1668747652
35.656728,1672.0155972708
35.757454,1102.8250135210
35.858179,125.6062644692
35.958904,125.8523428174
36.059629,178.4142993192
36.160355,27.4189857567
36.261080,174.6462417543
36.361805,1527.1475252698
36.462530,2605.9472579607
36.563255,1039.0382822459
36.663981,321.4979976961
36.764706,990.2692952094
36.865431,761.7506097862
36.966156,62.9228317245
37.066882,343.9613098355
37.167607,95.3181751943
37.268332,17.1090006518
37.369057,26.9920670083
37.469782,453.8573851372
37.570508,591.1844907731
37.671233,593.7106062930
37.771958,938.4412789631
37.872683,748.9305702940
37.973409,54.2769464137
38.074134,410.9852456630
38.174859,910.6783460866
38.275584,283.1541880186
38.376309,453.5343606570
38.477035,538.0889099479
38.577760,891.9092547777
38.678485,179.6964368537
