sample,value
0,1176.0146827715
1,1373.8723246899
2,1354.0910308470
3,1133.5687200509
4,1108.6688767277
5,1181.4685084186
6,1368.8431821875
7,1344.8597603869
8,1138.0167171975
9,1109.7194087171
10,1181.7367293521
11,1369.3572723099
12,1358.4272692713
13,1150.4889906036
14,1113.8544814413
15,1186.3858921988
16,1379.6167230149
17,1358.1590483378
18,1143.3140806334
19,1113.2509843410
20,1194.4995754361
21,1381.5166212936
22,1361.8023826840
23,1151.3383568929
24,1110.7028854731
25,1180.1050520068
26,1363.0987838624
27,1360.1483535943
28,1147.2926911465
29,1093.9167253872
30,1181.3120462074
31,1377.2697898471
32,1369.6031414989
33,1155.9875197396
34,1106.8136819379
35,1173.9359705372
36,1368.3067403205
37,1363.5905222405
38,1147.9855952246
39,1104.1314726033
40,1173.4442321592
41,1363.5011152626
42,1360.3718710389
43,1139.4025253537
44,1091.8603648973
45,1159.9214267637
46,1347.8101906550
47,1355.9909291257
48,1144.3422608784
49,1103.9750103921
50,1174.3606536818
51,1365.1104408634
52,1371.1901153553
53,1155.2722639170
54,1107.1042546158
55,1167.8562960453
56,1354.0686791025
57,1368.9772926542
58,1152.5453510935
59,1094.7660916765
60,1153.8417522719
61,1353.3981267688
62,1359.2989873050
63,1142.6658800442
64,1102.4550917691
65,1175.5005926491
66,1364.9316269078
67,1373.9170281788
68,1150.2654731590
69,1105.4055220372
70,1171.8125548139
71,1358.3602140379
72,1372.5312200226
73,1159.2285226856
74,1096.9342108886
75,1161.8213250424
76,1356.1026878479
77,1373.5370485231
78,1149.8631417588
79,1099.4599580121
80,1162.8271535429
81,1349.5089232336
82,1366.1609728528
83,1144.6551853007
84,1099.2364405675
85,1163.3188919209
86,1341.0823155740
87,1364.6634059743
88,1152.8582755158
89,1098.1188533448
90,1159.2508744300
91,1335.7178969047
92,1366.7868216976
93,1155.5404848505
94,1099.0129231230
95,1152.9700342381
96,1326.2407572556
97,1358.7178419492
98,1149.1031824473
99,1093.1344143312
100,1145.3257376344
101,1325.4360944553
102,1364.9092751633
103,1147.8738365023
104,1094.0955393428
105,1153.8417522719
106,1338.2436440281
107,1375.7051677352
108,1156.3227959064
109,1093.1567660757
110,1155.4957813616
111,1345.9773476097
112,1379.4155573148
113,1163.4977058766
114,1091.9721236196
115,1146.0856969459
116,1339.0259550841
117,1387.3057231075
118,1167.2304472006
119,1098.7894056784
120,1152.3218336489
121,1345.4185539983
122,1382.4553945607
123,1164.2576651880
124,1104.6008592368
125,1157.1721621957
126,1329.3923532238
127,1382.6565602608
128,1174.9194472932
129,1104.0420656254
130,1162.9165605207
131,1347.3408040215
132,1390.5690777980
133,1176.5511246385
134,1103.9750103921
135,1151.4501156151
136,1324.1620450213
137,1379.1920398703
138,1180.5967903849
139,1106.2101848376
140,1155.0934499614
141,1331.9851555807
142,1389.8538219754
143,1175.5452961380
144,1095.5484027324
145,1146.8680080018
146,1319.6693443858
147,1388.0209789301
148,1189.8727643338
149,1113.8768331858
150,1155.4734296171
151,1342.1999027967
152,1403.8236622600
153,1179.0768717619
