sample,value
0,49466.0198051953
1,49518.4346459430
2,49490.1596892070
3,49440.6505752385
4,49413.0685225807
5,49476.7933460228
6,49516.1324162641
7,49484.3482356487
8,49427.8206739212
9,49397.4893566953
10,49467.1820959070
11,49517.8087970983
12,49495.4570526430
13,49449.1665898760
14,49408.8887463675
15,49452.4299445665
16,49506.1635382370
17,49488.2821426728
18,49443.3551363176
19,49415.5942697041
20,49483.2753519148
21,49529.2975937483
22,49489.9808752514
23,49447.9148921865
24,49393.8236706047
25,49444.6738892405
26,49505.2918202033
27,49476.7262907894
28,49433.0733338682
29,49396.5282316838
30,49446.2608630968
31,49488.7291775619
32,49462.1976568935
33,49425.6972581979
34,49378.3562634416
35,49436.6943164699
36,49492.4842706304
37,49478.7155960459
38,49447.4902090419
39,49399.9480485854
40,49434.3250315577
41,49484.2588286708
42,49483.7894420373
43,49449.2783485983
44,49413.0238190918
45,49464.4551830834
46,49506.4541109150
47,49481.8895437586
48,49435.0849908692
49,49399.8362898631
50,49440.1588368605
51,49477.4191948675
52,49458.0402324248
53,49432.4251332790
54,49412.7779499028
55,49443.8021712067
56,49476.0557384557
57,49453.1899038780
58,49409.9169266125
59,49403.9713625874
60,49434.8167699357
61,49460.6777382705
62,49449.3677555761
63,49416.4212842490
64,49418.6117552056
65,49481.5542675918
66,49521.5862419112
67,49506.5435178928
68,49444.4950752849
69,49417.2259470494
70,49452.1617236330
71,49499.7709393228
72,49476.2345524114
73,49436.6496129810
74,49403.5913829316
75,49436.8731304256
76,49490.0479304848
77,49484.1694216930
78,49432.1569123455
79,49401.5573741862
80,49441.1870171055
81,49490.0255787403
82,49473.2170669099
83,49439.1530083600
84,49404.5972114321
85,49450.3288805877
86,49496.0381979988
87,49474.0440814548
88,49449.6806799985
89,49407.1453103000
90,49442.2151973504
91,49485.0411397268
92,49473.4182326100
93,49438.5048077708
94,49387.5428304127
95,49440.5164647718
96,49487.0304449833
97,49467.8749999851
98,49428.4018192770
99,49403.7254933984
100,49447.2443398529
101,49480.0343489688
102,49458.5096190583
103,49426.4125140205
104,49395.1424235275
105,49428.8488541661
106,49471.1830581645
107,49451.6476335105
108,49418.2541272943
109,49390.1132810251
110,49434.4367902800
111,49478.1791541790
112,49452.3405375887
113,49414.5884412036
114,49369.8849522930
115,49407.0559033222
116,49470.7583750198
117,49453.4581248114
118,49404.3960457320
119,49360.0948882216
120,49391.5437926702
121,49467.3609098626
122,49463.2481888829
123,49422.7244761854
124,49402.6526096645
125,49432.9615751459
126,49462.8682092271
127,49443.0198601508
128,49397.1540805285
129,49361.0783649776
130,49404.4854527099
131,49484.1247182041
132,49459.1578196475
133,49406.6759236665
134,49383.1171850106
135,49434.1909210910
136,49466.4668400844
137,49445.8361799522
138,49412.5320807138
139,49372.7012720944
140,49408.1511388005
141,49452.5417032888
142,49420.8692813956
143,49388.0792722797
144,49370.5108011378
145,49416.1977668044
146,49449.1442381316
147,49416.3095255267
148,49405.7147986549
149,49390.0909292806
150,49413.0908743251
151,49439.7788572048
152,49433.8779966686
153,49421.1375023291
154,49372.6118651166
155,49396.6176386616
156,49471.6971482870
157,49453.7039940004
158,49422.4786069964
159,49368.0968127366
160,49390.7391298698
161,49450.9547294324
162,49435.5320257583
163,49395.7459206278
164,49355.2892631637
165,49390.8955920810
166,49436.6496129810
167,49428.3347640437
168,49390.1132810251
169,49350.9753764838
170,49377.1716209855
171,49428.0665431102
172,49431.1287321006
173,49406.4524062219
174,49368.9014755370
175,49392.1025862816
176,49448.5183892868
177,49439.5776915047
178,49405.8042056327
179,49354.3951933855
180,49358.8208387877
181,49420.8469296511
182,49425.3619820311
183,49405.0665980657
184,49348.4496293604
185,49377.3727866856
186,49432.4251332790
187,49406.6312201776
188,49359.9384260104
189,49338.9724897113
190,49398.0034468178
191,49438.1695316040
192,49429.2958890552
193,49394.5389264272
194,49332.7587047528
195,49370.0637662487
196,49430.2123105779
197,49398.2269642624
198,49362.3300626671
199,49328.2436523728
200,49351.8694462621
201,49409.0452085787
202,49387.9898653018
203,49336.9161292215
204,49300.4157305259
205,49328.5789285396
206,49374.6458738620
207,49397.2881909952
208,49369.1473447260
209,49342.4817135908
210,49368.3650336701
211,49424.9596506309
212,49404.2619352653
213,49382.2231152324
214,49337.4302193439
215,49357.8373620316
216,49423.5961942191
217,49406.2065370329
218,49354.5293038522
219,49313.6479632435
220,49345.5886060701
221,49399.7245311409
222,49394.7400921273
223,49356.5186091088
224,49308.2388410853
225,49326.7907889832
226,49383.8100890887
227,49377.6633593635
228,49341.0512019457
229,49295.9453816349
230,49333.2280913863
231,49394.8071473607
232,49350.2154171724
233,49291.5420879772
234,49294.2690008007
235,49336.2008733989
236,49400.2833247523
237,49401.6467811640
238,49375.4281849180
239,49315.4584545444
240,49333.7421815088
241,49408.2628975228
242,49386.6934641234
243,49332.4904838193
244,49288.9045821315
245,49314.9667161663
246,49377.7974698302
247,49370.9578360269
248,49335.6420797875
249,49297.0853206021
250,49315.6149167555
251,49379.0044640308
252,49372.6342168610
253,49343.9122252360
254,49295.9230298904
255,49312.2621550873
256,49362.2853591782
257,49359.0667079767
258,49318.1406638790
259,49273.2807127572
260,49300.6615997149
261,49367.7391848253
262,49365.7498795688
263,49350.6177485726
264,49326.6790302609
265,49358.3738038986
266,49413.4932057253
267,49406.0724265662
268,49360.3407574106
269,49306.6965707179
270,49324.7791319822
271,49384.9723798004
272,49373.0812517501
273,49338.1007716776
274,49293.1290618335
275,49303.8578991721
276,49365.5263621242
277,49357.7032515649
278,49320.6440592580
279,49265.9940440648
280,49278.9580558488
281,49344.9180537365
282,49343.8451700026
283,49326.5672715387
284,49294.6713322009
285,49322.2757366032
286,49394.3601124716
287,49391.8790688371
288,49359.8043155437
289,49313.0891696321
290,49330.8141029852
291,49391.4096822035
292,49382.5360396547
293,49343.0405072022
294,49296.4371200129
295,49308.8199864411
296,49380.5467343982
297,49372.0083680163
298,49327.7519139948
299,49279.7403669048
300,49293.2631723002
301,49354.7528212968
302,49358.5973213431
303,49331.1717308964
304,49291.0727013436
305,49315.6372685000
306,49395.8800310946
307,49384.1006617666
308,49335.3068036207
309,49283.0037215953
310,49308.1941375964
311,49369.1920482149
312,49362.5312283672
313,49325.7849604827
314,49285.7306344188
315,49313.2903353322
316,49375.5622953847
317,49379.1609262420
318,49344.8509985031
319,49298.1358525915
320,49310.8539951866
321,49375.4952401513
322,49367.6497778475
323,49324.3320970931
324,49270.6879104004
325,49290.2680385432
326,49359.2008184434
327,49345.3650886256
328,49325.3379255936
329,49281.8190791391
330,49278.8686488710
331,49331.0376204297
332,49326.3437540941
333,49303.1873468384
334,49277.2369715258
335,49298.2699630582
336,49376.8810483076
337,49382.5807431436
338,49345.9462339814
339,49302.2932770602
340,49307.0318468847
341,49382.4689844214
342,49393.7566153713
343,49345.2980333922
344,49298.8734601585
345,49308.4176550409
346,49368.0297575032
347,49356.8538852756
348,49315.4137510555
349,49261.8589713405
350,49273.0348435682
351,49334.0998094201
352,49329.5400535512
353,49293.8219659116
354,49255.1087445150
355,49268.3856807215
356,49339.7100972784
357,49338.8160275002
358,49308.7976346967
359,49273.5712854351
360,49274.3759482355
361,49337.8549024886
362,49342.2134926574
363,49334.0551059312
364,49293.7772624227
365,49301.9356491489
366,49374.5341151397
367,49387.0957955236
368,49364.0734987347
369,49323.8403587151
370,49317.1795388674
371,49368.8120685592
372,49363.0229667453
373,49327.2601756168
374,49275.2476662693
375,49271.2020005229
376,49329.5847570401
377,49325.0920564046
378,49293.1737653224
379,49261.2331224958
380,49272.1631255344
381,49335.2397483873
382,49333.4069053420
383,49299.7004747034
384,49260.3390527176
385,49258.9085410724
386,49321.8957569475
387,49358.4185073875
388,49344.0016322138
389,49293.6655037004
390,49284.5012884738
391,49332.3787250970
392,49329.0930186621
393,49322.4321988144
394,49293.9560763784
395,49278.6898349154
396,49340.0230217007
397,49351.1094869506
398,49314.6090882551
399,49260.3614044620
400,49253.9241020589
401,49321.6722395029
402,49329.5400535512
403,49297.0853206021
404,49250.1466572460
405,49251.4207066799
406,49322.8345302146
407,49337.4302193439
408,49306.6518672290
409,49255.4440206819
410,49254.0582125256
411,49323.9521174374
412,49322.2086813699
413,49283.0260733397
414,49234.5898431051
415,49241.1389042305
416,49346.4603241039
417,49363.6264638455
418,49334.9715274538
419,49289.4633757428
420,49279.2262767823
421,49340.3135943787
422,49342.5934723131
423,49312.7315417208
424,49270.3302824891
425,49265.8375818536
426,49325.5614430382
427,49327.3942860835
428,49294.3360560341
429,49251.5324654022
430,49242.4800088978
431,49303.8355474276
432,49320.1746726244
433,49286.3117797746
434,49238.7249158293
435,49245.2739769547
436,49329.0259634287
437,49355.9598154974
438,49320.6217075135
439,49267.2904452432
440,49264.3847184640
441,49339.1066001781
442,49349.1425334385
443,49327.5283965502
444,49295.0513118567
445,49290.1115763320
446,49344.3369083806
447,49343.9569287249
448,49304.9531346504
449,49263.0883172856
450,49251.5995206356
451,49309.3117248192
452,49322.7898267257
453,49294.4031112675
454,49249.5208084012
455,49245.7657153327
456,49310.8092916977
457,49331.2611378743
458,49300.1028061036
459,49261.4789916848
460,49260.7413841178
461,49317.9842016678
462,49342.3923066130
463,49316.3525243226
464,49273.2583610127
465,49260.4508114399
466,49323.0133441703
467,49339.8218560006
468,49304.6402102280
469,49249.2302357233
470,49231.8405785371
471,49305.4672247728
472,49327.8860244615
473,49306.0036666398
474,49262.6412823965
475,49249.5655118901
476,49318.6324022570
477,49329.5400535512
478,49292.9502478779
479,49254.6170061370
480,49239.3060611851
481,49316.7325039783
482,49331.8869867190
483,49292.7714339222
484,49251.0407270242
485,49248.8949595565
486,49312.3739138095
487,49326.8354924721
488,49297.3535415356
489,49262.4177649519
490,49252.1359625025
491,49318.4088848125
492,49347.7343735378
493,49323.5050825483
494,49271.1125935450
495,49246.6374333665
496,49312.5527277652
497,49331.8869867190
498,49299.8792886590
499,49255.1757997484
500,49238.2778809402
501,49307.3000678182
502,49340.3359461231
503,49308.9317451634
504,49256.8298288381
505,49237.7190873288
506,49307.7918061962
507,49310.3175533196
508,49272.2525325123
509,49249.3196427011
510,49256.5839596491
511,49309.6917044749
512,49319.5041202908
513,49295.5654019791
514,49266.6645963984
515,49257.7015468719
516,49320.5323005357
517,49330.4117715850
518,49303.5226230052
519,49257.6344916385
520,49244.7598868322
521,49310.4516637864
522,49339.0618966892
523,49302.5391462492
524,49240.6918693414
525,49228.1748924464
526,49305.6683904729
527,49331.4176000854
528,49314.5196812772
529,49269.7491371333
530,49247.0621165111
531,49313.9161841769
532,49331.3952483410
533,49302.6285532270
534,49265.3234917311
535,49250.3701746905
536,49317.0230766562
537,49323.3486203371
538,49285.9765036078
539,49235.5062646277
540,49223.8163022776
541,49296.9065066465
542,49314.3855708105
543,49288.9492856204
544,49250.9289683019
545,49236.2438721948
546,49311.0328091422
547,49336.6702600324
548,49308.4176550409
549,49253.8793985700
550,49234.0534012381
551,49297.9570386359
552,49323.8850622040
553,49297.4205967689
554,49250.9513200463
555,49227.9960784907
556,49309.3117248192
557,49349.9918997278
558,49310.2281463418
559,49258.7520788613
560,49244.8716455545
561,49300.5274892482
562,49321.6051842696
563,49288.5916577091
564,49244.2234449653
565,49235.7521338167
566,49293.9113728894
567,49309.4681870303
568,49290.1339280765
569,49244.6481281099
570,49221.2458516652
571,49289.5751344651
572,49317.4254080564
573,49285.0600820851
574,49241.1165524860
575,49229.2030726913
576,49295.8783264015
577,49325.7626087383
578,49296.1688990794
579,49251.2418927243
580,49230.9241570144
581,49285.8423931411
582,49305.8472044286
583,49270.4867447003
584,49233.5840146046
585,49220.1506161869
586,49280.6791401719
587,49307.0094951403
588,49275.0017970803
589,49227.7725610462
590,49212.4839678388
591,49286.8035181527
592,49318.5429952792
593,49291.9444193774
594,49255.8910555710
595,49236.6462035950
596,49300.2592683148
597,49323.8180069707
598,49282.7578524062
599,49229.4712936248
600,49205.3537613575
601,49272.0513668122
602,49299.5216607477
603,49273.2583610127
604,49227.0573052236
605,49203.5209183122
606,49265.4352504534
607,49303.1202916050
608,49286.6247041970
609,49247.9338345449
610,49220.6647063094
611,49270.3526342336
612,49297.7558729358
613,49277.1699162924
614,49241.9659187753
615,49222.4304941214
616,49280.9026576165
617,49308.6858759744
618,49273.0348435682
619,49233.0475727376
620,49210.3158486266
621,49259.8026108506
622,49280.9920645943
623,49269.7491371333
624,49245.7210118438
625,49216.2167091628
626,49271.6490354120
627,49301.9356491489
628,49280.7908988942
629,49239.6860408409
630,49212.7074852833
631,49273.0348435682
632,49301.6450764710
633,49279.8521256271
634,49246.4586194108
635,49218.7648080307
636,49281.8637826280
637,49308.8199864411
638,49276.4770122143
639,49236.4450378949
640,49209.4664823373
641,49266.7092998873
642,49306.2942393177
643,49284.6353989405
644,49245.2069217213
645,49215.0544184511
646,49265.7481748758
647,49301.7121317043
648,49277.2593232702
649,49235.4392093944
650,49194.8037379746
651,49243.6646513539
652,49281.5732099501
653,49280.5226779607
654,49238.0096600067
655,49203.1409386564
656,49273.8171546241
657,49319.4817685463
658,49288.3904920090
659,49239.5519303741
660,49214.6297353065
661,49284.7695094072
662,49321.4487220584
663,49288.7704716647
664,49248.0455932672
665,49219.3906568755
666,49269.6820818999
667,49297.2194310688
668,49265.1670295199
669,49219.0553807086
670,49194.2672961077
671,49263.1330207745
672,49307.6800474739
673,49280.0309395827
674,49242.7035263423
675,49211.5898980605
676,49263.6024074080
677,49286.1329658190
678,49255.7122416153
679,49218.2283661638
680,49200.1681566439
681,49264.1612010194
