freq_hz,power
0.000000,16742364.4226453677
0.100685,7082753.1892509852
0.201369,1571194.2914529056
0.302054,271447.9933456971
0.402739,335679.8643270792
0.503423,78635.4425359066
0.604108,46727.0811368825
0.704793,22904.8629594608
0.805477,7306.5021079439
0.906162,4292.9761933805
1.006847,1850.8729582206
1.107531,1235.8524604855
1.208216,619.2757007629
1.308901,981.6033570998
1.409585,138.8917171376
1.510270,16.9328781246
1.610954,68.9104877224
1.711639,92.9044377765
1.812324,448.2209887537
1.913008,680.8511350761
2.013693,951.8115726820
2.114378,653.5733442395
2.215062,167.1668030965
2.315747,802.6039630068
2.416432,441.2008356540
2.517116,69.1114205151
2.617801,135.1109387054
2.718486,105.5744259549
2.819170,270.6380693037
2.919855,444.3062795380
3.020540,125.6538751258
3.121224,74.8653591579
3.221909,4.6365776455
3.322594,453.3724759977
3.423278,575.6477541473
3.523963,85.4049501195
3.624648,27.9695824417
3.725332,29.9312832240
3.826017,30.5603458725
3.926702,44.9466814793
4.027386,326.9495073610
4.128071,589.0866596301
4.228756,686.6823550434
4.329440,571.9612052508
4.430125,67.3564254406
4.530810,27.5961741118
4.631494,58.7804591138
4.732179,415.1044292505
4.832863,221.6960128678
4.933548,134.0052695335
5.034233,251.5823163763
5.134917,301.2845864250
5.235602,252.5814620641
5.336287,82.8392384413
5.436971,44.3219075545
5.537656,199.4978461433
5.638341,236.9288387347
5.739025,589.6800235896
5.839710,481.6239599274
5.940395,228.1055646223
6.041079,61.4878612590
6.141764,82.2095742998
6.242449,42.2257186761
6.343133,162.5483948975
6.443818,205.0259236487
6.544503,168.7418205312
6.645187,777.2471805629
6.745872,1021.3944570233
6.846557,257.5212847270
6.947241,325.3695145992
7.047926,370.1528736938
7.148611,302.2273028006
7.249295,413.1988754636
7.349980,951.7248582165
7.450665,320.9560533148
7.551349,55.7435105341
7.652034,30.4073326265
7.752718,310.4518953562
7.853403,19.2828417230
7.954088,1192.9078293595
8.054772,2436.9984835127
8.155457,848.8073965830
8.256142,87.2066995291
8.356826,462.5538679291
8.457511,392.6632639420
8.558196,161.0439118934
8.658880,2116.0114198170
8.759565,1900.7285849283
8.860250,503.1449465961
8.960934,598.1231244663
9.061619,1772.2510075026
9.162304,1780.5787536854
9.262988,3524.0088466231
9.363673,2545.1663562210
9.464358,2281.2459999884
9.565042,11862.9141192942
9.665727,13267.6843561129
9.766412,2533.4129476688
9.867096,294.8047207599
9.967781,2023.9575081530
10.068466,4972.4662072618
10.169150,1101.5074853932
10.269835,13.5366132638
10.370520,349.3820890076
10.471204,2487.7264178678
10.571889,11199.4957600866
10.672573,7776.9966395024
10.773258,33.8324408997
10.873943,2082.7121797033
10.974627,2459.4244088147
11.075312,9214.1406240634
11.175997,11584.4799824133
11.276681,3726.9444858650
11.377366,2136.4670895090
11.478051,1792.0141424476
11.578735,2095.9605027579
11.679420,4419.7911928376
11.780105,8437.1140874695
11.880789,17603.3112296316
11.981474,4228.1586889614
12.082159,808.0665307924
12.182843,849.6322552924
12.283528,3494.3319334223
12.384213,3490.2226661850
12.484897,1831.8955988004
12.585582,2122.5986880106
12.686267,1870.1051665638
