subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
fahri,1,12.0,12.996,829755.5538595152,2708083.886297392,7333718335223.586,0.15877337637865485,-0.9311772524536392,7333718335223.586,0.17067915729718539,2.4983275332040935,1128562820320.6204,125117765492.31413,87119268251.73738,45759356178.33114,18027.54427853806,-829755.5538595156,2708083.886297392,7333718335223.586,-0.15877337637865443,-0.9311772524536392,7333718335223.586,0.17067915729718536,2.498327533204095,1128562820320.62,125117765492.31406,87119268251.73735,45759356178.33112,18027.544278532354,belakang
fahri,1,13.0,13.996,-677740.1289085201,2047957.2146304597,4194128752956.95,0.31015519899048805,-0.346602792326157,4194128752956.95,0.27571181861971233,1.6121877411523324,594708068649.9519,9818410722.538067,73042763699.5869,80300374973.66798,14664.462319471837,677740.1289085202,2047957.2146304597,4194128752956.95,-0.3101551989904881,-0.346602792326157,4194128752956.95,0.27571181861971233,1.6121877411523324,594708068649.9519,9818410722.538065,73042763699.58691,80300374973.66798,14664.462319475228,belakang
fahri,1,14.0,14.996,-218439.7353117401,2688584.1655107685,7228484815035.236,0.07826215085174253,-0.462119012731947,7228484815035.236,0.22315019823285837,1.808121184723197,1215254389580.0156,145223935311.1338,97102315116.86493,128349378931.22653,16248.477109948928,218439.73531174005,2688584.1655107685,7228484815035.236,-0.07826215085174242,-0.462119012731947,7228484815035.236,0.22315019823285837,1.808121184723197,1215254389580.0159,145223935311.1338,97102315116.86497,128349378931.22656,16248.477109947264,belakang
fahri,1,15.0,15.996,-28903.62024007821,2945182.196845515,8674098172615.774,0.4507921310663931,-0.021834701332326567,8674098172615.774,0.1688322227581573,2.269203974674173,1595788786507.572,338523858936.6132,79339628078.13203,57516934456.821434,10261.388668669144,28903.62024007833,2945182.196845515,8674098172615.774,-0.45079213106639304,-0.021834701332326567,8674098172615.774,0.1688322227581573,2.269203974674173,1595788786507.572,338523858936.6132,79339628078.13203,57516934456.82142,10261.388668668435,belakang
fahri,1,16.0,16.996000000000002,-1332484.9953972488,3532785.577134893,12480573934012.316,-0.24822949075108458,-0.45509923257977025,12480573934012.316,0.1727267518880927,2.2020154223333424,1296506851315.4202,225198524407.74887,219140155994.81842,57730060586.88507,12585.935626907934,1332484.9953972483,3532785.577134893,12480573934012.316,0.24822949075108514,-0.45509923257976936,12480573934012.316,0.1727267518880927,2.202015422333342,1296506851315.4202,225198524407.74887,219140155994.81842,57730060586.88509,12585.935626916425,belakang
fahri,1,17.0,17.996000000000002,73405.33607616139,6891026.840553435,47486250917227.85,0.033659754027611156,-1.431707572991406,47486250917227.85,0.0680890007182179,4.875992699472482,5936820521678.522,267839767192.9269,213226406670.82135,51154178421.28545,16107.985692453605,-73405.33607616091,6891026.840553435,47486250917227.85,-0.03365975402761126,-1.431707572991406,47486250917227.85,0.06808900071821791,4.875992699472484,5936820521678.522,267839767192.92694,213226406670.8213,51154178421.28544,16107.985692444092,belakang
fahri,1,18.0,18.996,2707422.84558969,3422075.6665767957,11710601867777.02,-0.12053244558708737,-1.1026575558689387,11710601867777.02,0.13872157877759744,2.599103676316375,2105216842900.1602,181338693335.255,82741140712.84402,51644002982.358345,19996.69657624686,-2707422.84558969,3422075.6665767953,11710601867777.018,0.12053244558708719,-1.1026575558689384,11710601867777.018,0.13872157877759742,2.599103676316376,2105216842900.1597,181338693335.25497,82741140712.84404,51644002982.35832,19996.6965762513,belakang
fahri,1,19.0,84.992,-601622.6731864405,2002959.426968119,4011846466080.456,-0.08436472655963889,0.32232984209198356,4011846466080.456,0.2413233026971485,3.093946247075644,205834754827.92328,193064804055.2476,30398612595.565117,21089918138.388462,6137.2992240915155,601622.6731864405,2002959.426968119,4011846466080.456,0.08436472655963916,0.32232984209198356,4011846466080.456,0.24132330269714847,3.093946247075644,205834754827.92328,193064804055.2476,30398612595.565117,21089918138.38846,6137.299224090002,belakang
fahri,2,84.996,85.992,-3135639.1838668007,2987126.1934070694,8922922895338.61,-0.1906342765964174,-0.27315521506787466,8922922895338.61,0.16686813108685752,2.1461436943698198,1144613416996.3481,176310308761.77814,195378337158.28094,69044543197.83252,8648.310984628642,3135639.1838668003,2987126.1934070694,8922922895338.61,0.19063427659641774,-0.2731552150678742,8922922895338.61,0.16686813108685752,2.1461436943698198,1144613416996.3484,176310308761.77814,195378337158.281,69044543197.83255,8648.3109846318,belakang
fahri,2,85.996,86.992,4031570.478682136,3023060.907703698,9138897251686.309,-0.10593611827800417,-1.0048127272038536,9138897251686.309,0.19535926670225903,2.1038017181833526,1375367833811.3855,129464130355.47261,161171477156.444,49727013333.17044,6228.185278220932,-4031570.478682136,3023060.907703698,9138897251686.309,0.10593611827800409,-1.0048127272038536,9138897251686.309,0.19535926670225903,2.1038017181833526,1375367833811.3855,129464130355.47263,161171477156.44403,49727013333.17044,6228.18527822401,belakang
fahri,2,86.996,87.992,-269454.91049610625,1875170.5118382738,3516264448467.8135,0.11287343307818742,0.5925153802564105,3516264448467.8135,0.2593202890514369,1.4465603100132305,152806099149.6815,76031106756.28387,22344315125.76706,60449045774.24288,3442.326603197691,269454.91049610614,1875170.5118382738,3516264448467.8135,-0.11287343307818704,0.5925153802564105,3516264448467.8135,0.2593202890514369,1.4465603100132305,152806099149.68146,76031106756.28384,22344315125.76704,60449045774.242935,3442.326603199212,belakang
fahri,2,87.996,88.992,-1102838.408665229,2701867.0407903926,7300085506109.432,-0.8272862179807651,0.5717993545083315,7300085506109.432,0.19889795090517604,1.94511634971817,686716091532.5165,113160327965.19003,100103987335.75018,101157637461.79984,6142.99537300556,1102838.4086652293,2701867.0407903926,7300085506109.432,0.8272862179807644,0.5717993545083315,7300085506109.432,0.198897950905176,1.9451163497181705,686716091532.5162,113160327965.18999,100103987335.75015,101157637461.7998,6142.995373007387,belakang
fahri,2,88.996,89.992,-508282.100848863,1507451.0078071202,2272408540938.702,-0.1659425680443754,-0.009412667853528678,2272408540938.702,0.3162125718192289,1.231987181573906,111089668463.40381,39123105190.04974,41173685248.09845,78537889134.35828,8763.92074166585,508282.1008488631,1507451.0078071202,2272408540938.702,0.16594256804437532,-0.00941266785352779,2272408540938.702,0.3162125718192289,1.2319871815739059,111089668463.40381,39123105190.04973,41173685248.09846,78537889134.35828,8763.920741664866,belakang
fahri,2,89.996,90.992,446894.21029973164,1836789.5773262277,3373795951374.262,0.20120229030747477,-0.14931655732263405,3373795951374.262,0.24861390902711838,1.6192407989443547,288535152773.9729,164379170155.73267,74256248024.28525,61678052819.89966,6992.4109998593785,-446894.21029973164,1836789.577326228,3373795951374.2627,-0.20120229030747497,-0.1493165573226345,3373795951374.2627,0.2486139090271184,1.619240798944355,288535152773.973,164379170155.7327,74256248024.28526,61678052819.89967,6992.410999861333,belakang
fahri,2,90.996,156.988,-26226.47825906518,1692609.908969753,2864928303942.595,-0.25552141145882473,-0.39674816605072527,2864928303942.595,0.31782122736059687,2.7174214198801256,127422923134.61035,119365058728.35661,105294729578.58174,60392293662.1961,9666.781660350047,26226.478259065123,1692609.9089697527,2864928303942.594,0.2555214114588246,-0.39674816605072216,2864928303942.594,0.3178212273605969,2.717421419880125,127422923134.61041,119365058728.35661,105294729578.58174,60392293662.196106,9666.78166034663,belakang
fahri,3,156.992,157.988,345843.1887239301,1864636.8026108174,3476870405650.692,0.03095613282613909,-0.6785122941972936,3476870405650.692,0.2358454720767225,1.695235128291675,113836150203.35803,305421241060.0117,148851982092.49622,64228116902.30313,7142.723488146314,-345843.18872393016,1864636.8026108174,3476870405650.692,-0.030956132826139245,-0.6785122941972941,3476870405650.692,0.2358454720767225,1.695235128291675,113836150203.35806,305421241060.01166,148851982092.49612,64228116902.30312,7142.723488142337,belakang
fahri,3,157.992,158.988,-696512.7347948625,1911687.7637823897,3654550106195.314,0.37847476506004646,-0.0033009953393818847,3654550106195.314,0.20725313379098445,1.8521834616310933,252224903724.25757,123472606586.56348,107146591767.9058,60627964689.430534,4695.911089047602,696512.7347948627,1911687.7637823897,3654550106195.3135,-0.37847476506004674,-0.0033009953393814406,3654550106195.3135,0.20725313379098445,1.8521834616310935,252224903724.25757,123472606586.56348,107146591767.9058,60627964689.43055,4695.911089047524,belakang
fahri,3,158.992,159.988,471991.7478194653,1917310.9985182553,3676081465039.069,0.24725633747602693,-0.5328310215109529,3676081465039.069,0.23740243873914807,1.4764960501318292,250675147235.23587,488660619573.7975,91035557849.31343,58318789546.95298,3420.549085948367,-471991.74781946524,1917310.9985182553,3676081465039.069,-0.2472563374760271,-0.5328310215109524,3676081465039.069,0.23740243873914807,1.4764960501318292,250675147235.23596,488660619573.7975,91035557849.31342,58318789546.952995,3420.549085949274,belakang
fahri,3,159.992,160.988,1661570.877607701,2895273.595449029,8382609192504.349,0.056001404726221546,-0.7767571534524871,8382609192504.349,0.13750728247804192,2.554856441877239,524711291240.71497,224322063912.3143,224915704745.1895,30951685375.84624,6210.981580158565,-1661570.877607701,2895273.595449029,8382609192504.347,-0.05600140472622148,-0.7767571534524862,8382609192504.347,0.1375072824780419,2.5548564418772393,524711291240.7149,224322063912.31406,224915704745.18927,30951685375.846203,6210.981580151236,belakang
fahri,3,160.992,161.988,-1455199.1058540365,1927373.624078356,3714769086792.936,-0.32534936281376337,-0.3677633704166423,3714769086792.936,0.2887584284784929,1.444079913164575,281038186404.24786,145938126208.91644,60743867763.50449,77082669306.56548,15665.08736152657,1455199.1058540368,1927373.624078356,3714769086792.936,0.32534936281376314,-0.367763370416641,3714769086792.936,0.288758428478493,1.4440799131645745,281038186404.2478,145938126208.91644,60743867763.504456,77082669306.56554,15665.087361522235,belakang
fahri,3,161.992,162.988,568031.2996926778,2352915.7366112405,5536212463592.816,0.055861775974533734,-0.7201259981895474,5536212463592.816,0.19782386400660248,1.8535544713663434,375358516164.8415,241742732484.05206,226890352818.71988,63872148293.77822,4429.220554766184,-568031.2996926778,2352915.7366112405,5536212463592.817,-0.05586177597453373,-0.7201259981895483,5536212463592.817,0.19782386400660248,1.8535544713663437,375358516164.84143,241742732484.052,226890352818.71997,63872148293.77822,4429.220554767673,belakang
