subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
fahri,1,0.0,0.996,202128.60599054076,2652262.6060957448,7034496931693.792,0.28516110774212267,-0.3181057266430458,7034496931693.792,0.205835598622898,1.7912582566649322,1462025578875.6372,535293325317.95245,122485649478.21017,74854683704.65671,8516.224612539714,-202128.60599054076,2652262.6060957448,7034496931693.792,-0.28516110774212294,-0.3181057266430467,7034496931693.792,0.205835598622898,1.7912582566649327,1462025578875.6372,535293325317.95233,122485649478.21017,74854683704.6567,8516.224612534073,depan
fahri,1,1.0,1.996,41183.450489689734,2498605.665054248,6243030269441.182,0.3270502658683601,0.2229211553554662,6243030269441.182,0.23280185595444097,1.612058386726055,377233195681.9766,144533899646.22656,339496184844.3403,71603659684.8888,37492.60100281407,-41183.4504896898,2498605.665054248,6243030269441.182,-0.3270502658683598,0.2229211553554662,6243030269441.182,0.23280185595444097,1.6120583867260545,377233195681.9765,144533899646.22656,339496184844.3402,71603659684.8888,37492.60100282774,depan
fahri,1,2.0,2.996,-133204.24322810213,2837132.1252824604,8049318696309.77,0.14355918731759898,0.08600002552268782,8049318696309.77,0.22754213059742953,1.7345141510333701,1468328461014.0703,614534765988.2089,397559058792.3532,134630332984.70248,22347.08522427593,133204.24322810204,2837132.1252824604,8049318696309.77,-0.1435591873175991,0.08600002552268737,8049318696309.77,0.22754213059742953,1.7345141510333701,1468328461014.0703,614534765988.2087,397559058792.35315,134630332984.70245,22347.085224279996,depan
fahri,1,3.0,3.996,74788.20282108152,2779454.15589513,7725365404722.708,0.39607805954112685,-0.3814976195403532,7725365404722.708,0.22621008769557535,1.7185055490845353,743812863559.1034,180189760122.62164,188809282916.38504,62365659316.36786,11362.096737483105,-74788.20282108152,2779454.15589513,7725365404722.708,-0.39607805954112696,-0.3814976195403532,7725365404722.708,0.22621008769557535,1.7185055490845353,743812863559.1034,180189760122.62173,188809282916.3851,62365659316.36784,11362.09673748395,depan
fahri,1,4.0,4.996,1936430.802661406,4106373.7971618497,16862305762017.428,0.5516011818737503,-0.49002189150978026,16862305762017.428,0.142012648281974,2.85562728861614,4784209322044.081,258004305051.56152,142700613211.30792,101922689391.31989,5513.077403310291,-1936430.8026614063,4106373.7971618497,16862305762017.428,-0.5516011818737502,-0.49002189150978026,16862305762017.428,0.142012648281974,2.8556272886161396,4784209322044.081,258004305051.56146,142700613211.30783,101922689391.31995,5513.077403311959,depan
fahri,1,5.0,5.996,-1336552.9709989063,3131634.7617303524,9807136280877.92,-0.5426420542074237,-0.09873475440260115,9807136280877.92,0.1757612426051865,2.140742597314306,1643796843256.8425,721507164672.4254,514823378701.28406,98121746170.27565,19038.550765632437,1336552.9709989063,3131634.7617303524,9807136280877.92,0.5426420542074236,-0.09873475440260115,9807136280877.92,0.1757612426051865,2.1407425973143055,1643796843256.8425,721507164672.4255,514823378701.2842,98121746170.27563,19038.550765643256,depan
fahri,1,6.0,6.996,-3460805.5578312348,2468550.5695687775,6093741914518.336,-0.07731441286876978,-0.7620247602855765,6093741914518.336,0.2862297200518679,1.4181294149560746,795313140634.9146,120397306027.34018,57823629857.91736,158349527201.74866,19826.81701218561,3460805.5578312348,2468550.5695687775,6093741914518.336,0.07731441286876978,-0.7620247602855756,6093741914518.336,0.2862297200518679,1.4181294149560746,795313140634.9147,120397306027.34018,57823629857.91734,158349527201.74866,19826.81701219635,depan
fahri,1,7.0,72.992,-183689.93158202554,1679677.9329232841,2821317958349.4365,-0.2352075737127417,-0.15561788145925437,2821317958349.4365,0.28391340120546393,1.377221649347483,166985662228.066,110553551361.92862,137739866435.9486,80444446679.33566,5794.516440531281,183689.9315820255,1679677.932923284,2821317958349.436,0.23520757371274162,-0.15561788145925304,2821317958349.436,0.28391340120546393,1.3772216493474827,166985662228.066,110553551361.92862,137739866435.94855,80444446679.33566,5794.516440534591,depan
fahri,2,72.996,73.992,-137876.8097814355,1769051.0777818111,3129541715800.988,-0.1280402750034165,-0.18426242923281144,3129541715800.988,0.23744358068566532,1.6003662842277477,295362531810.82117,180161910264.15045,94051974851.72147,42966754810.4489,2655.436426132404,137876.8097814355,1769051.0777818114,3129541715800.9883,0.12804027500341647,-0.18426242923281233,3129541715800.9883,0.2374435806856653,1.600366284227748,295362531810.82117,180161910264.15036,94051974851.72144,42966754810.448875,2655.4364261345954,depan
fahri,2,73.996,74.992,-4526987.496038255,3914834.25910445,15325927276257.885,0.160362416459968,-0.5450425473306635,15325927276257.885,0.11416704484122543,3.273408449637037,2393881783469.622,448817216648.61115,93082919970.5952,34974926297.228905,3858.5760687799166,4526987.496038255,3914834.25910445,15325927276257.887,-0.1603624164599679,-0.5450425473306644,15325927276257.887,0.11416704484122542,3.2734084496370373,2393881783469.6216,448817216648.611,93082919970.59521,34974926297.2289,3858.576068778404,depan
