subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
fahri,1,24.0,24.996,628854.4297819118,2348460.631991108,5515267340012.075,0.5311203470268361,-0.35550698666639624,5515267340012.075,0.18348588640719304,2.0877956321152773,709513795005.6797,201673134905.2158,44651906108.151405,21505435709.41897,11242.970825834731,-628854.4297819119,2348460.631991108,5515267340012.075,-0.5311203470268361,-0.3555069866663958,5515267340012.075,0.18348588640719304,2.0877956321152773,709513795005.6797,201673134905.21576,44651906108.15139,21505435709.41897,11242.970825837834,kanan
fahri,1,25.0,25.996,-502568.3489472543,1994003.1710209923,3976048646041.7725,0.6278623895821587,0.5595873610307232,3976048646041.7725,0.20045145495064245,1.9614272932718404,498981444178.7055,271797540463.0792,87232225690.21976,41187195286.20327,11791.899674523962,502568.34894725436,1994003.1710209923,3976048646041.7725,-0.6278623895821588,0.5595873610307232,3976048646041.7725,0.20045145495064245,1.96142729327184,498981444178.70557,271797540463.07916,87232225690.21971,41187195286.20327,11791.899674518188,kanan
fahri,1,26.0,26.996,-6675858.103174202,5958692.165519367,35506012323421.88,0.13298728854544514,-0.06829815750265711,35506012323421.88,0.1038925460685379,3.450290078460527,6431381506670.16,642330069754.616,399165199477.8085,93381334849.4042,18468.799239507887,6675858.103174202,5958692.165519367,35506012323421.88,-0.13298728854544523,-0.06829815750265711,35506012323421.88,0.1038925460685379,3.450290078460527,6431381506670.16,642330069754.6158,399165199477.80835,93381334849.40419,18468.799239516047,kanan
fahri,1,27.0,27.996,8057212.561910473,3145964.4239526046,9897092156775.443,-0.6093403721946246,-0.5304197870313954,9897092156775.443,0.16831728374483212,2.2142574835301385,388020341697.8177,251106465680.00397,128793981603.70175,89961970519.28061,16212.932282902064,-8057212.561910473,3145964.4239526046,9897092156775.443,0.6093403721946248,-0.5304197870313963,9897092156775.443,0.16831728374483212,2.214257483530139,388020341697.8178,251106465680.00397,128793981603.7017,89961970519.28058,16212.932282906577,kanan
fahri,1,28.0,28.996,146778.73127434624,2350629.534783922,5525459209798.478,0.5543762950542623,-0.6953406987582555,5525459209798.478,0.18545879829736636,2.1034425162596557,839385082794.2534,237870325763.2434,89246331026.02505,47422417344.38192,8632.475271852754,-146778.73127434636,2350629.534783922,5525459209798.478,-0.5543762950542622,-0.6953406987582551,5525459209798.478,0.1854587982973664,2.1034425162596553,839385082794.2535,237870325763.2435,89246331026.02502,47422417344.381905,8632.475271852505,kanan
fahri,1,29.0,29.996,-1392107.0981897481,2130083.1849598647,4537254374848.762,0.7630510891246745,0.7707105259785592,4537254374848.762,0.21499177551459178,1.7712152647928416,570467541005.7627,143692522514.2164,74677435417.91663,49433246933.02122,3847.674439738113,1392107.0981897481,2130083.1849598647,4537254374848.762,-0.7630510891246746,0.7707105259785592,4537254374848.762,0.21499177551459178,1.7712152647928416,570467541005.7627,143692522514.21646,74677435417.91663,49433246933.0212,3847.674439737261,kanan
fahri,1,30.0,30.996,-2780665.3854281018,3607723.6364682736,13015669837131.863,-0.23166639626558638,-0.9340046588679844,13015669837131.863,0.13895608104601193,2.7479873048006036,2725691808493.221,221732788334.7011,149579035506.62872,56981344594.2241,6470.479848519226,2780665.385428102,3607723.6364682736,13015669837131.865,0.2316663962655864,-0.9340046588679836,13015669837131.865,0.13895608104601193,2.7479873048006027,2725691808493.221,221732788334.70108,149579035506.62872,56981344594.2241,6470.479848531751,kanan
fahri,1,31.0,96.992,-233578.2286825781,1462680.850915766,2139435271635.6694,0.004537839530228655,-0.6970813570866259,2139435271635.6694,0.3283228855341303,2.329541716542213,206604466859.14502,169204229217.2203,89148391885.33752,24346492882.36827,16649.320206536748,233578.22868257808,1462680.850915766,2139435271635.6694,-0.004537839530228675,-0.6970813570866254,2139435271635.6694,0.3283228855341303,2.3295417165422116,206604466859.14508,169204229217.22034,89148391885.3375,24346492882.36827,16649.32020653371,kanan
fahri,2,96.996,97.992,-1165019.6425710607,2135666.6138688754,4561071885594.147,0.22118531533999664,-0.5043387563314732,4561071885594.147,0.23011337512016175,1.7331260337360874,257701028263.15952,150485366506.24875,165505274932.96606,77850607181.91457,5258.5632605281,1165019.642571061,2135666.6138688754,4561071885594.147,-0.22118531533999689,-0.5043387563314732,4561071885594.147,0.23011337512016172,1.7331260337360876,257701028263.15955,150485366506.24872,165505274932.96606,77850607181.91455,5258.563260524604,kanan
fahri,2,97.996,98.992,1670055.7388750922,2815035.6752421944,7924425852886.278,-0.2380551211334002,-0.41893298036425586,7924425852886.278,0.16408445230630117,2.0306764770422485,902102675033.2657,139036499867.84732,115458281663.16684,31686995822.770096,5728.637687554374,-1670055.7388750918,2815035.6752421944,7924425852886.278,0.2380551211334001,-0.4189329803642554,7924425852886.278,0.1640844523063012,2.0306764770422485,902102675033.2655,139036499867.8473,115458281663.16684,31686995822.77011,5728.637687554232,kanan
fahri,2,98.996,99.992,1083377.5596589586,4334783.1565901125,18790345014657.34,0.4499324096976531,-0.31924790839287986,18790345014657.34,0.14943609936398788,2.3219692059577977,2135651393039.152,180051932354.74298,420575021768.5379,67812431063.02141,11315.643510512326,-1083377.5596589583,4334783.156590113,18790345014657.344,-0.4499324096976528,-0.31924790839288075,18790345014657.344,0.14943609936398786,2.321969205957798,2135651393039.152,180051932354.743,420575021768.53796,67812431063.02139,11315.643510505575,kanan
fahri,2,99.996,100.992,42234.52856658745,2751173.8373166625,7568957483135.69,0.1452472404590503,0.13146037079532258,7568957483135.69,0.18571944570780055,2.064899982362264,366631995527.1388,127839483257.86795,178747861711.2788,75189236346.60016,6347.714113766515,-42234.52856658733,2751173.837316663,7568957483135.691,-0.14524724045905008,0.13146037079532213,7568957483135.691,0.18571944570780052,2.0648999823622645,366631995527.13873,127839483257.86795,178747861711.27875,75189236346.60008,6347.714113763013,kanan
fahri,2,100.996,101.992,-1049377.6830670163,1843061.9595412845,3396877386708.1597,-0.21209062845836552,-0.012537339688092786,3396877386708.1597,0.28214901972184164,1.4064769541091673,96373498318.19531,224955484614.87134,180007761576.711,45337960794.41311,4940.513519194696,1049377.6830670163,1843061.9595412845,3396877386708.159,0.21209062845836527,-0.012537339688092786,3396877386708.159,0.28214901972184164,1.406476954109167,96373498318.19531,224955484614.87128,180007761576.7109,45337960794.4131,4940.513519192935,kanan
fahri,2,101.996,102.992,-1936397.53128405,4788537.0202599745,22930086794400.277,0.5703049587267356,-0.22572963500362064,22930086794400.277,0.0898879448435302,3.9789570057453036,3705008349616.0835,146389919715.01868,82139577502.01877,57863247160.70195,6560.862941009866,1936397.5312840506,4788537.0202599745,22930086794400.273,-0.5703049587267366,-0.2257296350036202,22930086794400.273,0.08988794484353019,3.9789570057453036,3705008349616.0825,146389919715.01862,82139577502.01883,57863247160.70183,6560.862941005579,kanan
fahri,2,102.996,168.988,-999711.1164626183,3053516.4570507165,9323962753479.56,0.8645079330651473,-0.41521528899803206,9323962753479.56,0.1478546286648466,2.779663237570395,736007235835.095,127386425068.4517,114597352654.87866,63636170775.65657,9667.149099059356,999711.1164626183,3053516.4570507165,9323962753479.56,-0.8645079330651472,-0.4152152889980325,9323962753479.56,0.14785462866484658,2.779663237570394,736007235835.095,127386425068.45161,114597352654.87857,63636170775.65655,9667.149099038223,kanan
fahri,3,168.992,169.988,-1720877.4723418646,1604221.2677264367,2573525875825.816,0.13963604806624302,0.344929825276596,2573525875825.816,0.2666829138151833,1.4657923040153005,150010850294.3745,96082126014.58743,60397961623.70087,34698863112.69896,4310.540175124187,1720877.4723418646,1604221.267726437,2573525875825.8164,-0.1396360480662432,0.3449298252765942,2573525875825.8164,0.2666829138151833,1.4657923040153003,150010850294.3745,96082126014.58743,60397961623.70089,34698863112.69896,4310.540175124426,kanan
fahri,3,169.992,170.988,-6279999.831536276,6956698.221641948,48395650146996.24,-0.13298860099518153,-1.2016174653907221,48395650146996.24,0.06815945498915293,5.307941897121799,3857213441636.327,91766274719.27243,208450727711.82477,66730262449.35346,10022.934998175282,6279999.831536277,6956698.221641947,48395650146996.23,0.13298860099518117,-1.201617465390721,48395650146996.23,0.06815945498915295,5.307941897121797,3857213441636.3276,91766274719.27234,208450727711.82486,66730262449.35344,10022.934998171339,kanan
fahri,3,170.992,171.988,5668937.205006089,6674243.298492549,44545523607472.7,-1.2922587907112455,0.6818244671699802,44545523607472.7,0.06955786913867462,5.29471199111294,2076580251474.5847,145731543885.2625,201019489139.30524,82100517074.56726,17110.614997161076,-5668937.20500609,6674243.298492549,44545523607472.695,1.2922587907112457,0.6818244671699807,44545523607472.695,0.06955786913867461,5.294711991112938,2076580251474.584,145731543885.2625,201019489139.30518,82100517074.56721,17110.614997152275,kanan
