subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
fahri,1,36.0,36.996,-560113.0905628575,3176313.644527727,10088968368413.012,-0.39326805569747136,0.007441265819219112,10088968368413.012,0.16881241773668304,2.412879991907993,1148083194726.2083,252986731923.1032,34771278016.872025,49041786338.80218,7381.8971711946615,560113.0905628573,3176313.644527727,10088968368413.012,0.3932680556974715,0.007441265819218668,10088968368413.012,0.16881241773668304,2.4128799919079924,1148083194726.2087,252986731923.1032,34771278016.87203,49041786338.80216,7381.897171191189,kiri
fahri,1,37.0,37.996,-6684108.1833067015,10120728.228947982,102429139884224.58,0.412923978238176,-1.2259073140584897,102429139884224.58,0.04476850796196608,8.178057110968123,14550880753052.227,86793077652.31155,127984481917.6777,46807396153.36173,12071.176413608755,6684108.183306703,10120728.228947982,102429139884224.56,-0.4129239782381767,-1.225907314058489,102429139884224.56,0.04476850796196609,8.17805711096812,14550880753052.223,86793077652.31154,127984481917.6777,46807396153.361755,12071.176413595138,kiri
fahri,1,38.0,38.996,9886513.55594975,4590547.38150326,21073125261826.438,0.32933613782114923,-1.2618283692369816,21073125261826.438,0.13162955437313778,3.2033678861076704,4156075303062.132,283678131878.0973,152883824304.3442,150142525055.71832,9133.608217546978,-9886513.555949748,4590547.38150326,21073125261826.434,-0.3293361378211505,-1.2618283692369805,21073125261826.434,0.13162955437313778,3.2033678861076704,4156075303062.131,283678131878.09735,152883824304.34406,150142525055.71826,9133.60821755904,kiri
fahri,1,39.0,39.996,-5818239.838397361,8086613.7125025075,65393321335233.59,-0.8339494416799782,-0.5268267063201262,65393321335233.59,0.08033373675855345,5.234464451318007,3155202281037.7856,139965397304.8465,248215837081.2308,113503353208.31631,45440.66641634439,5818239.838397361,8086613.7125025075,65393321335233.59,0.8339494416799781,-0.5268267063201257,65393321335233.59,0.08033373675855345,5.234464451318007,3155202281037.7847,139965397304.84647,248215837081.2308,113503353208.3163,45440.66641634199,kiri
fahri,1,40.0,40.996,1899966.2883425264,11389463.672227256,129719882740984.36,-0.9464954586550577,-0.5391932510894315,129719882740984.36,0.03575312799892707,11.067411110630397,8499038527518.047,75876896970.13339,47556829973.200905,33136747554.583874,33772.72106753889,-1899966.2883425264,11389463.672227256,129719882740984.36,0.946495458655058,-0.5391932510894302,129719882740984.36,0.03575312799892709,11.067411110630397,8499038527518.047,75876896970.13339,47556829973.20084,33136747554.583893,33772.72106752798,kiri
fahri,1,41.0,41.996,4095192.61582205,2686343.1711936025,7216439633418.5,0.22035512679501743,-0.3480850982577266,7216439633418.5,0.21654715953933243,1.8580922163585816,776356998065.9077,311009211146.821,122319500912.09421,78170148793.07166,8640.44555309805,-4095192.6158220503,2686343.1711936025,7216439633418.5,-0.22035512679501668,-0.34808509825772793,7216439633418.5,0.21654715953933235,1.8580922163585825,776356998065.9078,311009211146.8209,122319500912.09416,78170148793.07167,8640.44555309572,kiri
fahri,1,42.0,42.996,-283408.1806533804,2574599.4633242707,6628562396549.623,0.14326760309663972,0.4475419296464298,6628562396549.623,0.1832252577829318,2.1863929769764767,633474433912.7896,296532866632.3509,107327736947.30563,67369977894.176476,14653.700935084224,283408.18065338035,2574599.463324271,6628562396549.624,-0.14326760309663977,0.44754192964642847,6628562396549.624,0.18322525778293178,2.1863929769764776,633474433912.7896,296532866632.3509,107327736947.30562,67369977894.176476,14653.700935090093,kiri
fahri,1,43.0,108.992,-141134.14316812993,1840063.0630763737,3385832076098.0063,-0.3090681081553831,-0.3865836550979207,3385832076098.0063,0.23360030694480682,2.0078011338633823,370136915792.20557,225672304772.37274,110190394919.23286,28572466251.423878,4028.079752539901,141134.14316812987,1840063.0630763734,3385832076098.006,0.30906810815538316,-0.38658365509791937,3385832076098.006,0.23360030694480682,2.0078011338633828,370136915792.20557,225672304772.37274,110190394919.23286,28572466251.42387,4028.079752540898,kiri
fahri,2,108.996,109.992,191578.37459297036,2600554.6102250167,6762884280762.588,-0.13397391576782997,-0.17247030642875627,6762884280762.588,0.25182039231849906,1.7404373919001095,442533546083.4591,441988102882.0194,29785190630.13793,122676626141.02603,7019.504504219332,-191578.37459297036,2600554.6102250167,6762884280762.588,0.13397391576783022,-0.17247030642875627,6762884280762.588,0.25182039231849906,1.74043739190011,442533546083.4592,441988102882.01953,29785190630.13793,122676626141.02606,7019.504504222172,kiri
fahri,2,109.996,110.992,-203483.36355603297,2090296.187471434,4369338151357.6123,-0.2778549468182272,-0.49812840980177553,4369338151357.6123,0.2587165244117227,1.5402142073137184,102281408681.86282,268793510025.18182,251909950629.54745,65906233933.439156,4407.16455931133,203483.36355603283,2090296.187471434,4369338151357.613,0.27785494681822726,-0.49812840980177553,4369338151357.613,0.2587165244117227,1.5402142073137184,102281408681.86282,268793510025.18182,251909950629.54745,65906233933.439186,4407.164559312914,kiri
fahri,2,110.996,111.992,304949.7060923834,2244675.1509116837,5038566533120.39,-0.22342008418371254,0.25987358463485855,5038566533120.39,0.26428172619913937,1.4764105785472348,418140440157.7297,140791624911.87265,139557708253.10248,81601192875.56584,4600.268844883415,-304949.70609238336,2244675.1509116837,5038566533120.39,0.22342008418371317,0.25987358463485766,5038566533120.39,0.26428172619913937,1.4764105785472348,418140440157.7296,140791624911.8725,139557708253.10226,81601192875.56577,4600.268844869744,kiri
fahri,2,111.996,112.992,2107031.3762644273,2388596.688579119,5705394140691.133,0.08173694025463756,-0.8827937567209219,5705394140691.133,0.15269259274579977,2.3914402619405184,1024336660849.1224,534843556082.86444,53979293861.07379,18085388954.170788,9302.145946589959,-2107031.376264428,2388596.688579119,5705394140691.133,-0.08173694025463675,-0.8827937567209223,5705394140691.133,0.15269259274579974,2.3914402619405184,1024336660849.1226,534843556082.8644,53979293861.073746,18085388954.170784,9302.145946597668,kiri
