subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
fahri,1,60.0,60.996,-393568.7062432988,1786100.6297489922,3190155459589.7466,-0.04559807215817745,-0.5253700314045959,3190155459589.7466,0.23839207264621712,1.6876035185811988,239868436644.875,90424857303.38086,131153554168.10803,65895700935.9306,6694.309109141037,393568.7062432988,1786100.6297489922,3190155459589.7466,0.045598072158177495,-0.5253700314045959,3190155459589.7466,0.2383920726462171,1.6876035185811993,239868436644.875,90424857303.38083,131153554168.108,65895700935.9306,6694.309109140043,landing
fahri,1,61.0,61.996,200199.41096950023,2063650.1116080566,4258651783139.945,-0.5015995840932765,0.27960503672734527,4258651783139.945,0.24624327052260495,1.632321112073103,645946207001.1068,531902538466.45184,234988045304.5169,62711507534.952934,7344.062871507042,-200199.41096950014,2063650.1116080568,4258651783139.946,0.5015995840932761,0.2796050367273448,4258651783139.946,0.24624327052260492,1.6323211120731034,645946207001.1068,531902538466.45184,234988045304.5169,62711507534.95294,7344.062871506746,landing
fahri,1,62.0,62.996,-3210532.763851974,2885589.9634597045,8326629437219.38,-0.05142184812771292,-0.9155159214875002,8326629437219.38,0.18762699827005955,2.2999540894583146,1354309213778.0977,178735524907.96173,75820450613.43848,43762211802.04986,14735.841436186965,3210532.7638519737,2885589.9634597045,8326629437219.38,0.051421848127713346,-0.9155159214875002,8326629437219.38,0.18762699827005955,2.2999540894583146,1354309213778.098,178735524907.9616,75820450613.43849,43762211802.04986,14735.841436192191,landing
fahri,1,63.0,63.996,3218489.8622897607,2431832.652968174,5913810052042.227,-0.5099569443526054,0.5594598452280768,5913810052042.227,0.191701937776766,2.032428117372091,474051417426.30817,159371514157.9501,202249834942.99023,45511916357.36823,6066.183543648562,-3218489.8622897607,2431832.652968174,5913810052042.228,0.5099569443526054,0.5594598452280755,5913810052042.228,0.19170193777676597,2.032428117372092,474051417426.3082,159371514157.9501,202249834942.99023,45511916357.36823,6066.183543646543,landing
fahri,1,64.0,64.996,926849.6979692553,2143178.2297749175,4593212924581.149,-0.184472444750897,-0.14218011296759991,4593212924581.149,0.26473612762753923,1.5979490078113148,221560703282.83344,142014162649.33405,237308218446.24106,93831500103.12752,9605.592545159263,-926849.6979692553,2143178.2297749175,4593212924581.148,0.18447244475089716,-0.14218011296759858,4593212924581.148,0.2647361276275393,1.5979490078113143,221560703282.83347,142014162649.33405,237308218446.24106,93831500103.12752,9605.59254515593,landing
fahri,1,65.0,65.996,-674150.4311442015,1866430.473040881,3483562710695.607,0.07154203308192915,-0.57739011370994,3483562710695.607,0.26307431365990663,1.540933276270044,665765997671.8586,215772464482.1933,65137840763.09102,44403662453.51672,4959.280756979982,674150.4311442015,1866430.473040881,3483562710695.607,-0.07154203308192918,-0.57739011370994,3483562710695.607,0.26307431365990663,1.540933276270044,665765997671.8585,215772464482.19327,65137840763.09102,44403662453.516716,4959.280756980039,landing
fahri,1,66.0,66.996,-298409.7174419535,2280852.3005653797,5202287216994.385,0.31432174680725633,0.48552907848485827,5202287216994.385,0.23161445699583127,1.6323457953870495,80248845270.91586,343550963594.9466,169990050426.68423,46144668131.849365,8448.221255260034,298409.7174419534,2280852.3005653797,5202287216994.385,-0.3143217468072561,0.4855290784848578,5202287216994.385,0.23161445699583127,1.6323457953870495,80248845270.91583,343550963594.9466,169990050426.68427,46144668131.849365,8448.221255259312,landing
fahri,1,67.0,132.992,3877099.8909450206,3532895.4810794853,12481350480231.848,-0.4231522791718618,-1.240676999040978,12481350480231.848,0.09808152019150528,6.502087441367825,1651953289681.2622,86554870834.17888,34707071253.72981,17577404929.333035,7423.46730489604,-3877099.8909450206,3532895.4810794853,12481350480231.848,0.4231522791718618,-1.2406769990409778,12481350480231.848,0.09808152019150528,6.502087441367825,1651953289681.2622,86554870834.17888,34707071253.72979,17577404929.333027,7423.467304899797,landing
fahri,2,132.996,133.992,-800084.6576531973,4180478.0490811993,17476396718849.752,0.29292140544760203,-1.0183837196896164,17476396718849.752,0.1093865763244596,3.3693766011792428,1765524602150.37,282017944701.85443,180394707953.3812,77007974973.14993,3460.710502585766,800084.6576531975,4180478.0490811993,17476396718849.752,-0.292921405447602,-1.0183837196896168,17476396718849.752,0.10938657632445961,3.3693766011792423,1765524602150.37,282017944701.85443,180394707953.38123,77007974973.14995,3460.710502588102,landing
fahri,2,133.996,134.992,-1537493.5242185586,2291842.16220433,5252540496457.418,0.39310864192691614,0.25607070850545277,5252540496457.418,0.21126888295746196,1.8273043521113121,247107324188.4593,371362466705.2811,81661486713.84523,51599099335.4367,3812.7744007165556,1537493.5242185586,2291842.16220433,5252540496457.418,-0.39310864192691614,0.25607070850545277,5252540496457.418,0.21126888295746196,1.8273043521113124,247107324188.45935,371362466705.2812,81661486713.84523,51599099335.43671,3812.7744007177744,landing
fahri,2,134.996,135.992,-3368864.8867278653,4826038.560056656,23290648183153.72,0.006473071361805638,-0.9666410604198057,23290648183153.72,0.11327901121423409,3.464978980212916,4002787397244.0596,364441840781.0724,420777991052.5033,71938611149.46277,4863.266717881361,3368864.886727865,4826038.560056656,23290648183153.72,-0.0064730713618053395,-0.9666410604198057,23290648183153.72,0.11327901121423412,3.464978980212915,4002787397244.0596,364441840781.07245,420777991052.5036,71938611149.4628,4863.266717897031,landing
fahri,2,135.996,136.992,5162116.28681945,3243911.7147421655,10522963213041.457,0.20193027914170528,-1.107917192611992,10522963213041.457,0.11172488129474478,3.309616736098171,1357546116761.0276,216002897673.61237,52865988938.059875,25376027680.07611,2400.680068424628,-5162116.28681945,3243911.714742166,10522963213041.46,-0.20193027914170497,-1.107917192611993,10522963213041.46,0.11172488129474477,3.3096167360981723,1357546116761.0283,216002897673.61246,52865988938.05988,25376027680.076138,2400.680068427469,landing
fahri,2,136.996,137.992,514157.0394611089,2896491.9675068455,8389665717831.676,-0.3803888060953788,-0.33218046578576255,8389665717831.676,0.17792040071622567,2.0917858912221914,593999039697.6803,795199722384.7162,220008968189.8421,66494861213.10609,2862.601651161681,-514157.03946110903,2896491.9675068455,8389665717831.676,0.38038880609537873,-0.33218046578576255,8389665717831.676,0.17792040071622567,2.0917858912221914,593999039697.6804,795199722384.7163,220008968189.8421,66494861213.1061,2862.6016511610496,landing
fahri,2,137.996,138.992,-1793428.8942173263,3633309.668646707,13200939148281.645,-0.16582298072324198,-1.0682369780233973,13200939148281.645,0.11056051661205539,3.399606944395397,2085058015101.7825,434298389415.64014,84739418969.70764,48497856230.558846,7503.706721042855,1793428.8942173265,3633309.668646707,13200939148281.645,0.16582298072324256,-1.0682369780233973,13200939148281.645,0.11056051661205536,3.3996069443953982,2085058015101.7827,434298389415.64,84739418969.70761,48497856230.55882,7503.706721045548,landing
fahri,2,138.996,204.988,1735477.0312814163,4988450.012650094,24884633528708.727,-0.6036809407486787,-0.672320910969086,24884633528708.727,0.15747918702844207,7.334383319195646,3068652009230.2236,150801922218.60876,102516368325.27457,53391066540.58256,10643.616493182377,-1735477.0312814154,4988450.012650094,24884633528708.727,0.6036809407486786,-0.6723209109690855,24884633528708.727,0.15747918702844202,7.334383319195648,3068652009230.2236,150801922218.60876,102516368325.27458,53391066540.58254,10643.616493184423,landing
fahri,3,204.992,205.988,1140634.6694365258,2545318.270581351,6478645098555.24,-0.31018887764406883,-0.6755267292467031,6478645098555.24,0.16590420252354315,2.2647850854102853,594816885670.1587,297071003670.19965,58870507366.9395,28911747730.24668,6914.143049136066,-1140634.6694365258,2545318.270581351,6478645098555.24,0.31018887764406883,-0.6755267292467027,6478645098555.24,0.16590420252354318,2.264785085410285,594816885670.1586,297071003670.1996,58870507366.93953,28911747730.24668,6914.143049136481,landing
fahri,3,205.992,206.988,-1286409.8549242504,2413822.8967701695,5826540976971.932,-0.12277338589870818,-0.20993113256789098,5826540976971.932,0.1717747305919325,2.1930089185394745,795812763575.4808,348608136647.4072,99532223177.92346,33325234769.47303,4784.322127673191,1286409.8549242504,2413822.8967701695,5826540976971.932,0.12277338589870818,-0.20993113256789098,5826540976971.932,0.1717747305919325,2.1930089185394745,795812763575.4808,348608136647.4072,99532223177.92346,33325234769.47304,4784.32212767472,landing
fahri,3,206.992,207.988,-212972.29852025336,2601140.3607227784,6765931176181.024,-0.7228981604365426,0.4477431078678933,6765931176181.024,0.1712309014792474,2.1031461744872995,257228413973.60803,391739566223.7343,285089947620.009,23428252425.555634,5825.566612136785,212972.29852025342,2601140.3607227784,6765931176181.026,0.7228981604365426,0.44774310786789107,6765931176181.026,0.1712309014792474,2.103146174487299,257228413973.60797,391739566223.7344,285089947620.0091,23428252425.555626,5825.566612140045,landing
fahri,3,207.992,208.988,-1839540.103751703,4643464.594945602,21561763444513.33,-0.1472807160517659,-1.2827707456703563,21561763444513.33,0.09860764938406048,3.8700960886709805,2635275665196.3154,471404378557.9847,102184809380.93127,30170779385.812283,2538.306576629421,1839540.1037517025,4643464.594945602,21561763444513.33,0.1472807160517664,-1.2827707456703563,21561763444513.33,0.09860764938406048,3.870096088670982,2635275665196.3145,471404378557.9842,102184809380.93118,30170779385.812275,2538.306576626389,landing
fahri,3,208.992,209.988,3389391.4444699,2618197.7388534746,6854959399737.447,0.002010910456946861,-0.12194781253766429,6854959399737.447,0.18142926776293583,1.990699701935894,639771244970.1128,195060159806.41238,68814533825.08708,39836616316.01559,13686.514491662449,-3389391.4444699003,2618197.7388534755,6854959399737.452,-0.0020109104569469754,-0.12194781253766562,6854959399737.452,0.18142926776293583,1.990699701935894,639771244970.1128,195060159806.41235,68814533825.08707,39836616316.01565,13686.514491653965,landing
fahri,3,209.992,210.988,-1297544.653438,2672831.436902813,7144027890095.958,0.21476520132750035,-0.564653036055367,7144027890095.958,0.17995889396084566,2.202958889214016,886921454704.1718,180921704602.35297,207525753532.7171,55072688901.76024,19051.30864952029,1297544.653438,2672831.4369028136,7144027890095.959,-0.2147652013275006,-0.5646530360553674,7144027890095.959,0.17995889396084566,2.202958889214016,886921454704.1718,180921704602.35297,207525753532.71713,55072688901.76027,19051.308649518825,landing
fahri,3,210.992,276.984,-1797049.421551691,2771398.958771743,7680652188681.1,-0.4840453892399017,0.6027418156048858,7680652188681.1,0.2059355352242289,3.4963632916720524,1320036278391.0925,493945263040.471,99434499261.05618,39528116679.34927,4855.096285124144,1797049.4215516907,2771398.9587717433,7680652188681.103,0.4840453892399026,0.6027418156048858,7680652188681.103,0.20593553522422886,3.4963632916720515,1320036278391.0925,493945263040.4712,99434499261.05623,39528116679.349266,4855.096285121321,landing
