subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,label
usamah,1,36.0,36.996,79419359.81628166,2111958318.4844594,4.4603679390157056e+18,0.07703704300428522,-0.5870935645212065,-79419359.81628165,2111958318.4844594,4.4603679390157056e+18,-0.07703704300428521,-0.5870935645212065,kiri
usamah,1,37.0,37.996,-205988356.5841527,1731028980.1171885,2.9964613300055537e+18,-0.022136339689708278,-0.11404109428487352,205988356.58415267,1731028980.1171885,2.9964613300055537e+18,0.02213633968970844,-0.11404109428487397,kiri
usamah,1,38.0,38.996,175978344.92194843,2426900646.7175813,5.889846749038214e+18,0.9224117560858359,1.232921089643506,-175978344.92194843,2426900646.7175813,5.889846749038213e+18,-0.9224117560858364,1.2329210896435079,kiri
usamah,1,39.0,39.996,-10943346.005321044,2167949154.0077024,4.700003534362713e+18,0.2606427577300067,-0.34450247985963056,10943346.00532106,2167949154.0077024,4.700003534362713e+18,-0.2606427577300068,-0.34450247985963056,kiri
usamah,1,40.0,40.996,-107872976.27233306,1746502513.012431,3.0502710279587364e+18,0.7251523263522093,0.6848374310567245,107872976.27233304,1746502513.0124307,3.050271027958736e+18,-0.7251523263522095,0.6848374310567253,kiri
usamah,1,41.0,41.996,4382723.176564056,2301741761.3266883,5.298015135835286e+18,-0.5367079494937842,0.8355395273663357,-4382723.176564049,2301741761.3266883,5.298015135835286e+18,0.5367079494937842,0.8355395273663366,kiri
usamah,1,42.0,42.996,42439765.13577092,2252104032.919011,5.071972575090074e+18,1.3975970970257245,3.0672606084278247,-42439765.13577095,2252104032.919011,5.071972575090074e+18,-1.3975970970257245,3.0672606084278238,kiri
usamah,1,43.0,108.992,65415116.30843931,1940739602.6392643,3.76647020525241e+18,0.3062679958139819,0.033809555502031685,-65415116.30843929,1940739602.6392643,3.76647020525241e+18,-0.30626799581398184,0.03380955550203124,kiri
usamah,2,108.996,109.992,116883776.28215939,2033608243.3912363,4.13556248758879e+18,0.3703608602438795,0.6933790806635076,-116883776.2821594,2033608243.3912363,4.13556248758879e+18,-0.3703608602438795,0.6933790806635076,kiri
usamah,2,109.996,110.992,-198471375.71170878,1827972173.8437078,3.341482268346891e+18,0.01538922577357599,-0.01535070200310118,198471375.71170878,1827972173.8437076,3.34148226834689e+18,-0.015389225773575994,-0.01535070200310118,kiri
usamah,2,110.996,111.992,318317632.56954086,2092660815.2306495,4.3792292876018063e+18,0.7564115387170585,0.13533280114122892,-318317632.56954086,2092660815.2306495,4.3792292876018063e+18,-0.7564115387170584,0.13533280114122892,kiri
usamah,2,111.996,112.992,-51474532.21027191,1900874651.017318,3.613324438880211e+18,0.27895549654021523,0.4254331284675952,51474532.21027191,1900874651.017318,3.613324438880211e+18,-0.278955496540215,0.4254331284675943,kiri
usamah,2,112.996,113.992,-86726187.49735981,1884609788.1811478,3.5517540537081907e+18,0.6705237364812706,1.264100597883255,86726187.4973598,1884609788.181148,3.551754053708192e+18,-0.6705237364812702,1.2641005978832522,kiri
usamah,2,113.996,114.992,92368367.26028766,2119885850.5034497,4.493916019164734e+18,0.2122244449162617,0.16046425900858718,-92368367.2602876,2119885850.5034497,4.493916019164734e+18,-0.21222444491626186,0.16046425900858718,kiri
usamah,2,114.996,180.988,75774739.1675886,2235427951.7026467,4.997138127253492e+18,-0.09910844000794292,0.26227754027827554,-75774739.16758865,2235427951.7026467,4.997138127253492e+18,0.09910844000794276,0.26227754027827554,kiri
usamah,3,180.992,181.988,-150117116.6788581,1918678986.3326845,3.6813290525946173e+18,0.32372450432451155,0.23275771796703149,150117116.6788581,1918678986.3326845,3.6813290525946173e+18,-0.32372450432451155,0.23275771796703149,kiri
usamah,3,181.992,182.988,50527204.83636142,1900520040.5670538,3.6119764245969956e+18,0.605718558658473,0.8613681100907438,-50527204.83636148,1900520040.5670538,3.6119764245969956e+18,-0.6057185586584728,0.8613681100907429,kiri
usamah,3,182.992,183.988,-61668216.777356595,1725246095.563804,2.9764740902581504e+18,0.25076385189516326,0.3255074202814887,61668216.777356595,1725246095.563804,2.97647409025815e+18,-0.2507638518951635,0.32550742028149005,kiri
