subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,label
syarif,1,48.0,48.996,-3862179.419056732,1524603491.6815228,2.3244158068474916e+18,-0.8424099927139053,0.4691759436674965,3862179.419056793,1524603491.6815228,2.3244158068474916e+18,0.8424099927139052,0.4691759436674974,terbang
syarif,1,49.0,49.996,-115378450.77674499,1590661677.694804,2.5302045728868485e+18,-0.6119647602468972,-0.33170907912281367,115378450.77674502,1590661677.694804,2.5302045728868485e+18,0.6119647602468973,-0.3317090791228141,terbang
syarif,1,50.0,50.996,114200495.41529968,1335645575.2099967,1.7839491025780431e+18,-0.9031529811283157,1.0903993180923868,-114200495.41529968,1335645575.2099967,1.7839491025780431e+18,0.9031529811283159,1.0903993180923877,terbang
syarif,1,51.0,51.996,-87479278.3972719,1125561015.8790987,1.2668876004667886e+18,-0.22987574337574695,0.2687684064817697,87479278.39727192,1125561015.8790987,1.2668876004667884e+18,0.2298757433757471,0.2687684064817706,terbang
syarif,1,52.0,52.996,22275942.961985763,1187833031.52776,1.4109473107884288e+18,-1.0958359252729133,2.0617357435224024,-22275942.96198575,1187833031.52776,1.4109473107884288e+18,1.0958359252729135,2.0617357435224024,terbang
syarif,1,53.0,53.996,-8408335.487014122,1759845739.7307646,3.097057027648522e+18,-0.8108950757400285,0.08551892366079805,8408335.487014143,1759845739.7307649,3.097057027648523e+18,0.8108950757400283,0.08551892366079716,terbang
syarif,1,54.0,54.996,-55658535.304582156,1586575576.0419626,2.5172220584928855e+18,-0.2338099813370598,-0.31772428473770287,55658535.30458214,1586575576.0419626,2.5172220584928855e+18,0.23380998133705974,-0.31772428473770287,terbang
syarif,1,55.0,120.992,-6845406.621284546,1475507845.6440458,2.1771234025571336e+18,-0.5553208135357424,-0.6361127937271971,6845406.621284523,1475507845.6440458,2.1771234025571333e+18,0.5553208135357424,-0.6361127937271966,terbang
syarif,2,120.996,121.992,-97227656.19232813,1756776635.4286606,3.086264146788045e+18,-0.6765279426130981,-0.18484136102674276,97227656.19232813,1756776635.4286606,3.086264146788045e+18,0.6765279426130981,-0.18484136102674276,terbang
syarif,2,121.996,122.992,51325249.391961485,1619103717.4396827,2.6214968478270003e+18,-0.9082978326490181,0.6565106991029062,-51325249.39196147,1619103717.4396827,2.6214968478270003e+18,0.9082978326490183,0.6565106991029062,terbang
syarif,2,122.996,123.992,-111111169.31305628,1617815276.7048752,2.617326269539672e+18,-0.5895004847122819,-0.28081429279706116,111111169.31305628,1617815276.7048752,2.617326269539672e+18,0.5895004847122819,-0.2808142927970607,terbang
syarif,2,123.996,124.992,-25462906.969481263,1552879061.9418342,2.4114333810173507e+18,-0.1864334441896785,-0.7907320169277452,25462906.969481263,1552879061.9418342,2.4114333810173507e+18,0.18643344418967858,-0.7907320169277452,terbang
syarif,2,124.996,125.992,148913465.12566936,1196644793.1683285,1.4319587610168717e+18,-1.1890602437620224,2.296571362495305,-148913465.12566936,1196644793.1683285,1.431958761016872e+18,1.189060243762022,2.2965713624953015,terbang
