subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
fahri,1,12.0,12.996,0.08328332818191742,0.36153441918500073,belakang
fahri,1,13.0,13.996,0.4319444655163106,0.39544009899307575,belakang
fahri,1,14.0,14.996,0.21025813370673563,0.0027580196697164494,belakang
fahri,1,15.0,15.996,0.6753941422895818,0.4603299703909203,belakang
fahri,1,16.0,16.996000000000002,0.517545327444526,0.1539809926719936,belakang
fahri,1,17.0,17.996000000000002,0.9428722034096381,0.06866501698030747,belakang
fahri,1,18.0,18.996,0.5171075471371174,0.1183648694575663,belakang
fahri,1,19.0,84.992,0.7607825465881,0.13836325508741132,belakang
fahri,2,84.996,85.992,0.4433859805981739,0.37970148584381,belakang
fahri,2,85.996,86.992,0.5363298093504962,0.418288906277302,belakang
fahri,2,86.996,87.992,0.07236312320221483,0.8246106373810914,belakang
fahri,2,87.996,88.992,0.062086512300620345,0.3697813308551867,belakang
fahri,2,88.996,89.992,0.9606645826973873,0.6843174554094534,belakang
fahri,2,89.996,90.992,0.5205129735365344,0.3907324220926136,belakang
fahri,2,90.996,156.988,0.9622991974670723,0.5047958685546465,belakang
fahri,3,156.992,157.988,0.18824729447672917,0.6841462303730605,belakang
fahri,3,157.992,158.988,0.19170012546788595,0.026836768786623666,belakang
fahri,3,158.992,159.988,0.30741565324774345,0.2630732168352936,belakang
fahri,3,159.992,160.988,0.44934946252737307,0.34459574775064106,belakang
fahri,3,160.992,161.988,0.07387344392946782,0.252011404329077,belakang
fahri,3,161.992,162.988,0.5232709254913066,0.4068362754435547,belakang
fahri,3,162.992,228.984,0.5323537093213219,0.8774067533993288,belakang
fahri,4,228.988,229.984,0.8533473740224068,0.38215643228204,belakang
fahri,4,229.988,230.984,0.3360254915126817,0.7877423156014446,belakang
fahri,4,230.988,231.984,0.035607296303283076,0.026269748692284378,belakang
fahri,4,231.988,232.984,0.5186832695411284,0.3943007393689031,belakang
fahri,4,232.988,233.984,0.4066851266029964,0.15462808754060153,belakang
fahri,4,233.988,234.984,0.29323882722718186,0.8377174181708746,belakang
fahri,4,234.988,300.98,0.39329302045523884,0.2725385787021226,belakang
fahri,5,300.984,301.98,0.37874764208799583,0.5437844211231994,belakang
fahri,5,301.984,302.98,0.33345533352063916,0.7099249959763198,belakang
fahri,5,302.984,303.98,0.7006964272521617,0.7456573723446348,belakang
fahri,5,303.984,304.98,0.6912571991397342,0.21076405511772234,belakang
fahri,5,304.984,305.98,0.37544876954374473,0.500735470221453,belakang
fahri,5,305.984,306.98,0.7866442941681977,0.6722206323900023,belakang
