subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,label
syarif,1,0.0,0.996,-124839749.95662808,1403402061.9590495,1.969537347510912e+18,-1.4154039170638544,3.594027883917147,124839749.95662807,1403402061.9590495,1.969537347510912e+18,1.4154039170638544,3.5940278839171453,depan
syarif,1,1.0,1.996,5253508.66435701,1715153153.9529383,2.9417503415147116e+18,-1.0127137301265632,1.0785323435089547,-5253508.66435701,1715153153.9529383,2.9417503415147116e+18,1.0127137301265632,1.0785323435089547,depan
syarif,1,2.0,2.996,-147688687.2830223,1589070349.8102074,2.525144576645935e+18,-0.11807100979380741,-0.11699189876237392,147688687.28302234,1589070349.8102074,2.525144576645935e+18,0.1180710097938074,-0.11699189876237437,depan
syarif,1,3.0,3.996,95604800.13802445,1318575528.5361521,1.7386414244543928e+18,-0.3876096550657321,-0.7917691105367699,-95604800.13802442,1318575528.5361521,1.7386414244543928e+18,0.387609655065732,-0.7917691105367703,depan
syarif,1,4.0,4.996,-34714957.96612329,1192886607.148245,1.4229784575136515e+18,-0.11802362818986062,-0.698379124120736,34714957.96612332,1192886607.148245,1.4229784575136515e+18,0.11802362818986066,-0.698379124120736,depan
syarif,1,5.0,5.996,-36572365.9528929,1273788141.557709,1.6225362295730422e+18,-0.7484404461052209,0.5646254191807345,36572365.95289291,1273788141.5577092,1.6225362295730424e+18,0.7484404461052208,0.5646254191807336,depan
syarif,1,6.0,6.996,38445603.08000303,1759251811.0794418,3.0949669347862963e+18,-0.9216055888631038,0.7210222134413291,-38445603.08000304,1759251811.0794418,3.0949669347862963e+18,0.9216055888631038,0.72102221344133,depan
syarif,1,7.0,72.992,98046509.61264895,1388361441.0231068,1.9275474909197576e+18,-0.7200102134793073,0.4486823351280296,-98046509.612649,1388361441.0231068,1.9275474909197578e+18,0.7200102134793068,0.4486823351280278,depan
syarif,2,72.996,73.992,-89657536.967086,1596617933.8641036,2.5491888267364787e+18,-0.0921374124330753,-0.7382172035182548,89657536.96708603,1596617933.8641036,2.5491888267364787e+18,0.09213741243307526,-0.7382172035182548,depan
syarif,2,73.996,74.992,47336215.9479209,1382435928.2314234,1.9111290956650772e+18,-0.40930305247016846,0.11195774446522977,-47336215.94792088,1382435928.2314234,1.9111290956650772e+18,0.4093030524701686,0.11195774446523021,depan
