subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
sultan,1,24.0,24.996,0.308553759838741,0.29779683216277686,kanan
sultan,1,25.0,25.996,0.4411733303997557,0.11061904849375537,kanan
sultan,1,26.0,26.996,0.35701167706666936,0.39126172577779306,kanan
sultan,1,27.0,27.996,0.8990691893467379,0.34295990976901014,kanan
sultan,1,28.0,28.996,0.8729162034843839,0.5021026625482423,kanan
sultan,1,29.0,29.996,0.5762920205041271,0.5467839240094516,kanan
sultan,1,30.0,30.996,0.5951908854293522,0.4562306744064504,kanan
sultan,1,31.0,96.992,0.625970817547864,0.5478643816763732,kanan
sultan,2,96.996,97.992,0.6725742123131816,0.8853741547661332,kanan
sultan,2,97.996,98.992,0.7405333251549089,0.5590454761348191,kanan
sultan,2,98.996,99.992,0.7266592764881252,0.2886171547070321,kanan
sultan,2,99.996,100.992,0.044815248474047276,0.583319226306749,kanan
sultan,2,100.996,101.992,0.9380502188321446,0.5518440571569273,kanan
sultan,2,101.996,102.992,0.8917494270606909,0.47633867437073985,kanan
sultan,2,102.996,168.988,0.45998183883928623,0.590246242165998,kanan
sultan,3,168.992,169.988,0.1937552875896945,0.224213073484281,kanan
sultan,3,169.992,170.988,0.17718064216259277,0.5096424010903897,kanan
sultan,3,170.992,171.988,0.6893465011312778,0.6963090022230767,kanan
sultan,3,171.992,172.988,0.6609383013959966,0.20650299819643092,kanan
sultan,3,172.992,173.988,0.9324088398387794,0.49827492978761256,kanan
sultan,3,173.992,174.988,0.16958617223057548,0.4791782819308902,kanan
sultan,3,174.992,240.984,0.9810043797379198,0.6131307068680888,kanan
sultan,4,240.988,241.984,0.9310799884865031,0.4748011170787152,kanan
sultan,4,241.988,242.984,0.45353427861564877,0.8580030946839782,kanan
sultan,4,242.988,243.984,0.911181695710508,0.7196518925780716,kanan
sultan,4,243.988,244.984,0.5208319367662624,0.5040690986416915,kanan
sultan,4,244.988,245.984,0.13146756480399513,0.6374756769284504,kanan
sultan,4,245.988,246.984,0.9611750606536962,0.4225934399190132,kanan
sultan,4,246.988,312.98,0.6915072779146835,0.5246049963695889,kanan
sultan,5,312.984,313.98,0.8000495955618049,0.6136450867263025,kanan
sultan,5,313.984,314.98,0.6868101865470835,0.009621146634324562,kanan
sultan,5,314.984,315.98,0.36806406862795316,0.2518095653312499,kanan
sultan,5,315.984,316.98,0.5739737223479158,0.9487530924649502,kanan
sultan,5,316.984,317.98,0.48518294407376605,0.2755452533052851,kanan
sultan,5,317.984,318.98,0.23084513892822345,0.253158629424877,kanan
