subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
syarif,1,24.0,24.996,0.26606837796650173,0.14526092397400314,kanan
syarif,1,25.0,25.996,0.16809432537256908,0.46903493882277747,kanan
syarif,1,26.0,26.996,0.47991086895478785,0.9181594953750819,kanan
syarif,1,27.0,27.996,0.3326131975556038,0.8056807042871107,kanan
syarif,1,28.0,28.996,0.5449071378086116,0.9494008933518958,kanan
syarif,1,29.0,29.996,0.4252898617968056,0.8365947616167233,kanan
syarif,1,30.0,30.996,0.19813368873988368,0.657561272783026,kanan
syarif,1,31.0,96.992,0.4634216211816705,0.678876599936997,kanan
syarif,2,96.996,97.992,0.2977254300721528,0.35998717722086615,kanan
syarif,2,97.996,98.992,0.22199734974503782,0.511218788202349,kanan
syarif,2,98.996,99.992,0.9908716614349766,0.35087060940139947,kanan
syarif,2,99.996,100.992,0.38444637042482066,0.23941318322752703,kanan
syarif,2,100.996,101.992,0.9503522677879991,0.3771648961399612,kanan
syarif,2,101.996,102.992,0.8122498342312459,0.715897779964989,kanan
syarif,2,102.996,168.988,0.29412827314887946,0.757096485295718,kanan
syarif,3,168.992,169.988,0.9271743539502081,0.30263411647853866,kanan
syarif,3,169.992,170.988,0.6610046511808817,0.9875003757787928,kanan
syarif,3,170.992,171.988,0.3393125254921343,0.2678826675983278,kanan
syarif,3,171.992,172.988,0.9932434964721559,0.9487710842405793,kanan
syarif,3,172.992,173.988,0.28542130992267667,0.5750591628224346,kanan
syarif,3,173.992,174.988,0.6061777555947879,0.12641099673815803,kanan
syarif,3,174.992,240.984,0.7250532673107237,0.5815413937053632,kanan
syarif,4,240.988,241.984,0.280019570731056,0.49961199523727595,kanan
syarif,4,241.988,242.984,0.6153185569018889,0.007551650585306602,kanan
syarif,4,242.988,243.984,0.0330790351967456,0.1364592552721916,kanan
syarif,4,243.988,244.984,0.4787490402760829,0.021176987972459704,kanan
syarif,4,244.988,245.984,0.7256006939367896,0.8150095875734481,kanan
syarif,4,245.988,246.984,0.3484042108770755,0.26031670665584394,kanan
syarif,4,246.988,312.98,0.6929601970143252,0.3593472975205798,kanan
syarif,5,312.984,313.98,0.9367263470913708,0.7153416524977664,kanan
syarif,5,313.984,314.98,0.08840124533183369,0.7271942849600126,kanan
syarif,5,314.984,315.98,0.05034435510070301,0.3939456768308719,kanan
syarif,5,315.984,316.98,0.07742818137490881,0.01741644474360049,kanan
syarif,5,316.984,317.98,0.7475367389397338,0.4647817234411642,kanan
syarif,5,317.984,318.98,0.10953310734893806,0.13189457753534795,kanan
