subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
syarif,1,36.0,36.996,0.5454479799675068,0.6732553332676868,kiri
syarif,1,37.0,37.996,0.41063783978650303,0.15367488959502762,kiri
syarif,1,38.0,38.996,0.2764603232822618,0.8890717047848907,kiri
syarif,1,39.0,39.996,0.32599218121872686,0.29354728157623833,kiri
syarif,1,40.0,40.996,0.8995101636829345,0.4518067311259054,kiri
syarif,1,41.0,41.996,0.8012681095253753,0.7487490227054159,kiri
syarif,1,42.0,42.996,0.16569773435519752,0.41158219733551094,kiri
syarif,1,43.0,108.992,0.921331735564962,0.4040334044037306,kiri
syarif,2,108.996,109.992,0.9519937091773601,0.3375086282202888,kiri
syarif,2,109.996,110.992,0.6111270850909758,0.8984650320572554,kiri
syarif,2,110.996,111.992,0.6986854594113465,0.14564247499470584,kiri
syarif,2,111.996,112.992,0.1342144350173461,0.28656051585418063,kiri
syarif,2,112.996,113.992,0.599015762233092,0.6427682143559644,kiri
syarif,2,113.996,114.992,0.02222969565839028,0.6651325431950893,kiri
syarif,2,114.996,180.988,0.5319311348016672,0.816289207279754,kiri
syarif,3,180.992,181.988,0.23245194261238,0.13208422952835797,kiri
syarif,3,181.992,182.988,0.6856555353226589,0.8937532632682198,kiri
syarif,3,182.992,183.988,0.5896458880289391,0.696682927267596,kiri
syarif,3,183.992,184.988,0.23902221381960242,0.4956540812497213,kiri
syarif,3,184.992,185.988,0.6724343855498763,0.414078333013956,kiri
syarif,3,185.992,186.988,0.7850378147138515,0.1487347276738289,kiri
syarif,3,186.992,252.984,0.9459247555673499,0.6618779219666151,kiri
syarif,4,252.988,253.984,0.4157979469856715,0.6585401819477896,kiri
syarif,4,253.988,254.984,0.6431739918401623,0.5005104022300819,kiri
syarif,4,254.988,255.984,0.7385858780017133,0.23210663407717946,kiri
syarif,4,255.988,256.984,0.29111755915588966,0.10622317653160207,kiri
syarif,4,256.988,257.984,0.598169419797523,0.7221300315094534,kiri
syarif,4,257.988,258.984,0.6154714525682561,0.9630815219077478,kiri
syarif,4,258.988,324.98,0.5757164847201283,0.1201798724571419,kiri
syarif,5,324.984,325.98,0.6016020300865842,0.807213545630664,kiri
syarif,5,325.984,326.98,0.7651024069751281,0.3135491460905404,kiri
syarif,5,326.984,327.98,0.5474963625005763,0.683151139692307,kiri
syarif,5,327.984,328.98,0.5101006239710962,0.1594466659759447,kiri
syarif,5,328.984,329.98,0.6281222415870448,0.39271225688426437,kiri
syarif,5,329.984,330.98,0.03411952354943748,0.05824389650752004,kiri
