subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,label
fahri,1,60.0,60.996,-393568.7062432988,1786100.6297489922,3190155459589.7466,-0.04559807215817745,-0.5253700314045959,393568.7062432988,1786100.6297489922,3190155459589.7466,0.045598072158177495,-0.5253700314045959,landing
fahri,1,61.0,61.996,200199.41096950023,2063650.1116080566,4258651783139.945,-0.5015995840932765,0.27960503672734527,-200199.41096950014,2063650.1116080568,4258651783139.946,0.5015995840932761,0.2796050367273448,landing
fahri,1,62.0,62.996,-3210532.763851974,2885589.9634597045,8326629437219.38,-0.05142184812771292,-0.9155159214875002,3210532.7638519737,2885589.9634597045,8326629437219.38,0.051421848127713346,-0.9155159214875002,landing
fahri,1,63.0,63.996,3218489.8622897607,2431832.652968174,5913810052042.227,-0.5099569443526054,0.5594598452280768,-3218489.8622897607,2431832.652968174,5913810052042.228,0.5099569443526054,0.5594598452280755,landing
fahri,1,64.0,64.996,926849.6979692553,2143178.2297749175,4593212924581.149,-0.184472444750897,-0.14218011296759991,-926849.6979692553,2143178.2297749175,4593212924581.148,0.18447244475089716,-0.14218011296759858,landing
fahri,1,65.0,65.996,-674150.4311442015,1866430.473040881,3483562710695.607,0.07154203308192915,-0.57739011370994,674150.4311442015,1866430.473040881,3483562710695.607,-0.07154203308192918,-0.57739011370994,landing
fahri,1,66.0,66.996,-298409.7174419535,2280852.3005653797,5202287216994.385,0.31432174680725633,0.48552907848485827,298409.7174419534,2280852.3005653797,5202287216994.385,-0.3143217468072561,0.4855290784848578,landing
fahri,1,67.0,132.992,3877099.8909450206,3532895.4810794853,12481350480231.848,-0.4231522791718618,-1.240676999040978,-3877099.8909450206,3532895.4810794853,12481350480231.848,0.4231522791718618,-1.2406769990409778,landing
fahri,2,132.996,133.992,-800084.6576531973,4180478.0490811993,17476396718849.752,0.29292140544760203,-1.0183837196896164,800084.6576531975,4180478.0490811993,17476396718849.752,-0.292921405447602,-1.0183837196896168,landing
fahri,2,133.996,134.992,-1537493.5242185586,2291842.16220433,5252540496457.418,0.39310864192691614,0.25607070850545277,1537493.5242185586,2291842.16220433,5252540496457.418,-0.39310864192691614,0.25607070850545277,landing
fahri,2,134.996,135.992,-3368864.8867278653,4826038.560056656,23290648183153.72,0.006473071361805638,-0.9666410604198057,3368864.886727865,4826038.560056656,23290648183153.72,-0.0064730713618053395,-0.9666410604198057,landing
fahri,2,135.996,136.992,5162116.28681945,3243911.7147421655,10522963213041.457,0.20193027914170528,-1.107917192611992,-5162116.28681945,3243911.714742166,10522963213041.46,-0.20193027914170497,-1.107917192611993,landing
fahri,2,136.996,137.992,514157.0394611089,2896491.9675068455,8389665717831.676,-0.3803888060953788,-0.33218046578576255,-514157.03946110903,2896491.9675068455,8389665717831.676,0.38038880609537873,-0.33218046578576255,landing
fahri,2,137.996,138.992,-1793428.8942173263,3633309.668646707,13200939148281.645,-0.16582298072324198,-1.0682369780233973,1793428.8942173265,3633309.668646707,13200939148281.645,0.16582298072324256,-1.0682369780233973,landing
fahri,2,138.996,204.988,1735477.0312814163,4988450.012650094,24884633528708.727,-0.6036809407486787,-0.672320910969086,-1735477.0312814154,4988450.012650094,24884633528708.727,0.6036809407486786,-0.6723209109690855,landing
fahri,3,204.992,205.988,1140634.6694365258,2545318.270581351,6478645098555.24,-0.31018887764406883,-0.6755267292467031,-1140634.6694365258,2545318.270581351,6478645098555.24,0.31018887764406883,-0.6755267292467027,landing
fahri,3,205.992,206.988,-1286409.8549242504,2413822.8967701695,5826540976971.932,-0.12277338589870818,-0.20993113256789098,1286409.8549242504,2413822.8967701695,5826540976971.932,0.12277338589870818,-0.20993113256789098,landing
fahri,3,206.992,207.988,-212972.29852025336,2601140.3607227784,6765931176181.024,-0.7228981604365426,0.4477431078678933,212972.29852025342,2601140.3607227784,6765931176181.026,0.7228981604365426,0.44774310786789107,landing
fahri,3,207.992,208.988,-1839540.103751703,4643464.594945602,21561763444513.33,-0.1472807160517659,-1.2827707456703563,1839540.1037517025,4643464.594945602,21561763444513.33,0.1472807160517664,-1.2827707456703563,landing
fahri,3,208.992,209.988,3389391.4444699,2618197.7388534746,6854959399737.447,0.002010910456946861,-0.12194781253766429,-3389391.4444699003,2618197.7388534755,6854959399737.452,-0.0020109104569469754,-0.12194781253766562,landing
fahri,3,209.992,210.988,-1297544.653438,2672831.436902813,7144027890095.958,0.21476520132750035,-0.564653036055367,1297544.653438,2672831.4369028136,7144027890095.959,-0.2147652013275006,-0.5646530360553674,landing
fahri,3,210.992,276.984,-1797049.421551691,2771398.958771743,7680652188681.1,-0.4840453892399017,0.6027418156048858,1797049.4215516907,2771398.9587717433,7680652188681.103,0.4840453892399026,0.6027418156048858,landing
fahri,4,276.988,277.984,-947907.9572829871,2405378.573223511,5785846080522.775,-0.7286676085086388,0.024767363187623292,947907.9572829871,2405378.5732235117,5785846080522.776,0.7286676085086377,0.02476736318761885,landing
fahri,4,277.988,278.984,5625576.013068376,4807547.660536814,23112514508332.992,0.019794840814814727,-1.2340502407794034,-5625576.013068375,4807547.6605368145,23112514508333.0,-0.01979484081481494,-1.2340502407794043,landing
fahri,4,278.988,279.984,-4194927.5530737275,5981373.296543712,35776826512606.19,0.0803981366734591,-1.1529087633589201,4194927.5530737275,5981373.296543712,35776826512606.19,-0.08039813667345902,-1.15290876335892,landing
fahri,4,279.988,280.984,3373078.736078086,3161971.557641951,9998064131336.664,0.7369686163941638,-0.4512588484626865,-3373078.7360780854,3161971.5576419504,9998064131336.662,-0.736968616394164,-0.4512588484626847,landing
