subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
usamah,1,60.0,60.996,0.1401796471727499,0.16794007593472626,landing
usamah,1,61.0,61.996,0.7440568353006782,0.09239614816772901,landing
usamah,1,62.0,62.996,0.003971976830455581,0.9789943221546151,landing
usamah,1,63.0,63.996,0.0858965045705069,0.9367185050070708,landing
usamah,1,64.0,64.996,0.4030429553054937,0.8334451008306242,landing
usamah,1,65.0,65.996,0.29908011329894435,0.964631568253971,landing
usamah,1,66.0,66.996,0.973669470196844,0.07269175750768098,landing
usamah,1,67.0,132.992,0.35370782545843804,0.5111330228010276,landing
usamah,2,132.996,133.992,0.976502173696288,0.39563835139211045,landing
usamah,2,133.996,134.992,0.72244490553748,0.36613891733772685,landing
usamah,2,134.996,135.992,0.26594564978961344,0.6761851900544225,landing
usamah,2,135.996,136.992,0.24655398723162447,0.45360851253140766,landing
usamah,2,136.996,137.992,0.5478399758629252,0.8030966781789238,landing
usamah,2,137.996,138.992,0.20124189674163095,0.7850867952764308,landing
usamah,2,138.996,204.988,0.4558199100754434,0.21659902664514363,landing
usamah,3,204.992,205.988,0.329052003661101,0.7517180262123624,landing
usamah,3,205.992,206.988,0.2535883627560438,0.03311132962085894,landing
usamah,3,206.992,207.988,0.8580825784591094,0.9716737450301794,landing
usamah,3,207.992,208.988,0.6298240127316519,0.7307390520745882,landing
usamah,3,208.992,209.988,0.4366552202587266,0.3889353571021783,landing
usamah,3,209.992,210.988,0.1085010713863338,0.1779143955927247,landing
usamah,3,210.992,276.984,0.10167519738968922,0.43070879990403466,landing
usamah,4,276.988,277.984,0.25551287196765815,0.7304207529392522,landing
usamah,4,277.988,278.984,0.7874172765065329,0.10232079346941514,landing
usamah,4,278.988,279.984,0.2930599751657248,0.6260699562106876,landing
usamah,4,279.988,280.984,0.48023157101348024,0.6939121934451793,landing
usamah,4,280.988,281.984,0.5186427647827861,0.9949756822891169,landing
usamah,4,281.988,282.984,0.8856536702387667,0.9278302795550378,landing
usamah,4,282.988,348.98,0.07777341042035668,0.18515838878016377,landing
usamah,5,348.984,349.98,0.6211327063213439,0.2801634979169001,landing
usamah,5,349.984,350.98,0.2763274019385199,0.09641015346672188,landing
usamah,5,350.984,351.98,0.1806127688055038,0.29217013573143347,landing
usamah,5,351.984,352.98,0.07183783789237852,0.06169157737369746,landing
usamah,5,352.984,353.98,0.2620662862302243,0.5529592863491396,landing
usamah,5,353.984,354.98,0.9526857569068229,0.19996783228149473,landing
