subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
fahri,1,48.0,48.996,0.05699502985291682,0.8103259166064635,terbang
fahri,1,49.0,49.996,0.5867454471642265,0.39653243811642824,terbang
fahri,1,50.0,50.996,0.15064073463905847,0.5534331731291442,terbang
fahri,1,51.0,51.996,0.30481775772215103,0.28974887710919917,terbang
fahri,1,52.0,52.996,0.5337806196986894,0.04160905403956172,terbang
fahri,1,53.0,53.996,0.653534142461867,0.008793126166851906,terbang
fahri,1,54.0,54.996,0.23348640147619548,0.5236379121950089,terbang
fahri,1,55.0,120.992,0.8372398492703078,0.6832837797958526,terbang
fahri,2,120.996,121.992,0.03391971985973041,0.2527899069601818,terbang
fahri,2,121.996,122.992,0.33120800252643534,0.4491474395075973,terbang
fahri,2,122.996,123.992,0.08411173262675942,0.19223689803351252,terbang
fahri,2,123.996,124.992,0.845827335363074,0.7228556264895943,terbang
fahri,2,124.996,125.992,0.696892751700704,0.6693623995742594,terbang
fahri,2,125.996,126.992,0.9722255174052794,0.9883235496540671,terbang
fahri,2,126.996,192.988,0.918548501247026,0.7623168991621412,terbang
fahri,3,192.992,193.988,0.4980635163617766,0.9696143736107917,terbang
fahri,3,193.992,194.988,0.6858322041631533,0.013876393189239167,terbang
fahri,3,194.992,195.988,0.7399888926749624,0.5736888194159598,terbang
fahri,3,195.992,196.988,0.355369634931868,0.6155452521267786,terbang
fahri,3,196.992,197.988,0.3091048021742142,0.580004001015992,terbang
fahri,3,197.992,198.988,0.41372332459254746,0.8531742729860164,terbang
fahri,3,198.992,264.984,0.28849907265737484,0.35631588919543544,terbang
fahri,4,264.988,265.984,0.3396283760397637,0.9357451091823001,terbang
fahri,4,265.988,266.984,0.44229146861061497,0.33432426947909943,terbang
fahri,4,266.988,267.984,0.008396764458314276,0.32716871207572495,terbang
fahri,4,267.988,268.984,0.3109857498758276,0.8925699385429796,terbang
fahri,4,268.988,269.984,0.18077145532142247,0.41402025995673764,terbang
fahri,4,269.988,270.984,0.5222053853079843,0.6780613054632337,terbang
fahri,4,270.988,336.98,0.2045030104584391,0.7606606025885593,terbang
fahri,5,336.984,337.98,0.37365886883022825,0.4501503252218868,terbang
fahri,5,337.984,338.98,0.35700844114199526,0.22140863632841812,terbang
fahri,5,338.984,339.98,0.1630080090868975,0.22232008699700123,terbang
fahri,5,339.984,340.98,0.5050053583604505,0.12852627853085663,terbang
fahri,5,340.984,341.98,0.5412003099324704,0.8195617919521085,terbang
fahri,5,341.984,342.98,0.15782554545308958,0.7087983143358898,terbang
