subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
syarif,1,48.0,48.996,0.5974787674405254,0.8314299633193104,terbang
syarif,1,49.0,49.996,0.928438334923203,0.16775679475440852,terbang
syarif,1,50.0,50.996,0.5029245660330992,0.39994541638154657,terbang
syarif,1,51.0,51.996,0.7339453316639463,0.43933404397158105,terbang
syarif,1,52.0,52.996,0.54678399582755,0.7672980161054535,terbang
syarif,1,53.0,53.996,0.09607159503635498,0.7007600278494079,terbang
syarif,1,54.0,54.996,0.06231241942402499,0.2943305921773526,terbang
syarif,1,55.0,120.992,0.828673244550878,0.586659911445623,terbang
syarif,2,120.996,121.992,0.3340508849417618,0.19802464560256383,terbang
syarif,2,121.996,122.992,0.6993188415374951,0.050149692668242984,terbang
syarif,2,122.996,123.992,0.08944642594268781,0.8764478468392126,terbang
syarif,2,123.996,124.992,0.060884343315267264,0.7395371685014485,terbang
syarif,2,124.996,125.992,0.976693783414909,0.2275154576954307,terbang
syarif,2,125.996,126.992,0.08364871225835036,0.6426001349054367,terbang
syarif,2,126.996,192.988,0.05341714673772502,0.5022603210234933,terbang
syarif,3,192.992,193.988,0.035522748335576004,0.9799489438990242,terbang
syarif,3,193.992,194.988,0.1908679731576437,0.45474183703870863,terbang
syarif,3,194.992,195.988,0.9506966413392623,0.5619284450265974,terbang
syarif,3,195.992,196.988,0.5026767628501696,0.0663494455108784,terbang
syarif,3,196.992,197.988,0.40570152890528965,0.9340313675943631,terbang
syarif,3,197.992,198.988,0.42726543238025705,0.30711529285320405,terbang
syarif,3,198.992,264.984,0.47959821712765793,0.6517275833159006,terbang
syarif,4,264.988,265.984,0.03544781017150167,0.4746548197672126,terbang
syarif,4,265.988,266.984,0.6533452618264891,0.3918939043913373,terbang
syarif,4,266.988,267.984,0.957108333408715,0.9367873112134194,terbang
syarif,4,267.988,268.984,0.1404129015801957,0.9916130613001333,terbang
syarif,4,268.988,269.984,0.7964698372075361,0.64531647127687,terbang
syarif,4,269.988,270.984,0.4659203323200015,0.7034586286527444,terbang
syarif,4,270.988,336.98,0.05464698093516551,0.23282229590383585,terbang
syarif,5,336.984,337.98,0.10079856675238286,0.19438549432239038,terbang
syarif,5,337.984,338.98,0.7456604535088213,0.1225876130992768,terbang
syarif,5,338.984,339.98,0.2152344781622475,0.9963674527386477,terbang
syarif,5,339.984,340.98,0.5813571025900118,0.23123705805951444,terbang
syarif,5,340.984,341.98,0.44774086372424404,0.027060152495712586,terbang
syarif,5,341.984,342.98,0.7157269474529546,0.8486184927565934,terbang
