subject,loop,start_time,end_time,EXG0_cca_dummy,EXG1_cca_dummy,label
usamah,1,48.0,48.996,0.6869357088941481,0.07912089997707261,terbang
usamah,1,49.0,49.996,0.9655224186362678,0.7416214780298696,terbang
usamah,1,50.0,50.996,0.46829991120216097,0.9905207634963608,terbang
usamah,1,51.0,51.996,0.09844321770516251,0.6987618967956922,terbang
usamah,1,52.0,52.996,0.6554087414591256,0.9027504755667187,terbang
usamah,1,53.0,53.996,0.8323766216926154,0.0826968128299016,terbang
usamah,1,54.0,54.996,0.029857217429349436,0.43143912150327013,terbang
usamah,1,55.0,120.992,0.2613748105217495,0.12174189282994208,terbang
usamah,2,120.996,121.992,0.8037409851623298,0.9154562681254709,terbang
usamah,2,121.996,122.992,0.19911125056596723,0.8532562369431884,terbang
usamah,2,122.996,123.992,0.08151529790855172,0.9457548761526208,terbang
usamah,2,123.996,124.992,0.6545692294720694,0.3209533265831319,terbang
usamah,2,124.996,125.992,0.9841319959303229,0.3699209309150151,terbang
usamah,2,125.996,126.992,0.39952727455905324,0.3820401585172464,terbang
usamah,2,126.996,192.988,0.6302389509225016,0.27847671418320674,terbang
usamah,3,192.992,193.988,0.4830262974135553,0.920310669788408,terbang
usamah,3,193.992,194.988,0.25297212894693555,0.9136213287979132,terbang
usamah,3,194.992,195.988,0.726942981625003,0.5150146290735814,terbang
usamah,3,195.992,196.988,0.3054982507333841,0.23257339179024716,terbang
usamah,3,196.992,197.988,0.11756880858398733,0.7249972325962253,terbang
usamah,3,197.992,198.988,0.21811216306088688,0.797988313044473,terbang
usamah,3,198.992,264.984,0.06583686108171083,0.738921420395624,terbang
usamah,4,264.988,265.984,0.6051987445128165,0.5199182650502945,terbang
usamah,4,265.988,266.984,0.7299936191585109,0.17147672598921782,terbang
usamah,4,266.988,267.984,0.5568289826318061,0.7987440448593781,terbang
usamah,4,267.988,268.984,0.23721975022855812,0.4653085915075047,terbang
usamah,4,268.988,269.984,0.7233524411891478,0.3364893432732007,terbang
usamah,4,269.988,270.984,0.9673101967533891,0.3671994796843404,terbang
usamah,4,270.988,336.98,0.06693107492603056,0.9031421631622465,terbang
usamah,5,336.984,337.98,0.5175932969787147,0.10862588827026642,terbang
usamah,5,337.984,338.98,0.15795856585651624,0.05530448622455297,terbang
usamah,5,338.984,339.98,0.8383061530545726,0.8402619288742248,terbang
usamah,5,339.984,340.98,0.020116912854225233,0.5042202284532304,terbang
usamah,5,340.984,341.98,0.5852019244455806,0.5729855441076211,terbang
usamah,5,341.984,342.98,0.3660286802931265,0.7505686812770724,terbang
