subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_delta_bandpower,EXG0_theta_bandpower,EXG0_alpha_bandpower,EXG0_beta_bandpower,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_delta_bandpower,EXG1_theta_bandpower,EXG1_alpha_bandpower,EXG1_beta_bandpower,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,CCA_15.5Hz,CCA_13.5Hz,CCA_11.5Hz,CCA_9.5Hz,CCA_5.5Hz,CCA_7.5Hz,label
fahri,1,12.0,18.996,193287.89366682572,3948847.131864575,15593393670835.082,0.06589145481277152,0.18558956950715189,3881942662070.8135,612434666335.5095,584435803346.0608,1467721216142.855,15593393670835.082,0.1343430230615191,2.9283807004916387,-193287.89366682552,3948847.131864575,15593393670835.082,-0.06589145481277157,0.18558956950715189,3881942662070.8135,612434666335.5094,584435803346.0608,1467721216142.8555,15593393670835.082,0.1343430230615191,2.9283807004916387,0.03399439998187722,0.06951167260791354,0.07075762926376082,0.03752089079374045,0.04008539618144345,0.0286500991704315,belakang
fahri,1,19.0,90.992,-162767.5125830816,3083259.7617378645,9506490758351.834,0.1727187291872587,1.2306648810982876,957016542520.0223,564603196392.6012,826146083965.4791,1231450030150.3005,9506490758351.834,0.16412940738773413,2.753978774513879,162767.51258308158,3083259.7617378645,9506490758351.834,-0.17271872918725875,1.2306648810982876,957016542520.0225,564603196392.6012,826146083965.4792,1231450030150.3005,9506490758351.834,0.16412940738773413,2.753978774513879,0.059999114853067415,0.14530747682580494,0.07492730713879629,0.05674659579624548,0.04481602283444985,0.0353288205652822,belakang
fahri,2,90.996,162.988,124214.11356225851,2306119.19891325,5318185759596.29,0.31066110506370137,0.11360560837038758,1362297857732.3584,876376509128.0583,501238250897.0946,729582526944.5198,5318185759596.29,0.20296061609319715,2.5070361532650907,-124214.11356225851,2306119.19891325,5318185759596.29,-0.31066110506370137,0.11360560837038758,1362297857732.3584,876376509128.058,501238250897.0946,729582526944.5198,5318185759596.29,0.20296061609319715,2.5070361532650907,0.012565601141565953,0.06985668612912552,0.061209444124687935,0.07581265953612489,0.1082790257051055,0.056354476259588955,belakang
fahri,3,162.992,234.984,430102.74479865097,5269932.569623834,27772189288382.07,-0.3013211917313511,-0.5581603017503771,2499961877096.119,1416104779095.3743,807034413709.996,1058823195285.7406,27772189288382.07,0.09326688940696347,4.486275786489911,-430102.7447986509,5269932.569623834,27772189288382.074,0.3013211917313511,-0.5581603017503776,2499961877096.119,1416104779095.3745,807034413709.9961,1058823195285.7405,27772189288382.074,0.09326688940696345,4.486275786489911,0.0047458910783689705,0.06718538581279765,0.023541031335765083,0.01941986575204394,0.01999265509305419,0.030473196237858186,belakang
fahri,4,234.988,306.98,-107992.61148578241,2807464.882103073,7881859064242.022,-0.05126792498567724,-0.14924805377313977,941582844511.7559,521600690092.7467,484518002264.9417,825986919600.214,7881859064242.022,0.17891449648122543,3.2358678045711455,107992.61148578236,2807464.882103073,7881859064242.021,0.051267924985677144,-0.14924805377313932,941582844511.7559,521600690092.7465,484518002264.9418,825986919600.2136,7881859064242.021,0.17891449648122545,3.2358678045711455,0.030444129401528786,0.11689381266986916,0.04014444230252689,0.08005202512969432,0.05728190793731159,0.08255374922445738,belakang
fahri,5,306.984,18.976,-27993646.783071328,1783095863.312036,3.179430857760495e+18,0.5391451650327127,0.8776118082309075,3.86807348229407e+17,7.208722399647552e+17,4.039965393641919e+17,1.0397417174856172e+18,3.179430857760495e+18,0.31856980244471766,1.3510921063662065,27993646.78307132,1783095863.312036,3.179430857760495e+18,-0.5391451650327127,0.8776118082309079,3.86807348229407e+17,7.208722399647551e+17,4.039965393641919e+17,1.0397417174856173e+18,3.179430857760495e+18,0.31856980244471766,1.3510921063662065,0.04875252424585854,0.03428683248682557,0.03234203973737743,0.1322574611391209,0.06644413682230778,0.15960598172738955,belakang
sultan,1,18.98,90.972,12354901.74908441,1520058436.9979897,2.3105776518887716e+18,0.359680217827163,0.15891332428172067,3.8092887152341005e+17,3.8532973388290016e+17,7.282430337576951e+17,1.3247552835600233e+18,2.3105776518887716e+18,0.33928353015048324,1.3643523301654144,-12354901.749084413,1520058436.99799,2.310577651888772e+18,-0.35968021782716286,0.15891332428171934,3.8092887152341005e+17,3.853297338829001e+17,7.282430337576951e+17,1.3247552835600233e+18,2.310577651888772e+18,0.3392835301504831,1.3643523301654148,0.010078716483784255,0.05479073462972618,0.1350433747618956,0.12948272739086206,0.11293358314500627,0.0710024759457813,belakang
sultan,2,90.976,162.968,-15537718.978138708,1584531991.0974987,2.5107416308114033e+18,0.6273503961360141,0.7039784282322179,2.0860807716825568e+17,3.617382661521067e+17,5.042722111857128e+17,9.412613396239671e+17,2.5107416308114033e+18,0.3431731523210614,1.5778690498941266,15537718.978138708,1584531991.0974987,2.5107416308114033e+18,-0.6273503961360141,0.7039784282322179,2.0860807716825568e+17,3.6173826615210675e+17,5.042722111857128e+17,9.412613396239671e+17,2.5107416308114033e+18,0.3431731523210614,1.5778690498941266,0.05146344035454002,0.13666405128883177,0.06447730206659667,0.23224345788470502,0.13211682477152778,0.1241100712449171,belakang
sultan,3,162.972,234.964,10969037.76017589,1514695251.3802738,2.294301704553951e+18,0.595261116982943,0.34845973331190105,2.891061615397314e+17,4.846160322816163e+17,4.662834718593152e+17,9.125680932648104e+17,2.294301704553951e+18,0.3223692637196812,1.302775972504465,-10969037.760175895,1514695251.3802738,2.294301704553951e+18,-0.595261116982943,0.34845973331190105,2.8910616153973146e+17,4.846160322816164e+17,4.662834718593154e+17,9.125680932648104e+17,2.294301704553951e+18,0.3223692637196812,1.302775972504465,0.05683645866829275,0.11189665902384768,0.018558633629482773,0.04547111670355909,0.08705120968823282,0.10401814024254612,belakang
sultan,4,234.968,306.96,-8963695.415537551,1318818641.1295588,1.739282608190816e+18,0.4261853884092444,0.025061444464345328,2.3651272175988326e+17,3.91990154266509e+17,3.666861859668489e+17,1.0203905993684924e+18,1.739282608190816e+18,0.3366816643353061,1.314437998953679,8963695.415537547,1318818641.1295588,1.739282608190816e+18,-0.4261853884092444,0.02506144446434444,2.3651272175988326e+17,3.91990154266509e+17,3.666861859668489e+17,1.0203905993684923e+18,1.739282608190816e+18,0.3366816643353061,1.3144379989536792,0.017457587925566842,0.08799681101601677,0.09995322659844172,0.0874502815940921,0.11256575858360343,0.04935759742432217,belakang
