subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_delta_bandpower,EXG0_theta_bandpower,EXG0_alpha_bandpower,EXG0_beta_bandpower,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_delta_bandpower,EXG1_theta_bandpower,EXG1_alpha_bandpower,EXG1_beta_bandpower,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,CCA_15.5Hz,CCA_13.5Hz,CCA_11.5Hz,CCA_9.5Hz,CCA_5.5Hz,CCA_7.5Hz,label
fahri,1,0.0,6.996,-382290.24429936067,3346033.394631458,11195939477988.918,0.3630112916840285,0.7154221850158797,3673861799953.935,1173176412099.9307,1390060375475.3481,1606183154286.9502,11195939477988.918,0.1818398490139096,2.1425388643132273,382290.24429936067,3346033.394631458,11195939477988.918,-0.36301129168402846,0.7154221850158797,3673861799953.935,1173176412099.9304,1390060375475.3481,1606183154286.9502,11195939477988.918,0.1818398490139096,2.1425388643132273,0.06195167768926604,0.005741016982096008,0.02460560097685866,0.04959540420590622,0.06941420807226709,0.04802471452352172,depan
fahri,1,7.0,78.992,50242.197670250585,3748526.560000715,14051451371030.793,-0.24113142002759963,0.6322868875210368,1458232413789.9326,879549369793.6493,458374066182.8374,804318497402.6284,14051451371030.793,0.12637943093400555,2.9801072957579984,-50242.19767025055,3748526.560000715,14051451371030.793,0.24113142002759982,0.6322868875210368,1458232413789.9326,879549369793.6497,458374066182.8373,804318497402.6284,14051451371030.793,0.12637943093400555,2.980107295757998,0.025989382781037535,0.008922163406829978,0.015882536492028677,0.03174952169212977,0.07011941913641316,0.0444895405329782,depan
fahri,2,78.996,150.988,121310.46420086383,6178798.1446356885,38177546512153.43,0.5427745885661562,0.4887611836761705,1280708117257.5073,861016635626.8156,844346995782.0319,1046380898199.655,38177546512153.43,0.08712911976000451,5.906545945696384,-121310.46420086427,6178798.1446356885,38177546512153.43,-0.5427745885661562,0.4887611836761705,1280708117257.5073,861016635626.8157,844346995782.0317,1046380898199.6549,38177546512153.43,0.08712911976000451,5.906545945696384,0.04576206974910929,0.01473152858768089,0.010363324672132405,0.014348785568607894,0.02307141413866882,0.04793757676895492,depan
fahri,3,150.992,222.984,284630.9982362212,4216274.683293742,17776972204983.742,-0.31389347425165726,-0.05924180279643254,2898430327808.9478,637663968848.9069,402049889840.3012,669859463904.1025,17776972204983.742,0.108299541587749,3.7681634561900603,-284630.998236221,4216274.683293742,17776972204983.742,0.31389347425165737,-0.0592418027964321,2898430327808.9487,637663968848.9066,402049889840.30115,669859463904.1027,17776972204983.742,0.108299541587749,3.768163456190062,0.018531347880595427,0.02200908649184052,0.03304029699908017,0.06516363599444525,0.01802236054474389,0.05212678374984428,depan
fahri,4,222.988,294.98,31456.1076348238,5202998.479719992,27071193179968.547,-0.47749575932169386,0.8460031714171152,1918326136525.462,567878917188.0232,576625768720.2301,1604835820632.4705,27071193179968.547,0.10534648611447027,5.795916898481443,-31456.107634823664,5202998.479719992,27071193179968.547,0.47749575932169386,0.8460031714171148,1918326136525.462,567878917188.0231,576625768720.2303,1604835820632.47,27071193179968.547,0.1053464861144703,5.795916898481449,0.028037196303986708,0.011797994691357436,0.04466566050033937,0.03592030042562218,0.05173964655402517,0.05460413771546953,depan
fahri,5,294.984,6.976,-393713209.0132893,2409296473.031562,5.804709494962323e+18,-0.7303068663196489,4.130555006089983,5.996900615717153e+17,6.127000939956842e+17,8.375273634978519e+17,1.3436264571757724e+18,5.804709494962323e+18,0.24723125828140496,1.9252847711034973,393713209.0132893,2409296473.031562,5.804709494962323e+18,0.730306866319649,4.130555006089986,5.996900615717153e+17,6.127000939956841e+17,8.37527363497852e+17,1.3436264571757724e+18,5.804709494962323e+18,0.24723125828140496,1.9252847711034973,0.005775361913294316,0.023386673493414643,0.047431243284849975,0.07138571189307012,0.05826793912993716,0.10591543911559913,depan
sultan,1,6.98,78.992,3551987.0044602356,1722750150.977698,2.9678680826936817e+18,0.6022614415858771,0.48273959524050625,5.978509838612993e+17,4.636252371619777e+17,8.745206671097098e+17,9.263274464821408e+17,2.9678680826936817e+18,0.31854900096292327,1.4819051780969668,-3551987.0044602267,1722750150.977698,2.9678680826936817e+18,-0.6022614415858771,0.4827395952405067,5.978509838612993e+17,4.636252371619777e+17,8.745206671097098e+17,9.263274464821407e+17,2.9678680826936817e+18,0.31854900096292327,1.4819051780969668,0.08514100225596001,0.1198806063689446,0.07944016396370264,0.09988959446611306,0.061644521685432135,0.13627426072067356,depan
sultan,2,78.996,150.988,-6366818.2217576085,1543281600.2911716,2.381718097797279e+18,0.6000570257152458,0.8629106235128075,2.894495206733346e+17,5.3476056066390176e+17,4.741999285643133e+17,9.536956570007592e+17,2.381718097797279e+18,0.30947137658667534,1.5294739542843907,6366818.22175762,1543281600.2911716,2.381718097797279e+18,-0.6000570257152457,0.8629106235128075,2.8944952067333466e+17,5.3476056066390176e+17,4.7419992856431315e+17,9.536956570007593e+17,2.381718097797279e+18,0.30947137658667534,1.5294739542843907,0.042632009138204474,0.03681252064102394,0.0525595441144426,0.20612409028748213,0.1507225038216311,0.07319240088307885,depan
sultan,3,150.992,222.984,-5425396.407846617,1594959455.8756387,2.543895665887113e+18,0.5277158829129435,0.4703597314703645,2.7867553284090246e+17,4.724832270785394e+17,7.303068036361549e+17,1.1131855673512028e+18,2.543895665887113e+18,0.3152199700108574,1.334604501985708,5425396.407846623,1594959455.8756387,2.543895665887113e+18,-0.5277158829129434,0.4703597314703645,2.7867553284090243e+17,4.724832270785395e+17,7.303068036361549e+17,1.1131855673512028e+18,2.543895665887113e+18,0.3152199700108574,1.334604501985708,0.13621550248427416,0.09520227248303446,0.07025750194411999,0.1671662113382145,0.13423324048800314,0.14909244098740543,depan
sultan,4,222.988,294.98,-13812524.634685,1383118637.4042501,1.9130171651349893e+18,0.6216839492472277,0.6417032653915609,3.765331061398079e+17,4.096746614960554e+17,5.1874742873945024e+17,8.297942038613137e+17,1.9130171651349893e+18,0.33347971726298,1.478745437549521,13812524.634684991,1383118637.4042501,1.9130171651349893e+18,-0.6216839492472277,0.6417032653915609,3.765331061398079e+17,4.096746614960554e+17,5.187474287394501e+17,8.297942038613137e+17,1.9130171651349893e+18,0.33347971726298,1.4787454375495213,0.043733025179785945,0.04286180295984346,0.047834765049638954,0.09571332954426463,0.08842141217429463,0.10136812148996581,depan
