subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_delta_bandpower,EXG0_theta_bandpower,EXG0_alpha_bandpower,EXG0_beta_bandpower,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_delta_bandpower,EXG1_theta_bandpower,EXG1_alpha_bandpower,EXG1_beta_bandpower,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,CCA_15.5Hz,CCA_13.5Hz,CCA_11.5Hz,CCA_9.5Hz,CCA_5.5Hz,CCA_7.5Hz,label
fahri,1,24.0,30.996,-359764.74468179676,5303532.298150328,28127454837523.695,-0.1470354858615158,1.1923397036418324,4428588603385.862,1308294283923.7979,1421156672211.5337,803310389956.265,28127454837523.695,0.09204250467870717,4.088625958109036,359764.74468179664,5303532.298150328,28127454837523.695,0.14703548586151594,1.1923397036418333,4428588603385.86,1308294283923.798,1421156672211.5334,803310389956.265,28127454837523.695,0.09204250467870717,4.088625958109036,0.007255367644517623,0.021857840144311275,0.04452556776582495,0.030345221700742015,0.04069473827953857,0.0177630285317015,kanan
fahri,1,31.0,102.992,-226957.89407200957,3320453.192600259,11025409404249.252,0.3385790576750456,0.9960363976514448,976934228741.5367,839541636871.289,1615296981412.1304,724806732215.5554,11025409404249.252,0.1537766641091211,2.8632467554610965,226957.89407200957,3320453.192600259,11025409404249.252,-0.33857905767504576,0.996036397651443,976934228741.5367,839541636871.2888,1615296981412.1304,724806732215.5555,11025409404249.252,0.15377666410912108,2.8632467554610965,0.02383216422283779,0.05513898856261882,0.03652123722071754,0.03476260485323876,0.0535811732042278,0.07204994536608894,kanan
fahri,2,102.996,174.988,120921.11099450548,5689063.17743819,32365439836883.12,-0.4265628147429607,0.9564395830304484,5645626075725.271,530164482524.2748,785861772603.7391,808329699579.048,32365439836883.12,0.07959464151925341,4.652701179282901,-120921.11099450574,5689063.177438191,32365439836883.125,0.42656281474296087,0.9564395830304484,5645626075725.2705,530164482524.27454,785861772603.7393,808329699579.0476,32365439836883.125,0.0795946415192534,4.652701179282901,0.022475540705232732,0.013710156896325258,0.019768440491551197,0.01884701756184041,0.03797050505957635,0.04403273397883156,kanan
fahri,3,174.992,246.984,1511.34916379479,3845899.90481819,14790946077880.562,-0.15701915805397318,0.4798609328398964,3778095220009.9575,1796415432024.9158,1951501382859.7095,670202824861.1086,14790946077880.562,0.14741396881480348,4.6386887889674995,-1511.3491637946622,3845899.90481819,14790946077880.562,0.15701915805397335,0.4798609328398964,3778095220009.9585,1796415432024.9163,1951501382859.7102,670202824861.109,14790946077880.562,0.14741396881480348,4.638688788967499,0.0329839676509742,0.024616435051706177,0.05208582546179519,0.03466654664522774,0.05469076014391978,0.03547369001076847,kanan
fahri,4,246.988,318.98,75230.34572711204,2549496.380540975,6499931794391.531,0.04969016209803906,0.4194170659433576,1047696469907.603,773500512603.7671,833515494680.5535,792662542831.2339,6499931794391.531,0.19649352110563553,2.03405723958764,-75230.34572711207,2549496.380540975,6499931794391.531,-0.049690162098039205,0.41941706594335804,1047696469907.6027,773500512603.767,833515494680.5535,792662542831.2338,6499931794391.531,0.19649352110563556,2.0340572395876393,0.04522140107367605,0.053366279856685336,0.02135002459758144,0.06502306346914591,0.06876350866739447,0.04055789642026575,kanan
fahri,5,318.984,30.976,-23272294.957636047,1541838496.9838736,2.3772659507814907e+18,0.484766071979752,0.2012251963528806,3.893509802799914e+17,6.536349628418405e+17,5.284758611628343e+17,9.541969380606218e+17,2.3772659507814907e+18,0.3299049266190699,1.3423507594449742,23272294.95763604,1541838496.9838736,2.3772659507814907e+18,-0.484766071979752,0.2012251963528806,3.893509802799915e+17,6.536349628418404e+17,5.2847586116283424e+17,9.541969380606217e+17,2.3772659507814907e+18,0.3299049266190699,1.3423507594449742,0.03410690951211263,0.0756567775823311,0.06830015465228305,0.07943788958316247,0.11689474880508334,0.04483882660879382,kanan
sultan,1,30.98,102.972,23549287.777897004,1707685027.93493,2.9161881546331233e+18,0.6005696494718348,0.3612894426019091,4.498546822589938e+17,8.421490827672278e+17,4.5282050718553626e+17,1.2810675164959565e+18,2.9161881546331233e+18,0.3199473454771495,1.3789898036423067,-23549287.777897008,1707685027.93493,2.9161881546331233e+18,-0.6005696494718348,0.36128944260190865,4.498546822589938e+17,8.421490827672278e+17,4.528205071855363e+17,1.2810675164959565e+18,2.9161881546331233e+18,0.3199473454771495,1.3789898036423067,0.0900688863307338,0.07294133469334028,0.12056092045791712,0.09046101286506146,0.1253631372712318,0.12645278082260022,kanan
sultan,2,102.976,174.968,-38760081.0608164,1615137535.7826004,2.608669259493891e+18,0.4352505795866258,0.5162579350480958,3.2101834316586234e+17,4.456825251432751e+17,6.744262429810972e+17,1.4116063855311828e+18,2.608669259493891e+18,0.32904467000501153,1.4248500445312502,38760081.06081638,1615137535.7826004,2.608669259493891e+18,-0.43525057958662566,0.5162579350480958,3.210183431658624e+17,4.4568252514327514e+17,6.744262429810972e+17,1.4116063855311828e+18,2.608669259493891e+18,0.3290446700050116,1.4248500445312497,0.05335473690492087,0.01387122908058556,0.09457924792095769,0.10004528616265335,0.11196486206062936,0.0801773784993183,kanan
sultan,3,174.972,246.964,11597647.444209093,1481581425.2526336,2.1950835196536248e+18,0.6517227181714469,0.26334200765218085,3.653128344439063e+17,2.056143742039578e+17,3.3821392127887405e+17,7.933366834609486e+17,2.1950835196536248e+18,0.3311134672173749,1.5955148691810113,-11597647.444209093,1481581425.2526336,2.1950835196536248e+18,-0.6517227181714469,0.2633420076521813,3.6531283444390624e+17,2.056143742039578e+17,3.3821392127887405e+17,7.933366834609485e+17,2.1950835196536248e+18,0.3311134672173749,1.5955148691810113,0.04966739469816342,0.027184674290536042,0.021521697345999014,0.11200697643098785,0.10746443001262956,0.11649774302452044,kanan
sultan,4,246.968,318.96,-6192182.827276199,1311520108.1398497,1.720084994055163e+18,0.6452429522213635,0.3940872727175897,9.930839457655074e+16,2.4060431652385437e+17,4.1378642040072e+17,7.204836565949837e+17,1.720084994055163e+18,0.32077434513869757,1.3685121340901103,6192182.827276202,1311520108.1398494,1.7200849940551626e+18,-0.6452429522213637,0.39408727271759014,9.930839457655077e+16,2.4060431652385437e+17,4.1378642040072e+17,7.204836565949837e+17,1.7200849940551626e+18,0.3207743451386976,1.36851213409011,0.012926687096524137,0.04202166956027371,0.11958399388783213,0.10590806199827633,0.15964521486587077,0.08609906317117785,kanan
