subject,loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,label
fahri,1,48.0,48.996,2087716.926304457,6479537.185791603,41984402142056.17,-0.3289147746865223,-1.3802662594765551,41984402142056.17,0.06002861512850009,6.527605151038153,6446002380961.255,96393670482.70505,77729836374.77286,23285680921.821358,16435.957199528522,-2087716.9263044572,6479537.185791604,41984402142056.18,0.3289147746865225,-1.3802662594765556,41984402142056.18,0.06002861512850008,6.527605151038151,6446002380961.256,96393670482.70517,77729836374.7729,23285680921.82132,16435.957199552835,terbang
fahri,1,49.0,49.996,1623647.1431810819,2593956.6424821164,6728611063077.094,0.10454431521089154,-1.0266995214535588,6728611063077.094,0.1894416748953409,2.114249436391287,736756342719.528,402412512891.2397,111883895062.26888,40224678516.81626,9974.018846161121,-1623647.1431810814,2593956.6424821164,6728611063077.094,-0.10454431521089178,-1.0266995214535588,6728611063077.094,0.18944167489534092,2.1142494363912867,736756342719.5277,402412512891.2399,111883895062.26888,40224678516.81626,9974.018846160214,terbang
fahri,1,50.0,50.996,-2359105.8333927076,2544390.2139900513,6473921561048.338,0.21842560487729487,-0.4939289297015734,6473921561048.338,0.16470708022145325,2.303909381762995,800430408898.7035,316555792416.24744,36800782752.70268,27182244570.54641,4985.932007230484,2359105.833392707,2544390.2139900513,6473921561048.338,-0.21842560487729423,-0.49392892970157387,6473921561048.338,0.16470708022145322,2.3039093817629954,800430408898.7034,316555792416.2475,36800782752.70268,27182244570.54641,4985.932007227197,terbang
fahri,1,51.0,51.996,-1407609.901637237,3661952.8884004154,13409898956864.145,-0.6220538905265424,0.49107544783332546,13409898956864.145,0.12225050654462183,3.0526921762307975,1116602381274.121,149342546299.29922,49170594627.920265,16079885667.808725,12936.919787121053,1407609.901637237,3661952.8884004154,13409898956864.145,0.6220538905265423,0.49107544783332546,13409898956864.145,0.12225050654462183,3.052692176230797,1116602381274.121,149342546299.29916,49170594627.92025,16079885667.808725,12936.919787117185,terbang
fahri,1,52.0,52.996,-4193407.859871442,10657324.600718774,113578567645085.56,0.0859150336454912,-1.499336088898417,113578567645085.56,0.04208583703028259,8.559427783826148,11436856763769.314,145387205407.32126,113284632526.77165,64429587726.857124,12404.981902377633,4193407.859871441,10657324.600718774,113578567645085.56,-0.08591503364549086,-1.499336088898417,113578567645085.56,0.04208583703028259,8.559427783826148,11436856763769.309,145387205407.32123,113284632526.7716,64429587726.85714,12404.98190237816,terbang
fahri,1,53.0,53.996,7943950.185265763,4315165.876263878,18620656539672.203,0.28354147071787794,-0.9962825139718063,18620656539672.203,0.10543971202537111,3.8122323020764837,2260338942434.054,268637849709.716,102928833061.01645,38370603772.836685,6976.44650788563,-7943950.185265763,4315165.876263878,18620656539672.207,-0.2835414707178779,-0.9962825139718068,18620656539672.207,0.10543971202537111,3.812232302076484,2260338942434.055,268637849709.71616,102928833061.01645,38370603772.83665,6976.446507893828,terbang
fahri,1,54.0,54.996,-899735.1461204549,3067055.6985619394,9406830658081.266,-0.16646743925099866,-1.0140884919884605,9406830658081.266,0.18056220059973746,2.2054210305496373,1121572671939.4573,575282503981.1165,157752157142.3062,73469324254.20398,14260.858937749752,899735.1461204549,3067055.69856194,9406830658081.268,0.16646743925099872,-1.0140884919884607,9406830658081.268,0.18056220059973746,2.2054210305496373,1121572671939.457,575282503981.1165,157752157142.30624,73469324254.204,14260.858937743998,terbang
fahri,1,55.0,120.992,-685093.9706626562,2540182.862482397,6452528974849.264,-0.671530737863474,-0.4699091949946337,6452528974849.264,0.17238067244880415,2.7368488219150295,832361351794.2734,194276006793.08273,448619747464.993,72311564006.10359,5791.657023576523,685093.9706626561,2540182.862482397,6452528974849.264,0.671530737863474,-0.4699091949946337,6452528974849.264,0.17238067244880415,2.7368488219150295,832361351794.2734,194276006793.08276,448619747464.993,72311564006.10362,5791.6570235782,terbang
fahri,2,120.996,121.992,-244325.55365909226,2074591.8968235843,4303931538366.0776,-0.21282192808171752,-0.5268016280011611,4303931538366.0776,0.2175155316347998,1.756934951786345,318507396569.64124,336432980880.5023,97763461439.92833,47014793018.4104,3666.9541379375314,244325.5536590922,2074591.8968235846,4303931538366.078,0.21282192808171735,-0.5268016280011616,4303931538366.078,0.2175155316347998,1.756934951786345,318507396569.64124,336432980880.50214,97763461439.92833,47014793018.4104,3666.954137936749,terbang
fahri,2,121.996,122.992,-69692.48909184545,2247348.8003420965,5050576630399.061,-0.21607409667291463,0.010646992154003332,5050576630399.061,0.23109529227105569,1.6517004254843304,519184295812.5748,73322095269.63939,150696531461.55255,83467990886.55412,7750.776588831334,69692.48909184545,2247348.8003420965,5050576630399.061,0.21607409667291477,0.010646992154003332,5050576630399.061,0.23109529227105569,1.6517004254843304,519184295812.5748,73322095269.63937,150696531461.55255,83467990886.55412,7750.776588831302,terbang
fahri,2,122.996,123.992,1241552.677689625,3523613.760248564,12415853931413.027,0.09024319872383173,-0.61044435813952,12415853931413.027,0.14009472485844116,2.8004965549703673,1664703890947.048,260751292449.08774,98285569505.1344,29457672105.146606,9875.032868573373,-1241552.677689625,3523613.760248564,12415853931413.027,-0.09024319872383182,-0.61044435813952,12415853931413.027,0.14009472485844118,2.800496554970367,1664703890947.0483,260751292449.0877,98285569505.1344,29457672105.146606,9875.032868569397,terbang
fahri,2,123.996,124.992,-1076249.464281514,3436565.890717594,11809985121243.611,0.5999746727157996,-0.173113213505252,11809985121243.611,0.13905797641294412,2.713695926188893,1452004556287.0085,199026587794.8753,234365436461.9129,32067103756.90156,7971.6180667788285,1076249.464281514,3436565.890717594,11809985121243.611,-0.5999746727157996,-0.173113213505252,11809985121243.611,0.1390579764129441,2.7136959261888935,1452004556287.0085,199026587794.8753,234365436461.9129,32067103756.901566,7971.618066774392,terbang
fahri,2,124.996,125.992,-4324273.316191021,3742208.6710893214,14004125737976.104,-0.5741332632028733,-1.1082413634064057,14004125737976.104,0.09551252516373016,3.9684655658545,2164554671808.7034,88552672836.32755,68731573395.75182,22060692247.769276,8929.103310930082,4324273.316191021,3742208.671089321,14004125737976.102,0.5741332632028734,-1.1082413634064054,14004125737976.102,0.0955125251637302,3.968465565854499,2164554671808.7034,88552672836.32753,68731573395.7518,22060692247.769276,8929.103310929739,terbang
