EXG0,EXG1,subject,loop,time
790647.2297805073,-790647.2297805073,fahri,1,12.0
1252667.700122919,-1252667.700122919,fahri,1,12.004
1444831.0821888642,-1444831.0821888642,fahri,1,12.008
1320639.038420841,-1320639.038420841,fahri,1,12.012
907938.4819883108,-907938.4819883108,fahri,1,12.016
298476.98474193364,-298476.98474193364,fahri,1,12.02
-378520.9773368193,378520.9773368193,fahri,1,12.024
-989249.5355672026,989249.5355672026,fahri,1,12.028
-1429163.0149399582,1429163.0149399582,fahri,1,12.032
-1648522.7702799551,1648522.7702799551,fahri,1,12.036
-1658539.8656031918,1658539.8656031918,fahri,1,12.04
-1524607.7738377508,1524607.7738377508,fahri,1,12.044
-1343018.8280038424,1343018.8280038424,fahri,1,12.048
-1209888.7939985655,1209888.7939985637,fahri,1,12.052
-1194874.6927830018,1194874.6927830018,fahri,1,12.056
-1323233.3467179714,1323233.3467179714,fahri,1,12.06
-1568423.597620193,1568423.597620193,fahri,1,12.064
-1860825.5022358382,1860825.5022358382,fahri,1,12.068
-2110008.243612893,2110008.243612893,fahri,1,12.072
-2228339.8544348907,2228339.8544348907,fahri,1,12.076
-2153613.37155593,2153613.371555932,fahri,1,12.08
-1863539.7044040132,1863539.7044040132,fahri,1,12.084
-1381753.627418857,1381753.627418857,fahri,1,12.088
-768772.9365232792,768772.9365232792,fahri,1,12.092
-109040.32880871836,109040.32880871836,fahri,1,12.096
509976.86123277526,-509976.86123277526,fahri,1,12.1
1014043.1948579503,-1014043.1948579503,fahri,1,12.104
1354798.1288685082,-1354798.1288685082,fahri,1,12.108
1516742.322468006,-1516742.322468006,fahri,1,12.112
1514751.5293723745,-1514751.5293723745,fahri,1,12.116
1390573.821526439,-1390573.821526439,fahri,1,12.12
1202970.8133372217,-1202970.8133372217,fahri,1,12.124
1017648.2665248457,-1017648.2665248457,fahri,1,12.128
900480.3693457032,-900480.3693457032,fahri,1,12.132
909800.1558936308,-909800.1558936308,fahri,1,12.136
1087121.5639417935,-1087121.5639417935,fahri,1,12.14
1450596.258078835,-1450596.258078836,fahri,1,12.144
1988919.2579754358,-1988919.257975435,fahri,1,12.148
2659834.1853824165,-2659834.1853824165,fahri,1,12.152
3392267.450818455,-3392267.450818455,fahri,1,12.156
4095297.1117555294,-4095297.1117555276,fahri,1,12.16
4672747.47553407,-4672747.47553407,fahri,1,12.164
5041074.999830777,-5041074.999830775,fahri,1,12.168
5148513.602880765,-5148513.602880765,fahri,1,12.172
4991117.939676081,-4991117.939676081,fahri,1,12.176
4617377.839096161,-4617377.839096161,fahri,1,12.18
4124389.9495618837,-4124389.9495618837,fahri,1,12.184
3634035.0820947345,-3634035.0820947345,fahri,1,12.188
3266041.4697032524,-3266041.4697032524,fahri,1,12.192
3107107.4819044583,-3107107.4819044583,fahri,1,12.196
3185773.034409795,-3185773.034409793,fahri,1,12.2
3463392.9919702895,-3463392.9919702895,fahri,1,12.204
3835478.4345646873,-3835478.434564691,fahri,1,12.208
4157131.2498037405,-4157131.249803737,fahri,1,12.212
4282120.7731063925,-4282120.7731063925,fahri,1,12.216
4100129.3651901186,-4100129.3651901186,fahri,1,12.22
3572270.250381017,-3572270.250381019,fahri,1,12.224
2742817.301824536,-2742817.301824536,fahri,1,12.228
1734193.2011704417,-1734193.2011704426,fahri,1,12.232
719133.1992139218,-719133.1992139218,fahri,1,12.236
-126180.46818418289,126180.46818418335,fahri,1,12.24
-666796.6014180835,666796.6014180845,fahri,1,12.244
-847600.8915373366,847600.8915373366,fahri,1,12.248
-711235.676059572,711235.676059573,fahri,1,12.252
-388628.8923369432,388628.8923369432,fahri,1,12.256
-64137.679299588315,64137.679299588315,fahri,1,12.26
74957.32754207216,-74957.32754207123,fahri,1,12.264
-109869.28690847848,109869.28690847848,fahri,1,12.268
-664512.6030540746,664512.6030540727,fahri,1,12.272
-1524981.5759330448,1524981.5759330448,fahri,1,12.276
-2529014.2259451766,2529014.2259451766,fahri,1,12.28
-3453875.903223047,3453875.903223047,fahri,1,12.284
-4074033.875569718,4074033.875569718,fahri,1,12.288
-4218686.722669927,4218686.722669927,fahri,1,12.292
-3819904.91066367,3819904.910663668,fahri,1,12.296
-2932996.1573155485,2932996.1573155485,fahri,1,12.3
-1728189.222029034,1728189.222029034,fahri,1,12.304
-454284.5013941005,454284.5013940986,fahri,1,12.308
620799.3808555808,-620799.3808555808,fahri,1,12.312
1270286.7111476818,-1270286.7111476818,fahri,1,12.316
1359610.5074584903,-1359610.5074584894,fahri,1,12.32
874147.2139417259,-874147.2139417268,fahri,1,12.324
-84560.87277900055,84560.87277900055,fahri,1,12.328
-1326239.6186629198,1326239.6186629198,fahri,1,12.332
-2620639.1065764097,2620639.10657641,fahri,1,12.336
-3748877.173606135,3748877.173606135,fahri,1,12.34
-4550740.338060681,4550740.338060681,fahri,1,12.344
-4952191.406139016,4952191.406139016,fahri,1,12.348
-4967172.944358044,4967172.944358044,fahri,1,12.352
-4681325.025519783,4681325.025519783,fahri,1,12.356
-4217352.352637934,4217352.352637934,fahri,1,12.36
-3700954.520744889,3700954.520744889,fahri,1,12.364
-3228838.249225408,3228838.249225408,fahri,1,12.368
-2851738.8022386814,2851738.8022386814,fahri,1,12.372
-2575027.612457918,2575027.612457918,fahri,1,12.376
-2369834.7889290852,2369834.7889290852,fahri,1,12.38
-2195502.1051926194,2195502.1051926194,fahri,1,12.384
-2021668.9048233517,2021668.9048233517,fahri,1,12.388
-1841584.5533363875,1841584.5533363875,fahri,1,12.392
-1675061.0736634582,1675061.0736634582,fahri,1,12.396
-1558726.7139816226,1558726.7139816226,fahri,1,12.4
-1531856.677677382,1531856.677677382,fahri,1,12.404
-1617874.980439986,1617874.980439986,fahri,1,12.408
-1810787.372298826,1810787.372298826,fahri,1,12.412
-2074741.5449967203,2074741.5449967203,fahri,1,12.416
-2351091.431891074,2351091.431891074,fahri,1,12.42
-2569963.8908791062,2569963.8908791062,fahri,1,12.424
-2674859.8532840367,2674859.853284036,fahri,1,12.428
-2637235.568787653,2637235.568787653,fahri,1,12.432
-2463758.1088227015,2463758.1088226996,fahri,1,12.436
-2196968.594331082,2196968.594331082,fahri,1,12.44
-1900922.6081944238,1900922.6081944238,fahri,1,12.444
-1641153.1413903646,1641153.1413903665,fahri,1,12.448
-1465857.889073372,1465857.889073372,fahri,1,12.452
-1391159.9309756542,1391159.930975655,fahri,1,12.456
