subject,loop,command,frequency,cca_corr
fahri,1,landing,7.5,0.09140739416548335
fahri,2,landing,7.5,0.16992563529873256
fahri,3,landing,7.5,0.10653625686427247
fahri,4,landing,7.5,0.10376638469913213
fahri,5,landing,7.5,0.07404496957038516
sultan,1,landing,7.5,0.05957740490661244
sultan,2,landing,7.5,0.059024033882980685
sultan,3,landing,7.5,0.057245640974544584
sultan,4,landing,7.5,0.05721846152753054
sultan,5,landing,7.5,0.0576736219664426
syarif,1,landing,7.5,0.07064536581667066
syarif,2,landing,7.5,0.0683815128223811
syarif,3,landing,7.5,0.0559512614430545
syarif,4,landing,7.5,0.05809049980411978
syarif,5,landing,7.5,0.056695462439035116
usamah,1,landing,7.5,0.05469813503922019
usamah,2,landing,7.5,0.07026052982615348
usamah,3,landing,7.5,0.08091848077626532
usamah,4,landing,7.5,0.0645039701388076
usamah,5,landing,7.5,0.06988757294762575
fahri,1,terbang,5.5,0.1686113001818259
fahri,2,terbang,5.5,0.1624324827498336
fahri,3,terbang,5.5,0.0692663996936726
fahri,4,terbang,5.5,0.16090744731876408
fahri,5,terbang,5.5,0.15583748200738337
sultan,1,terbang,5.5,0.03341146151503658
sultan,2,terbang,5.5,0.043324890976329834
sultan,3,terbang,5.5,0.06470011548405023
sultan,4,terbang,5.5,0.020115175351543297
sultan,5,terbang,5.5,0.04709543710450811
syarif,1,terbang,5.5,0.08499473641987167
syarif,2,terbang,5.5,0.08846427301620427
syarif,3,terbang,5.5,0.04025250254900172
syarif,4,terbang,5.5,0.07884304339282973
syarif,5,terbang,5.5,0.07015981326154792
usamah,1,terbang,5.5,0.0729347216272411
usamah,2,terbang,5.5,0.02776540391765821
usamah,3,terbang,5.5,0.04601866652951489
usamah,4,terbang,5.5,0.050989270415734936
usamah,5,terbang,5.5,0.04248702442787681
fahri,1,kanan,11.5,0.10701228513483746
fahri,2,kanan,11.5,0.07053280522681586
fahri,3,kanan,11.5,0.06504320769495198
fahri,4,kanan,11.5,0.16612587950090582
fahri,5,kanan,11.5,0.05497776154245955
sultan,1,kanan,11.5,0.07019427158097598
sultan,2,kanan,11.5,0.09717292459230818
sultan,3,kanan,11.5,0.0871150248845555
sultan,4,kanan,11.5,0.03731930031529137
sultan,5,kanan,11.5,0.07012365562267076
syarif,1,kanan,11.5,0.06325964056702478
syarif,2,kanan,11.5,0.05886855862434424
syarif,3,kanan,11.5,0.10426633759545668
syarif,4,kanan,11.5,0.07318822638540765
syarif,5,kanan,11.5,0.06654709417558614
usamah,1,kanan,11.5,0.05853156245894389
usamah,2,kanan,11.5,0.07432497423263597
usamah,3,kanan,11.5,0.08293563516141265
usamah,4,kanan,11.5,0.06258388479980087
usamah,5,kanan,11.5,0.04512893920974516
fahri,1,kiri,9.5,0.16677332008605478
fahri,2,kiri,9.5,0.09793708870613489
fahri,3,kiri,9.5,0.13584468244736933
fahri,4,kiri,9.5,0.1382139911003828
fahri,5,kiri,9.5,0.20440861656785364
sultan,1,kiri,9.5,0.06476647643873283
sultan,2,kiri,9.5,0.05275512583976779
sultan,3,kiri,9.5,0.051162130895470025
sultan,4,kiri,9.5,0.10329736725354707
sultan,5,kiri,9.5,0.042690077654091954
syarif,1,kiri,9.5,0.0690235295276653
syarif,2,kiri,9.5,0.05516798441141038
syarif,3,kiri,9.5,0.05977330283848427
syarif,4,kiri,9.5,0.043467428433437996
syarif,5,kiri,9.5,0.06011130058376405
usamah,1,kiri,9.5,0.08746437356281754
usamah,2,kiri,9.5,0.041203707156528185
usamah,3,kiri,9.5,0.026282269535892785
usamah,4,kiri,9.5,0.10679454567983879
usamah,5,kiri,9.5,0.04612029675516953
fahri,1,depan,13.5,0.03793911586004136
fahri,2,depan,13.5,0.041954885445361724
fahri,3,depan,13.5,0.09111718882365351
fahri,4,depan,13.5,0.061259055858484485
fahri,5,depan,13.5,0.05117495945103533
sultan,1,depan,13.5,0.06621894748361032
sultan,2,depan,13.5,0.07759548047360233
sultan,3,depan,13.5,0.06386415381269317
sultan,4,depan,13.5,0.08049786989775921
sultan,5,depan,13.5,0.0914582420734614
syarif,1,depan,13.5,0.13651727183702062
syarif,2,depan,13.5,0.04443692772380607
syarif,3,depan,13.5,0.04533105152457869
syarif,4,depan,13.5,0.08673614536131004
syarif,5,depan,13.5,0.04184906071351365
usamah,1,depan,13.5,0.04407718377199564
usamah,2,depan,13.5,0.09145134606476397
usamah,3,depan,13.5,0.08685265797652646
usamah,4,depan,13.5,0.047384933849918334
usamah,5,depan,13.5,0.043024182364167295
fahri,1,belakang,15.5,0.035203817916972996
fahri,2,belakang,15.5,0.07421521212994106
fahri,3,belakang,15.5,0.030300262462909053
fahri,4,belakang,15.5,0.0613718402776766
fahri,5,belakang,15.5,0.060389043723269455
sultan,1,belakang,15.5,0.05673759626838403
sultan,2,belakang,15.5,0.0727082627981324
sultan,3,belakang,15.5,0.049138610277294166
sultan,4,belakang,15.5,0.06349288544465978
sultan,5,belakang,15.5,0.05885382188165865
syarif,1,belakang,15.5,0.057910485937899686
syarif,2,belakang,15.5,0.06363375795486591
syarif,3,belakang,15.5,0.060089753586825
syarif,4,belakang,15.5,0.04129572421844149
syarif,5,belakang,15.5,0.04468784752984476
usamah,1,belakang,15.5,0.05661633566781952
usamah,2,belakang,15.5,0.03426966289176418
usamah,3,belakang,15.5,0.09210435447876196
usamah,4,belakang,15.5,0.067377936985203
usamah,5,belakang,15.5,0.05657007793518878
