EXG0,EXG1,subject,loop,time
-1.2915115803480148e-06,1.2915115803480148e-06,fahri,1,0.0
1143496.529508561,-1143496.5295085614,fahri,1,0.004
2174476.7911667153,-2174476.7911667144,fahri,1,0.008
2988889.237922406,-2988889.237922406,fahri,1,0.012
3498284.0751100816,-3498284.0751100816,fahri,1,0.016
3640256.885886345,-3640256.885886345,fahri,1,0.02
3388780.227196468,-3388780.22719647,fahri,1,0.024
2755944.7597191725,-2755944.7597191744,fahri,1,0.028
1795854.1162457392,-1795854.11624574,fahri,1,0.032
603498.2869643471,-603498.2869643471,fahri,1,0.036
-694368.2952070122,694368.2952070124,fahri,1,0.04
-1956178.9651527442,1956178.965152744,fahri,1,0.044
-3043479.2980601317,3043479.298060132,fahri,1,0.048
-3842001.2065275745,3842001.2065275745,fahri,1,0.052
-4280246.830951179,4280246.83095118,fahri,1,0.056
-4340523.7741306955,4340523.7741306955,fahri,1,0.06
-4061615.0554677257,4061615.0554677257,fahri,1,0.064
-3534052.635612806,3534052.6356128063,fahri,1,0.068
-2881807.858577948,2881807.858577948,fahri,1,0.072
-2238256.8557193168,2238256.8557193186,fahri,1,0.076
-1721519.4945586175,1721519.4945586193,fahri,1,0.08
-1414539.5977493562,1414539.5977493562,fahri,1,0.084
-1350606.4534637239,1350606.4534637239,fahri,1,0.088
-1510769.2786986716,1510769.2786986735,fahri,1,0.092
-1834131.5676157381,1834131.5676157381,fahri,1,0.096
-2233153.283876,2233153.283876,fahri,1,0.1
-2616285.871473094,2616285.8714730944,fahri,1,0.104
-2909492.882525834,2909492.8825258333,fahri,1,0.108
-3070927.5169179114,3070927.516917912,fahri,1,0.112
-3097216.259963821,3097216.259963821,fahri,1,0.116
-3018104.5819997387,3018104.5819997387,fahri,1,0.12
-2883957.5979681886,2883957.5979681886,fahri,1,0.124
-2746958.978833552,2746958.978833552,fahri,1,0.128
-2641158.9258818724,2641158.9258818724,fahri,1,0.132
-2570894.703971211,2570894.703971211,fahri,1,0.136
-2506196.9972164957,2506196.9972164957,fahri,1,0.14
-2391488.8760471954,2391488.8760471954,fahri,1,0.144
-2160869.1931709265,2160869.1931709265,fahri,1,0.148
-1759142.7278551497,1759142.7278551497,fahri,1,0.152
-1164416.0622162595,1164416.0622162595,fahri,1,0.156
-401339.44046920445,401339.4404692035,fahri,1,0.16
456058.27558507584,-456058.2755850768,fahri,1,0.164
1289203.1137624038,-1289203.1137624038,fahri,1,0.168
1960674.543844135,-1960674.543844135,fahri,1,0.172
2339797.6120109977,-2339797.6120109977,fahri,1,0.176
2333664.0317132687,-2333664.031713268,fahri,1,0.18
1906909.9024733491,-1906909.9024733491,fahri,1,0.184
1093958.691820003,-1093958.691820005,fahri,1,0.188
-4069.0756092835218,4069.0756092835218,fahri,1,0.192
-1237158.5957171693,1237158.5957171675,fahri,1,0.196
-2433269.5772309117,2433269.5772309117,fahri,1,0.2
-3429915.483307693,3429915.483307695,fahri,1,0.204
-4104135.533552954,4104135.533552953,fahri,1,0.208
-4391288.897100901,4391288.897100901,fahri,1,0.212
-4292494.578925176,4292494.578925176,fahri,1,0.216
-3868093.9790475564,3868093.9790475564,fahri,1,0.22
-3220070.376170778,3220070.376170778,fahri,1,0.224
-2467251.2341668475,2467251.2341668466,fahri,1,0.228
-1718950.5605070516,1718950.5605070516,fahri,1,0.232
-1057604.177978326,1057604.177978326,fahri,1,0.236
-525102.0885881511,525102.0885881511,fahri,1,0.24
-124745.84605457634,124745.84605457634,fahri,1,0.244
172407.95624645846,-172407.95624645846,fahri,1,0.248
412137.7308421498,-412137.7308421498,fahri,1,0.252
641735.0908600334,-641735.0908600334,fahri,1,0.256
897572.3478931012,-897572.3478931012,fahri,1,0.26
1198599.7949643182,-1198599.794964319,fahri,1,0.264
1543179.692885126,-1543179.692885125,fahri,1,0.268
