EXG0,EXG1,subject,loop,time
-3832982.291910682,3832982.291910682,fahri,1,36.0
-3827439.1449810117,3827439.1449810117,fahri,1,36.004
-3560364.0913697537,3560364.0913697556,fahri,1,36.008
-3079896.3162551634,3079896.3162551597,fahri,1,36.012
-2486344.957031792,2486344.957031794,fahri,1,36.016
-1914208.515851818,1914208.51585182,fahri,1,36.02
-1502612.583751632,1502612.583751632,fahri,1,36.024
-1363163.589460251,1363163.5894602519,fahri,1,36.028
-1553714.9371048994,1553714.9371048994,fahri,1,36.032
-2064277.6498271865,2064277.6498271865,fahri,1,36.036
-2817342.031032755,2817342.031032755,fahri,1,36.04
-3681712.0277964254,3681712.0277964254,fahri,1,36.044
-4500418.320585113,4500418.320585113,fahri,1,36.048
-5121416.992828852,5121416.992828852,fahri,1,36.052
-5427967.908118604,5427967.908118604,fahri,1,36.056
-5361450.881080121,5361450.881080121,fahri,1,36.06
-4929027.909990931,4929027.909990931,fahri,1,36.064
-4200752.04007769,4200752.04007769,fahri,1,36.068
-3292990.5172893135,3292990.5172893135,fahri,1,36.072
-2343828.3871045113,2343828.3871045113,fahri,1,36.076
-1486154.078977108,1486154.078977107,fahri,1,36.08
-823608.1496992046,823608.1496992055,fahri,1,36.084
-414969.902041018,414969.90204101894,fahri,1,36.088
-264443.9372270303,264443.9372270303,fahri,1,36.092
-324600.5951084273,324600.5951084272,fahri,1,36.096
-509536.0322842761,509536.0322842761,fahri,1,36.1
-713253.3629785143,713253.3629785143,fahri,1,36.104
-831617.3626643885,831617.3626643904,fahri,1,36.108
-782206.8999707904,782206.8999707904,fahri,1,36.112
-522352.69247342646,522352.69247342646,fahri,1,36.116
-58150.47341709025,58150.47341709025,fahri,1,36.12
554680.8368199021,-554680.8368199021,fahri,1,36.124
1219784.340683736,-1219784.340683736,fahri,1,36.128
1815875.7685675845,-1815875.7685675845,fahri,1,36.132
2219674.9474725844,-2219674.9474725844,fahri,1,36.136
2329972.344133283,-2329972.344133283,fahri,1,36.14
2090136.2479548324,-2090136.2479548333,fahri,1,36.144
1502531.064834847,-1502531.0648348462,fahri,1,36.148
633974.6218273714,-633974.6218273714,fahri,1,36.152
-391122.5376910027,391122.5376910027,fahri,1,36.156
-1410432.3532189443,1410432.3532189443,fahri,1,36.16
-2248700.1532511287,2248700.1532511287,fahri,1,36.164
-2750185.6870978284,2750185.6870978284,fahri,1,36.168
-2808362.129780624,2808362.129780624,fahri,1,36.172
-2387341.2392055076,2387341.2392055076,fahri,1,36.176
-1531466.2952694148,1531466.2952694148,fahri,1,36.18
-359026.9283678783,359026.92836787924,fahri,1,36.184
956318.9619701831,-956318.961970184,fahri,1,36.188
2216818.2236168906,-2216818.2236168906,fahri,1,36.192
3236078.2953741197,-3236078.295374118,fahri,1,36.196
3872716.944846526,-3872716.944846526,fahri,1,36.2
4056241.094399793,-4056241.094399795,fahri,1,36.204
3797121.8560475837,-3797121.8560475837,fahri,1,36.208
3183261.565208204,-3183261.565208204,fahri,1,36.212
2361806.379520068,-2361806.379520066,fahri,1,36.216
1507912.4895505793,-1507912.4895505793,fahri,1,36.22
790735.887110386,-790735.8871103879,fahri,1,36.224
341345.3762121368,-341345.3762121368,fahri,1,36.228
230127.28543507494,-230127.2854350768,fahri,1,36.232
457802.6729751136,-457802.67297511175,fahri,1,36.236
958664.704487063,-958664.704487063,fahri,1,36.24
1618512.241066656,-1618512.241066656,fahri,1,36.244
2303028.690687339,-2303028.690687339,fahri,1,36.248
2885019.0880051116,-2885019.0880051116,fahri,1,36.252
3271197.897373893,-3271197.897373893,fahri,1,36.256
3418595.4328517914,-3418595.4328517914,fahri,1,36.26
3338233.5795076275,-3338233.5795076275,fahri,1,36.264
3086578.9617960807,-3086578.9617960816,fahri,1,36.268
2747412.4375162777,-2747412.4375162777,fahri,1,36.272
2408791.6570384977,-2408791.6570384977,fahri,1,36.276
2139591.0864909813,-2139591.0864909813,fahri,1,36.28
1976049.3228299227,-1976049.3228299227,fahri,1,36.284
1913506.530989036,-1913506.530989037,fahri,1,36.288
1912752.4567582663,-1912752.4567582672,fahri,1,36.292
1915302.364222411,-1915302.3642224092,fahri,1,36.296
1862948.7731852196,-1862948.7731852187,fahri,1,36.3
1718300.3456800114,-1718300.3456800114,fahri,1,36.304
