EXG0,EXG1,subject,loop,time
654816.752592301,-654816.752592301,fahri,1,24.0
587343.1276029516,-587343.1276029516,fahri,1,24.004
305310.72845222056,-305310.72845222056,fahri,1,24.008
-110696.96780660655,110696.96780660655,fahri,1,24.012
-530331.373657369,530331.373657369,fahri,1,24.016
-803091.7980044829,803091.7980044829,fahri,1,24.02
-796524.7405157089,796524.7405157089,fahri,1,24.024
-433054.4026169386,433054.4026169386,fahri,1,24.028
282101.617391875,-282101.617391875,fahri,1,24.032
1254383.314164063,-1254383.314164063,fahri,1,24.036
2315548.7900598664,-2315548.7900598664,fahri,1,24.04
3256449.3131077252,-3256449.3131077252,fahri,1,24.044
3872673.9638346583,-3872673.9638346583,fahri,1,24.048
4010143.705576719,-4010143.705576719,fahri,1,24.052
3601676.5308551267,-3601676.5308551267,fahri,1,24.056
2685336.3094280446,-2685336.3094280446,fahri,1,24.06
1396992.271716185,-1396992.271716185,fahri,1,24.064
-56184.36004844308,56184.360048441216,fahri,1,24.068
-1437551.6051197592,1437551.6051197592,fahri,1,24.072
-2528991.970179418,2528991.97017942,fahri,1,24.076
-3173238.5164075214,3173238.5164075214,fahri,1,24.08
-3302250.592622528,3302250.592622528,fahri,1,24.084
-2946259.588692749,2946259.588692749,fahri,1,24.088
-2222091.689099297,2222091.689099295,fahri,1,24.092
-1303217.5909265801,1303217.5909265801,fahri,1,24.096
-381939.6575046461,381939.65750464797,fahri,1,24.1
368213.1796772741,-368213.1796772741,fahri,1,24.104
824631.2582585867,-824631.2582585867,fahri,1,24.108
934230.798040811,-934230.7980408128,fahri,1,24.112
718336.005431056,-718336.0054310542,fahri,1,24.116
260257.93746375106,-260257.93746375106,fahri,1,24.12
-315880.915422976,315880.915422976,fahri,1,24.124
-874112.0462775286,874112.0462775286,fahri,1,24.128
-1291591.7169487067,1291591.7169487067,fahri,1,24.132
-1478920.9653988387,1478920.9653988387,fahri,1,24.136
-1391682.1924519818,1391682.1924519818,fahri,1,24.14
-1035531.086973019,1035531.086973019,fahri,1,24.144
-460049.7750819661,460049.77508196235,fahri,1,24.148
253114.45877198502,-253114.4587719813,fahri,1,24.152
1004313.3644977994,-1004313.3644977994,fahri,1,24.156
1692017.2891271953,-1692017.2891271953,fahri,1,24.16
2227780.8097001966,-2227780.8097001985,fahri,1,24.164
2547832.2523516864,-2547832.252351688,fahri,1,24.168
2622886.371733606,-2622886.371733606,fahri,1,24.172
2462192.708764812,-2462192.708764814,fahri,1,24.176
2113684.438649969,-2113684.438649971,fahri,1,24.18
1657449.795054486,-1657449.795054486,fahri,1,24.184
1192850.6963816881,-1192850.69638169,fahri,1,24.188
822151.720075326,-822151.720075326,fahri,1,24.192
633845.6135441754,-633845.6135441754,fahri,1,24.196
686976.3593041841,-686976.3593041841,fahri,1,24.2
997720.4604210127,-997720.4604210146,fahri,1,24.204
1533897.2918631285,-1533897.2918631285,fahri,1,24.208
2219829.4562467877,-2219829.4562467877,fahri,1,24.212
2948388.667146018,-2948388.667146018,fahri,1,24.216
