EXG0,EXG1,subject,loop,time
2378667.206764513,-2378667.206764513,fahri,1,60.0
2248825.2482720576,-2248825.2482720576,fahri,1,60.004
2161289.9955130136,-2161289.9955130136,fahri,1,60.008
2061225.9131383088,-2061225.9131383088,fahri,1,60.012
1892868.6715019592,-1892868.6715019592,fahri,1,60.016
1617872.1396196058,-1617872.1396196058,fahri,1,60.02
1228091.164631565,-1228091.164631565,fahri,1,60.024
748970.6207670025,-748970.620767002,fahri,1,60.028
233251.90081161354,-233251.9008116126,fahri,1,60.032
-254432.30457607377,254432.3045760747,fahri,1,60.036
-655506.8841751413,655506.8841751413,fahri,1,60.04
-932698.411717318,932698.411717318,fahri,1,60.044
-1079803.7158076707,1079803.7158076703,fahri,1,60.048
-1122833.125658922,1122833.1256589224,fahri,1,60.052
-1111444.3103482411,1111444.3103482411,fahri,1,60.056
-1104875.8332935416,1104875.8332935416,fahri,1,60.06
-1157033.0424468145,1157033.0424468145,fahri,1,60.064
-1303456.3184422785,1303456.3184422785,fahri,1,60.068
-1554118.5557953452,1554118.5557953452,fahri,1,60.072
-1893551.6787225876,1893551.6787225876,fahri,1,60.076
-2287303.740217903,2287303.740217903,fahri,1,60.08
-2691920.63826802,2691920.63826802,fahri,1,60.084
-3066627.0431768205,3066627.0431768205,fahri,1,60.088
-3380862.988144785,3380862.988144785,fahri,1,60.092
-3617671.3228771617,3617671.3228771617,fahri,1,60.096
-3773859.4853475336,3773859.4853475336,fahri,1,60.1
-3856179.4471439463,3856179.4471439463,fahri,1,60.104
-3875087.535399729,3875087.535399729,fahri,1,60.108
-3839628.579432725,3839628.579432725,fahri,1,60.112
-3755594.535443868,3755594.535443868,fahri,1,60.116
-3626233.860899431,3626233.860899431,fahri,1,60.12
-3456430.951284116,3456430.951284116,fahri,1,60.124
-3256072.2490628343,3256072.2490628343,fahri,1,60.128
-3043336.8692899444,3043336.8692899444,fahri,1,60.132
-2844690.3061012435,2844690.306101243,fahri,1,60.136
-2691107.4264282137,2691107.4264282137,fahri,1,60.14
-2611362.2668670933,2611362.2668670937,fahri,1,60.144
-2625002.92598348,2625002.92598348,fahri,1,60.148
-2735100.5958770113,2735100.5958770113,fahri,1,60.152
-2924662.475207676,2924662.4752076752,fahri,1,60.156
-3156600.755111524,3156600.755111524,fahri,1,60.16
-3378137.0136785125,3378137.0136785116,fahri,1,60.164
-3531135.8881903337,3531135.8881903337,fahri,1,60.168
-3563356.762549637,3563356.762549637,fahri,1,60.172
-3440118.2621420003,3440118.2621420003,fahri,1,60.176
-3151982.7185954787,3151982.7185954787,fahri,1,60.18
-2718122.7809015745,2718122.7809015745,fahri,1,60.184
