EXG0,EXG1,subject,loop,time
-5845860.850119919,5845860.850119926,fahri,1,48.0
-5601095.567017853,5601095.567017846,fahri,1,48.004
-5295279.912741937,5295279.912741929,fahri,1,48.008
-4967010.994910724,4967010.994910724,fahri,1,48.012
-4669039.168750867,4669039.168750867,fahri,1,48.016
-4453169.770930126,4453169.770930126,fahri,1,48.02
-4357366.810720339,4357366.810720347,fahri,1,48.024
-4395749.21515625,4395749.21515625,fahri,1,48.028
-4554390.89489238,4554390.89489238,fahri,1,48.032
-4795384.728890598,4795384.728890598,fahri,1,48.036
-5067070.944839597,5067070.944839597,fahri,1,48.04
-5317599.772769608,5317599.772769608,fahri,1,48.044
-5507907.765789561,5507907.765789561,fahri,1,48.048
-5620871.942936793,5620871.942936793,fahri,1,48.052
-5665862.222088583,5665862.222088575,fahri,1,48.056
-5674369.254246309,5674369.254246309,fahri,1,48.06
-5690974.30302313,5690974.303023137,fahri,1,48.064
-5761807.643454783,5761807.643454783,fahri,1,48.068
-5921595.464581981,5921595.464581981,fahri,1,48.072
-6183838.363429964,6183838.363429964,fahri,1,48.076
-6536013.257210597,6536013.257210605,fahri,1,48.08
-6941750.137926601,6941750.137926601,fahri,1,48.084
-7347858.082573324,7347858.082573317,fahri,1,48.088
-7695743.077970833,7695743.077970833,fahri,1,48.092
-7933919.348831952,7933919.348831952,fahri,1,48.096
-8027588.410851032,8027588.410851039,fahri,1,48.1
-7966921.930109337,7966921.930109344,fahri,1,48.104
-7770227.639034726,7770227.639034726,fahri,1,48.108
-7481297.2942013815,7481297.294201389,fahri,1,48.112
-7162617.467923507,7162617.4679235,fahri,1,48.116
-6883302.467887178,6883302.467887178,fahri,1,48.12
-6706018.522198558,6706018.522198562,fahri,1,48.124
-6674008.906475395,6674008.906475395,fahri,1,48.128
-6801597.423079111,6801597.423079114,fahri,1,48.132
-7071286.700650692,7071286.700650696,fahri,1,48.136
-7432826.666970216,7432826.666970216,fahri,1,48.14
-7812624.104201734,7812624.1042017415,fahri,1,48.144
-8129211.459740043,8129211.459740043,fahri,1,48.148
-8308831.389796898,8308831.38979689,fahri,1,48.152
-8303510.530171588,8303510.530171588,fahri,1,48.156
-8103982.523966253,8103982.523966245,fahri,1,48.16
-7744344.684010223,7744344.684010223,fahri,1,48.164
-7297731.604713477,7297731.604713477,fahri,1,48.168
-6862421.22689952,6862421.226899527,fahri,1,48.172
-6541650.844259866,6541650.844259858,fahri,1,48.176
-6421156.737406857,6421156.73740685,fahri,1,48.18
-6547879.447711751,6547879.447711758,fahri,1,48.184
-6916400.12634629,6916400.126346298,fahri,1,48.188
-7467789.755827509,7467789.755827509,fahri,1,48.192
-8100661.0447631255,8100661.0447631255,fahri,1,48.196
-8692035.7993531,8692035.7993531,fahri,1,48.2
-9123713.061344132,9123713.061344124,fahri,1,48.204
-9307169.639780872,9307169.639780872,fahri,1,48.208
-9202245.114354663,9202245.114354663,fahri,1,48.212
-8825159.943848252,8825159.943848245,fahri,1,48.216
-8242493.445086889,8242493.445086896,fahri,1,48.22
-7555597.179190099,7555597.179190107,fahri,1,48.224
-6875277.108699627,6875277.108699627,fahri,1,48.228
-6297222.1353312135,6297222.135331221,fahri,1,48.232
-5882248.230850518,5882248.230850518,fahri,1,48.236
