12Hz,30Hz,8Hz,15Hz,19Hz,24Hz,label
1.98045611660147e-06,4.2029093272333284e-07,5.669140658581817e-07,1.7426568948430976e-06,5.100621093268032e-07,2.871465297260567e-06,12
1.1037980896522193e-06,1.5411286087840814e-06,5.150534911513294e-06,5.36459305605641e-06,7.086842063186438e-07,3.257232800146781e-07,30
1.0427896000586578e-06,4.6372134937522347e-07,5.378582648152275e-07,1.6209044459425392e-06,2.5290984673187467e-07,3.3569152435575234e-07,8
8.92287615739118e-07,6.805134156739889e-07,5.765914201649736e-07,6.951942262967137e-07,2.0739096701083426e-07,9.893435664598549e-07,15
3.0157775562922318e-06,3.4607566745670226e-07,6.835037175689784e-07,2.4041620327874824e-07,4.110353522546184e-07,1.9149069446777744e-07,19
8.546743664461509e-07,4.26016595944656e-06,2.8048633826660563e-07,3.176353072231741e-07,8.119938969541884e-07,7.279186382547209e-07,24
7.090895681183262e-07,6.347433785247603e-07,2.7930286269906013e-06,2.37961202032011e-06,8.018746567861612e-07,2.0728522312496445e-06,12
4.1948048828954754e-07,4.992227831679408e-07,3.3072181493398745e-07,3.484084453442282e-06,1.0307324498359804e-06,2.3432729351346993e-07,30
2.921544199896431e-07,4.7340827108444117e-07,5.156035022824135e-07,2.877631882225451e-07,2.0459766592040296e-07,2.5621148319610043e-07,8
3.925953669381421e-07,7.013203069949903e-07,7.273637466220784e-07,3.43581156525552e-07,9.181566415605857e-06,5.658321700074964e-07,15
5.092960624342169e-07,3.025882268525848e-06,5.753086513848871e-07,2.2009477330664495e-06,4.434268452813139e-06,2.5927117378587994e-06,19
3.8176459404848373e-07,3.4841045465361375e-07,5.882758024600143e-07,8.204942733569531e-07,1.0264560011408186e-06,1.0692246932286764e-06,24
2.152820898826402e-06,1.0136903305646427e-06,2.96058258852927e-07,7.070667242259354e-07,6.051740895629543e-07,2.1413115436352825e-07,12
3.136599113773286e-07,3.876635567001685e-07,2.8633042915005014e-06,3.3897694057261063e-07,4.283842167107643e-07,1.008334265584221e-06,30
2.298376808540503e-06,2.854775158489531e-07,1.024775283131607e-06,5.906977063596663e-07,1.9850419447076106e-07,9.58741917855832e-07,8
1.0764755697389994e-06,7.488995906190787e-07,3.604274956270359e-07,1.6854171892566328e-06,7.62844139468033e-07,2.2934219674475287e-06,15
4.0509128279575535e-07,2.8533127466312536e-07,1.7857137356025454e-06,5.779307319375704e-07,2.3152747262167317e-06,9.830565176338624e-07,19
5.273789177029364e-07,3.0465601935647513e-06,1.6913170852173032e-06,7.673626507553877e-07,2.5893188693171254e-06,6.208144490704726e-07,24
3.983668762641557e-07,8.017341620591978e-07,1.9571152398700775e-06,7.9245177926901e-06,1.9153151019635217e-06,1.2945670242459073e-06,12
5.749470345928209e-07,1.8969904727050846e-06,8.81944207276053e-07,7.658542373056854e-07,2.0764057530042734e-06,2.6485531801068163e-07,30
6.599570782084285e-07,6.822101502601541e-07,7.478061881394105e-07,4.98571010365545e-07,2.1513325143551754e-07,3.3115382930271053e-07,8
2.168424801718416e-06,1.7884892359876225e-06,2.224748379131558e-06,3.851236888285925e-07,1.4048429636814852e-06,3.402433319144027e-06,15
1.7720789656228142e-06,4.2190878049575e-06,9.844526459579228e-07,1.8083717363559515e-06,4.988086247381673e-07,8.855263678442249e-07,19
4.448806507073577e-07,6.558799537204063e-06,1.7754527232294315e-06,5.35112892330325e-07,7.033514287102527e-07,1.4880683604223677e-06,24
5.911825924909131e-07,1.4401293395582826e-06,7.48502785252736e-07,4.6220909671879085e-07,5.888423320055125e-07,5.573683128368145e-07,12
