Delta_15.5Hz,Delta_13.5Hz,Delta_11.5Hz,Delta_9.5Hz,Delta_5.5Hz,Delta_7.5Hz,Theta_15.5Hz,Theta_13.5Hz,Theta_11.5Hz,Theta_9.5Hz,Theta_5.5Hz,Theta_7.5Hz,Alpha_15.5Hz,Alpha_13.5Hz,Alpha_11.5Hz,Alpha_9.5Hz,Alpha_5.5Hz,Alpha_7.5Hz,Beta_15.5Hz,Beta_13.5Hz,Beta_11.5Hz,Beta_9.5Hz,Beta_5.5Hz,Beta_7.5Hz,Gamma_15.5Hz,Gamma_13.5Hz,Gamma_11.5Hz,Gamma_9.5Hz,Gamma_5.5Hz,Gamma_7.5Hz,label
1.0508361982797254e-06,1.2447472384491398e-06,1.5224753847631334e-06,1.964585741420777e-06,1.6112150115765722e-06,2.9192897412766428e-06,1.738132970885431e-10,2.1092638746722514e-10,2.869914861314271e-10,3.714435425905549e-10,1.4492865019199996e-08,1.3492455874786202e-08,3.9005965124516706e-11,8.141548546447552e-11,6.275619468532057e-10,1.1157811896644887e-09,6.883049685768583e-11,5.141423398136169e-10,-0.7904319385200709,-0.9759394297057034,-0.9600696479047414,-0.9878915920981042,-0.9944512446165904,-0.9927757259299518,-0.9970804148192076,-0.9972561962726686,-0.9973932865969292,-0.9974995043736294,-0.9976387743224128,-0.9975801328963125,15.5
4.682932813193652e-07,5.750855981423442e-07,7.369208918639458e-07,1.0844676692212118e-06,1.9298215870322544e-06,2.121114360209564e-06,5.915347101037582e-10,6.746794234402387e-10,1.0215512324940335e-09,1.0284600948651246e-10,2.4085233252257865e-08,3.4529329950849785e-09,5.055622587235575e-12,1.7559909082365266e-10,6.0171029825362154e-09,2.5995518515564697e-09,2.6156243837505144e-11,9.495030317552278e-10,-0.8452629399431896,-0.7110758441015129,-0.8978735994451833,-0.9912583029886296,-0.9953138584214923,-0.9949509597695647,-0.9934426031444368,-0.9938220274317757,-0.9941140985133373,-0.9943381217334732,-0.9946289911087958,-0.9945068646497279,13.5
7.139946416878651e-07,8.237593687732137e-07,9.706098417772147e-07,1.1866950843097968e-06,3.03831633485796e-06,1.4918483372539093e-06,1.7863466261758276e-10,2.736548765369662e-10,4.3942588456857834e-10,1.4967200256954527e-09,2.021318290523766e-08,7.129946744122151e-09,2.9478086638334844e-12,3.921041269450143e-11,2.877800830969335e-09,1.4912885371032303e-09,3.6507574741051485e-11,4.6280645982221813e-10,-0.9547941626928624,-0.8658583361336656,-0.8754484786236081,-0.9785695309101544,-0.9875105912132253,-0.9850780634870825,-0.9978486523084793,-0.997943227632166,-0.9980197258312833,-0.9980804268833585,-0.998161904897037,-0.9981273340355278,11.5
1.838190978875609e-07,2.146522458112976e-07,2.566007079596311e-07,3.3206241523142666e-07,1.6060629363101597e-06,4.4822752431894486e-07,8.680128837923462e-11,1.0008149864404459e-10,1.2261758275400325e-10,1.678823136064267e-09,1.0470054878641832e-08,8.968916720419884e-09,6.120015605404205e-11,3.186823027689911e-11,3.0315088217491848e-09,1.4347215748777842e-08,5.6063542697160074e-11,5.934898128501231e-10,-0.9888949832473363,-0.8668530036108741,-0.9584490647144556,-0.9864378133090076,-0.9963951084293846,-0.9953655957713765,-0.997268712323774,-0.9974458077753174,-0.9975803004782768,-0.9976823758299825,-0.9978136331317853,-0.997758698915711,9.5
7.89107226006891e-07,9.060699780460979e-07,1.0645037132883672e-06,1.2915283970627023e-06,2.4500485290568363e-06,1.6394659372864773e-06,9.340744844266169e-11,2.5070556741724204e-10,4.70670613594848e-10,1.9982103194315926e-09,5.518579945795743e-07,2.5614392717976386e-08,1.523636772304826e-11,3.10234060663106e-11,5.44810996316869e-09,2.2363705887151752e-09,9.352624230629658e-11,4.0815584245734726e-10,-0.8988126152875298,-0.9365259083040276,-0.92751700022283,-0.9919294138032785,-0.9993187210860986,-0.9985227962160902,-0.9969400694981677,-0.9971550130810234,-0.9973196044588777,-0.9974451612255788,-0.9976073427379052,-0.9975393709574992,5.5
-0.9983411926997129,-0.9977902355131988,-0.9968959571224918,-0.9952211869660916,-0.9690295432564751,-0.9916262759089974,-0.9994834892052282,-0.9992495599555061,-0.9983218173516075,-0.9932133889680117,-0.674437934000636,-0.7237169335263108,-0.9987921456492866,-0.9964592014395397,-0.7148056277599444,-0.7081008705050681,-0.996763968965799,-0.9580436159567093,-0.8465227144434139,-0.8529382751204941,-0.9267168104247497,-0.9848951171785175,-0.9911955292875848,-0.9905976512255564,-0.9962030119185855,-0.996474976843922,-0.996679544058101,-0.9968335690560253,-0.9970299967589549,-0.9969480110044,7.5
5.331954498477565e-07,6.16679671494591e-07,7.326614234748341e-07,8.992205666191744e-07,4.06764312832486e-06,1.1629295324500077e-06,1.4708578799371708e-10,1.7313833700072223e-10,2.2054474912991395e-10,5.483469789346884e-10,8.359190062368071e-09,3.719712610150694e-08,1.465866317218456e-11,1.7184087486299404e-11,4.562442645905662e-10,1.2749248878840547e-09,1.6972145910898462e-11,1.1512280018166621e-10,-0.8649030945992678,-0.9510704015145021,-0.9764085278252278,-0.9900347213152113,-0.9956404682231074,-0.9950156799337405,-0.9989027856911182,-0.9989783585914723,-0.999036811603855,-0.9990818224259836,-0.9991404515837122,-0.9991158192952779,15.5
6.679327844150151e-07,8.117082677672194e-07,1.063404763024245e-06,1.5098887110043258e-06,3.952342478019677e-06,2.735521960450793e-06,2.1824547724591525e-10,2.6595053936873114e-10,3.07225633822128e-10,1.1593671578324916e-09,7.525322531787282e-09,1.9348152857645573e-08,1.002442018283034e-10,6.198996871376039e-11,1.3184147662492762e-08,3.972046247469052e-09,7.399153512110956e-11,5.14113085436918e-10,-0.7702821901390202,-0.49404197833930497,-0.913741916327654,-0.9976536162508749,-0.996434739886779,-0.9955227947062223,-0.9989709861408574,-0.9990390862082396,-0.9990919295388749,-0.9991328063258882,-0.9991859548320192,-0.9991636652645378,13.5
8.123922876079881e-07,9.353163336056625e-07,1.1012152228428995e-06,1.3373307278241597e-06,2.3244425363389e-06,1.6994525435243268e-06,1.4564810468797873e-10,1.7172313571123254e-10,2.110584484960043e-10,3.057676889461902e-10,1.52311666612448e-08,5.459774454763533e-08,4.007627563140659e-11,5.863320939880623e-11,7.398917756251677e-09,1.7555160658488944e-09,7.681272284898455e-11,3.762466449508395e-10,-0.9044491123300261,-0.788833027466494,-0.946237019517149,-0.9981243596828213,-0.9990736378004239,-0.9986510945525777,-0.9973339725935302,-0.9975118102673204,-0.9976518716595433,-0.9977612451042941,-0.9979056646637859,-0.9978447050517621,11.5
5.127644809865828e-07,6.323257029094975e-07,8.32357301527864e-07,1.1652953427754298e-06,2.0197257273979474e-05,2.3008873702989874e-06,5.646105805112711e-11,6.718930967153369e-11,8.292583286717559e-11,1.1662623644603798e-09,7.522482192712232e-09,3.0832656983115214e-09,1.2103595903312225e-11,3.991973418493444e-11,2.1201581046348394e-09,1.393055670817489e-09,1.1147077705331299e-10,2.0468632344616822e-10,-0.8429048355263762,-0.8487083367445147,-0.9630738689617319,-0.9908143195137687,-0.9957168465403469,-0.995326591078816,-0.9961664859245845,-0.9964147177625571,-0.9966029068765302,-0.996745551358849,-0.9969287875118195,-0.9968521205353769,9.5
