Delta_30Hz,Delta_12Hz,Delta_8Hz,Delta_15Hz,Delta_19Hz,Delta_24Hz,Theta_30Hz,Theta_12Hz,Theta_8Hz,Theta_15Hz,Theta_19Hz,Theta_24Hz,Alpha_30Hz,Alpha_12Hz,Alpha_8Hz,Alpha_15Hz,Alpha_19Hz,Alpha_24Hz,Beta_30Hz,Beta_12Hz,Beta_8Hz,Beta_15Hz,Beta_19Hz,Beta_24Hz,Gamma_30Hz,Gamma_12Hz,Gamma_8Hz,Gamma_15Hz,Gamma_19Hz,Gamma_24Hz,label
2.6256595231366475e-09,6.0417491010156255e-09,9.014428981046763e-09,4.879873283236691e-09,3.91026538926198e-09,3.1683781154256963e-09,9.186538141303657e-09,7.439756227745065e-08,7.524525826863027e-07,4.6170192502525964e-08,2.6525555085754604e-08,1.5138114373147715e-08,1.7492072623692678e-08,2.5181352209524555e-06,1.0652257249055275e-06,9.528346073262028e-08,3.769037082435034e-08,2.2883848982413468e-08,7.331202742100196e-07,1.8876687597479958e-06,7.557052050799484e-08,1.2526554765690534e-06,9.635533447238664e-07,2.3752770284546365e-06,1.2259763218502862e-06,1.2155652429068908e-08,1.1077512573898218e-08,1.3596723469344596e-08,1.8065945683876095e-08,5.295442306874065e-08,30
2.4773534335054137e-09,5.7430825650683914e-09,9.060125649718032e-09,4.616284132730186e-09,3.6928325952700902e-09,2.9901879861071734e-09,1.2978001673324968e-08,3.3297261581299864e-07,2.5656081017511045e-05,9.354656255178284e-08,4.5353998223696124e-08,2.286754047231554e-08,5.718815920818798e-09,5.65548171327368e-06,2.683635518418992e-06,2.8513573835375894e-08,1.364938373438207e-08,8.119340311196765e-09,1.035701130247535e-06,1.0821321166365472e-06,1.8432519049982332e-07,1.7680984191192906e-06,3.3444191967491044e-06,3.839620153489598e-07,1.1587703458992848e-06,3.08087952372027e-08,3.37560588925534e-08,2.7836632110478376e-08,2.3467397858301098e-08,2.115147296199993e-08,12
3.808525717019506e-09,8.775318860454462e-09,1.2296536844313977e-08,7.073782282152052e-09,5.669728297963417e-09,4.595320679534609e-09,1.7379637062830966e-08,3.1296591596063905e-08,9.23424620102864e-07,2.183811087519416e-08,1.7388657569394894e-08,1.651217235165703e-08,4.9538644131263965e-08,4.301975415121895e-06,1.5716918002062208e-06,2.343241476410185e-07,1.5912445128218877e-07,8.655844258020906e-08,5.541510344486689e-07,1.2108015392531257e-06,2.5662457636688174e-07,1.3225029621422024e-06,1.6531913976103318e-06,3.293339898680081e-06,4.4143857969025646e-07,2.0170308701050743e-08,2.005864407905733e-08,2.001076926383405e-08,1.8965396364478693e-08,1.2098037849295196e-08,8
8.272605767079e-09,1.864790966088492e-08,2.7596552154562914e-08,1.5196165714659315e-08,1.224654189169172e-08,9.960019198285153e-09,3.923601665789533e-09,2.4635697148944757e-08,3.238440608233084e-06,1.4146222859778845e-08,8.416017105439266e-09,5.470750574776417e-09,1.8278221325385147e-08,1.2983227938856423e-06,1.36791230425648e-05,2.7701167748528377e-08,1.7087630199696946e-08,1.545207017894512e-08,1.010457646610785e-06,9.27827609242815e-07,5.773756278637521e-08,7.169698195197416e-06,2.901682965295027e-06,2.22311913211648e-06,1.8592300923825356e-06,7.219790432166917e-09,6.6491804284751765e-09,7.928559142555969e-09,9.557765245915562e-09,1.4915548962601832e-08,15
2.9419139901953884e-09,6.740300706464808e-09,1.0083534063287658e-08,5.452264750793745e-09,4.37500519145928e-09,3.548087157412283e-09,1.2939978755177606e-08,1.4284141358622549e-07,1.1628162193688674e-06,7.94449087626603e-08,3.531620351715503e-08,1.9083239988226808e-08,2.9093812248248696e-08,1.2783357063450573e-06,1.483878893260293e-06,1.4839966433477514e-07,7.952403885402859e-08,4.5366401524304933e-08,9.293131245646791e-07,1.0971820997296433e-06,4.223350555387917e-07,1.046711772589859e-06,1.1265859000131329e-06,3.733649559301e-06,3.3286250952224705e-06,1.4113623270084474e-08,1.2794969750373753e-08,1.5773881367753262e-08,1.9781024984677487e-08,3.233191997464857e-08,19
9.364680697565575e-09,2.2882934824774992e-08,3.852284929939387e-08,1.795194060072447e-08,1.4151736227319134e-08,1.1361021123867943e-08,1.3712748603289526e-08,3.258456829358103e-07,8.073285313603407e-07,7.541937024901912e-08,3.188062686065862e-08,1.8949447788685347e-08,6.678309849572628e-09,2.4491681169802604e-06,3.7187178744679805e-06,4.3191330567626807e-08,1.7935154361659045e-08,9.782308241224058e-09,3.1854603140257787e-06,1.670158270572486e-06,9.276979540118191e-08,8.625854603927507e-07,7.193070074518193e-06,3.1351035222892953e-06,1.3564444010794041e-06,2.7829652360367163e-08,2.668847559617049e-08,2.9106750787377678e-08,3.1611574136114484e-08,3.227272482586585e-08,24
3.6328566821453023e-09,8.367231296713129e-09,1.2361665580051806e-08,6.742912506130239e-09,5.405927427926116e-09,4.382308793626777e-09,5.0608883750413725e-09,2.929364367743048e-08,2.3949048986726673e-06,1.6560213311755945e-08,9.996150851510066e-09,6.680239028611368e-09,1.770102325826528e-08,8.862267604214935e-07,1.2023898849911063e-06,2.2554069534219678e-07,1.6685315995523808e-07,4.845392215235833e-08,1.1205603432373756e-06,7.587956725729761e-07,1.3783630525843193e-07,3.505415618332286e-06,1.4488323999972685e-06,2.9701550431360246e-06,5.513421932890061e-07,3.3221971229568936e-08,3.2585624309966477e-08,3.387032493362696e-08,3.4965918216389724e-08,4.006695358826917e-08,30
3.5140409471168255e-09,8.216104074865171e-09,1.2491633005762282e-08,6.580833045166656e-09,5.251983070664323e-09,4.245920615097987e-09,3.853347402271723e-08,4.3545089006835624e-07,1.5016141353685342e-06,4.979138175653652e-07,2.41312941795524e-07,8.792633932053207e-08,6.719529993537421e-08,2.368016632003922e-06,6.886912082337826e-06,1.9231868036984068e-07,1.1308222114259081e-07,8.514196586650868e-08,1.2294942433044298e-06,1.4909254360540025e-06,4.3670625948788455e-08,9.187861076398463e-07,1.3866631959902342e-06,6.978189422413017e-07,1.640111097822583e-06,1.0811273376543085e-08,1.0200314592978543e-08,1.1546803513340365e-08,1.3148778510441161e-08,1.7868050872227315e-08,12
2.3002018068041252e-09,5.203708464129875e-09,7.589683048703222e-09,4.23500345902994e-09,3.4095130607703084e-09,2.770803253504539e-09,2.0859753091517774e-08,7.546207264619298e-08,7.260884302140447e-07,4.589494390083715e-08,3.044421542641729e-08,2.3135366289395165e-08,9.430530356624445e-09,9.315854960223469e-07,2.8305085303381716e-06,6.975305327783232e-08,2.7713646155724803e-08,1.477336186717082e-08,2.8713607708175104e-07,5.16516528326072e-07,8.741956397662065e-08,1.9017266415510825e-06,6.732328113101538e-06,1.1602518392717087e-06,2.9535678908176877e-07,1.0397973315701137e-08,1.0167237329827827e-08,1.0611714396091543e-08,1.0948451367731593e-08,1.3178258706503243e-08,8
4.420534993609948e-09,1.0084176493840857e-08,1.5545824461060676e-08,8.168876519665247e-09,6.565715970907604e-09,5.329026164790918e-09,4.8947846498226255e-08,4.488049140105588e-07,1.1382765671252848e-05,2.8377165667281545e-07,1.7759485637647288e-07,9.175979076569973e-08,1.3129052844895739e-08,2.1262500567997833e-06,6.360375856606648e-06,6.01470194760978e-08,3.19502235224256e-08,1.9121700833846234e-08,3.5423896410646805e-07,5.207170738485978e-07,4.95908451525473e-08,4.8317699769540035e-06,2.4017174081736314e-06,2.616304643654477e-06,3.223956996367683e-07,1.8823011926905053e-08,1.6212532483184106e-08,2.2468013560761335e-08,3.300487255719631e-08,1.8738342666413388e-07,15
1.480157918454239e-08,3.521892516511471e-08,5.864559882162723e-08,2.8019987940997026e-08,2.2241633201858235e-08,1.7921128525610897e-08,4.963010669101209e-09,4.145177723291482e-08,1.0695157168782998e-06,1.8665345546953205e-08,1.0106288639288863e-08,6.632320803667824e-09,3.505024342986829e-08,2.5787236641039435e-06,5.613282151484267e-06,1.5233052419461046e-07,6.278516212487872e-08,4.132240638554663e-08,3.9881150043497016e-07,1.6084802532123632e-06,3.621113819907151e-08,9.738409365023237e-07,9.357395947540148e-07,3.3678812875748143e-06,5.340442501555742e-07,3.387005437227586e-08,3.13059486112266e-08,3.700858025590392e-08,4.4186478975749566e-08,5.348798798321397e-08,19
1.5759636040613145e-08,3.943730270128398e-08,6.82614852975938e-08,3.063063142016986e-08,2.3978495189425075e-08,1.9168287956894403e-08,1.793914961023546e-08,6.174636868472305e-08,4.974366199839153e-06,3.769369322226268e-08,2.5294273120479716e-08,1.9986268917637773e-08,1.4092821243316678e-08,1.8167088660647757e-06,8.339923157796303e-06,1.1452896880870256e-07,4.484560162110185e-08,2.3162769813289685e-08,1.2072996731227192e-06,7.097758728535908e-07,8.377305921181133e-08,2.154268029852524e-06,9.015641617704517e-07,7.336077592623447e-07,2.0279616991247806e-07,2.484279709724646e-08,2.245027735936489e-08,2.7885957598616784e-08,3.5218615135335085e-08,7.348721203781494e-08,24
3.345600352311351e-09,7.689217929041092e-09,1.1087718410074388e-08,6.212464598309708e-09,4.980246770536212e-09,4.0364598885567204e-09,7.997630335765393e-09,3.7379266293324775e-08,1.7692674522118423e-06,2.1415973661120802e-08,1.3709109736304015e-08,9.871559625285187e-09,2.7594742435521624e-08,1.1359595118387578e-05,6.852060174256103e-07,3.785553427948507e-07,2.3207445437600782e-07,7.630330089991588e-08,1.6711991646656266e-06,4.569617333860521e-06,4.54349470269122e-08,5.554503591687077e-06,2.797268278120768e-06,4.683316876530341e-07,3.5529230790753985e-07,1.3698343070966956e-08,1.2604317534137266e-08,1.5047433354897777e-08,1.8065148543744414e-08,3.0122332128623697e-08,30
3.760296130028706e-09,8.716263266705937e-09,1.3766536799408868e-08,7.011247249444352e-09,5.607794506534702e-09,4.539803255543262e-09,8.7645948831927e-09,1.0809191258731587e-07,2.285187124306809e-06,4.646333340296849e-08,2.5324393471137796e-08,1.43634895088951e-08,5.3653511633555695e-09,8.627891437962276e-07,1.4975611967726898e-06,3.705978035561941e-08,1.6782477019194886e-08,8.89303591877777e-09,3.1728983763135155e-06,6.456736211801761e-07,4.9565849702393194e-08,1.6986156863851853e-06,2.8538925919141533e-06,1.6162802011776556e-06,1.9786432334800708e-06,1.5918954321403334e-08,1.5112223861191154e-08,1.702144752924184e-08,2.0283675183918604e-08,5.1155446434414387e-08,12
2.392292863806489e-09,5.8179782103096045e-09,1.0831777697006828e-08,4.566234501623967e-09,3.6049954688088803e-09,2.8986659739160814e-09,1.3181267299877675e-08,9.458179023313917e-08,1.1610058020528058e-06,5.1675903500747467e-08,3.0229800440650934e-08,1.910065361432345e-08,2.774460633458986e-08,2.3566175044731352e-06,1.2263211248142447e-06,1.2292674755887134e-07,6.479971942363605e-08,3.930354458558938e-08,6.331448189067501e-07,9.58128796912927e-07,2.293582181400744e-07,1.7678084607286593e-06,1.2471426463767088e-06,2.0207218140999572e-06,1.009700814846859e-06,1.9575860932263822e-08,1.748427302938893e-08,2.243304547677738e-08,3.0765806069421586e-08,1.0637406400171301e-07,8
7.354911624180005e-09,1.7158437837228036e-08,3.0934920014491496e-08,1.3744661631065469e-08,1.0980247489023043e-08,8.883243141077912e-09,1.4825104754923046e-08,1.173955294531126e-06,2.782389302347088e-06,5.267976263545471e-07,1.3345314675561326e-07,3.771851958545014e-08,1.3655444608406953e-08,1.7922053470731392e-06,3.879198727130273e-06,1.3529820874769172e-07,4.723696772623853e-08,2.376707286533275e-08,1.2040131063262294e-06,3.7864532376197246e-07,1.1674740602041211e-07,1.1297548541122637e-06,7.264666904538419e-06,6.833126092731234e-07,3.104560599931361e-06,1.554994044639102e-08,1.3362577044873092e-08,1.8959242731320103e-08,3.241797985609196e-08,5.357496235536274e-08,15
5.740549702260012e-09,1.3062018633380745e-08,1.9213808100104757e-08,1.0606812983482428e-08,8.5263549554071e-09,6.920519435293926e-09,2.0197750083550403e-08,7.401752527558259e-08,2.5613077301867015e-06,4.7404036362941326e-08,3.2677833217142904e-08,2.468865178961721e-08,9.163498126962821e-09,1.337013333990722e-06,1.8703948326259656e-06,5.603967467848747e-08,2.5829736793880897e-08,1.4289945504675217e-08,3.412301345373514e-07,9.299347540348002e-07,6.641103128535164e-08,7.144805987402414e-07,9.768502500229204e-07,3.973077652763557e-06,3.67907328546746e-07,1.0950723994263e-08,1.0420180607262353e-08,1.1553694834187667e-08,1.2747244815258796e-08,1.5528692665078836e-08,19
3.201960141474558e-09,7.395222101358456e-09,1.110226427458727e-08,5.962523086378013e-09,4.77272082965996e-09,3.864966291455829e-09,3.227120731752464e-08,8.368339243780554e-08,1.742510304270084e-06,4.882476895007315e-08,3.570178491729692e-08,3.1136038858292636e-08,2.303338625386786e-08,4.464675234683302e-06,2.573871304312192e-06,2.1140933631480507e-07,9.80731194033524e-08,4.458587782307788e-08,1.6011319798892032e-06,7.641792757473453e-07,6.493234772086964e-08,1.1887250381259484e-06,2.2358655288878815e-06,1.473870732515703e-06,7.018831040261908e-07,4.376034573594367e-08,4.413567561423193e-08,4.361274086317479e-08,4.427902577930354e-08,2.2226608054065622e-07,24
