start_time,end_time,prediksi
0.0,1.0,depan
1.0,2.0,depan
2.0,3.0,depan
3.0,4.0,depan
4.0,5.0,depan
5.0,6.0,depan
6.0,7.0,depan
7.0,8.0,depan
8.0,9.0,depan
9.0,10.0,depan
10.0,11.0,belakang
11.0,12.0,belakang
12.0,13.0,belakang
13.0,14.0,belakang
14.0,15.0,belakang
15.0,16.0,belakang
16.0,17.0,belakang
17.0,18.0,belakang
18.0,19.0,belakang
19.0,20.0,belakang
20.0,21.0,belakang
21.0,22.0,belakang
22.0,23.0,kanan
23.0,24.0,kanan
24.0,25.0,kanan
25.0,26.0,kanan
26.0,27.0,kanan
27.0,28.0,kanan
28.0,29.0,kanan
29.0,30.0,kanan
30.0,31.0,kanan
31.0,32.0,kanan
32.0,33.0,kanan
33.0,34.0,kanan
34.0,35.0,depan
35.0,36.0,depan
36.0,37.0,depan
37.0,38.0,depan
38.0,39.0,depan
39.0,40.0,depan
40.0,41.0,depan
41.0,42.0,depan
42.0,43.0,depan
43.0,44.0,depan
44.0,45.0,depan
45.0,46.0,depan
46.0,47.0,depan
47.0,48.0,depan
48.0,49.0,depan
49.0,50.0,depan
50.0,51.0,depan
51.0,52.0,depan
52.0,53.0,depan
53.0,54.0,depan
54.0,55.0,depan
55.0,56.0,depan
56.0,57.0,depan
57.0,58.0,depan
58.0,59.0,depan
59.0,60.0,depan
60.0,61.0,depan
61.0,62.0,depan
62.0,63.0,depan
63.0,64.0,depan
64.0,65.0,depan
65.0,66.0,depan
66.0,67.0,depan
67.0,68.0,depan
68.0,69.0,depan
69.0,70.0,depan
70.0,71.0,depan
71.0,72.0,depan
72.0,73.0,depan
73.0,74.0,depan
74.0,75.0,depan
75.0,76.0,depan
76.0,77.0,depan
77.0,78.0,depan
78.0,79.0,depan
79.0,80.0,depan
80.0,81.0,depan
81.0,82.0,depan
82.0,83.0,depan
83.0,84.0,belakang
84.0,85.0,belakang
85.0,86.0,belakang
86.0,87.0,belakang
87.0,88.0,belakang
88.0,89.0,depan
89.0,90.0,belakang
90.0,91.0,belakang
91.0,92.0,belakang
92.0,93.0,belakang
93.0,94.0,belakang
94.0,95.0,depan
95.0,96.0,depan
96.0,97.0,belakang
97.0,98.0,belakang
98.0,99.0,depan
99.0,100.0,depan
100.0,101.0,kanan
101.0,102.0,depan
102.0,103.0,depan
103.0,104.0,depan
104.0,105.0,depan
105.0,106.0,belakang
106.0,107.0,depan
107.0,108.0,depan
108.0,109.0,belakang
109.0,110.0,depan
110.0,111.0,kiri
111.0,112.0,depan
112.0,113.0,depan
113.0,114.0,depan
114.0,115.0,depan
115.0,116.0,depan
116.0,117.0,depan
117.0,118.0,depan
118.0,119.0,belakang
119.0,120.0,belakang
120.0,121.0,depan
121.0,122.0,depan
122.0,123.0,depan
123.0,124.0,depan
124.0,125.0,depan
125.0,126.0,depan
126.0,127.0,depan
127.0,128.0,depan
128.0,129.0,depan
129.0,130.0,depan
130.0,131.0,belakang
131.0,132.0,belakang
132.0,133.0,belakang
133.0,134.0,depan
134.0,135.0,depan
135.0,136.0,depan
136.0,137.0,depan
137.0,138.0,depan
138.0,139.0,depan
139.0,140.0,depan
140.0,141.0,depan
141.0,142.0,depan
142.0,143.0,depan
143.0,144.0,belakang
144.0,145.0,belakang
145.0,146.0,depan
146.0,147.0,belakang
147.0,148.0,depan
148.0,149.0,depan
149.0,150.0,depan
150.0,151.0,depan
151.0,152.0,depan
152.0,153.0,depan
153.0,154.0,depan
154.0,155.0,belakang
155.0,156.0,depan
156.0,157.0,belakang
157.0,158.0,depan
158.0,159.0,belakang
159.0,160.0,depan
160.0,161.0,belakang
161.0,162.0,belakang
162.0,163.0,belakang
163.0,164.0,depan
