loop,start_time,end_time,EXG0_mean,EXG0_std,EXG0_var,EXG0_skew,EXG0_kurtosis,EXG0_hjorth_activity,EXG0_hjorth_mobility,EXG0_hjorth_complexity,EXG0_delta,EXG0_theta,EXG0_alpha,EXG0_beta,EXG0_gamma,EXG1_mean,EXG1_std,EXG1_var,EXG1_skew,EXG1_kurtosis,EXG1_hjorth_activity,EXG1_hjorth_mobility,EXG1_hjorth_complexity,EXG1_delta,EXG1_theta,EXG1_alpha,EXG1_beta,EXG1_gamma,prediksi
1,24.0,24.996,628854.4297819118,2348460.631991108,5515267340012.075,0.5311203470268361,-0.3555069866663962,5515267340012.075,0.183485886407193,2.0877956321152773,0,0,0,0,0,-628854.4297819119,2348460.631991108,5515267340012.075,-0.5311203470268361,-0.3555069866663958,5515267340012.075,0.183485886407193,2.0877956321152773,0,0,0,0,0,belakang
1,25.0,25.996,-502568.3489472543,1994003.1710209923,3976048646041.773,0.6278623895821587,0.5595873610307232,3976048646041.773,0.2004514549506424,1.9614272932718404,0,0,0,0,0,502568.3489472544,1994003.1710209923,3976048646041.773,-0.6278623895821588,0.5595873610307232,3976048646041.773,0.2004514549506424,1.96142729327184,0,0,0,0,0,kanan
1,26.0,26.996,-6675858.103174202,5958692.165519367,35506012323421.88,0.1329872885454451,-0.0682981575026571,35506012323421.88,0.1038925460685379,3.450290078460527,0,0,0,0,0,6675858.103174202,5958692.165519367,35506012323421.88,-0.1329872885454452,-0.0682981575026571,35506012323421.88,0.1038925460685379,3.450290078460527,0,0,0,0,0,kanan
1,27.0,27.996,8057212.561910473,3145964.4239526046,9897092156775.443,-0.6093403721946246,-0.5304197870313954,9897092156775.443,0.1683172837448321,2.2142574835301385,0,0,0,0,0,-8057212.561910473,3145964.4239526046,9897092156775.443,0.6093403721946248,-0.5304197870313963,9897092156775.443,0.1683172837448321,2.214257483530139,0,0,0,0,0,kanan
1,28.0,28.996,146778.73127434624,2350629.534783922,5525459209798.478,0.5543762950542623,-0.6953406987582555,5525459209798.478,0.1854587982973663,2.103442516259656,0,0,0,0,0,-146778.73127434636,2350629.534783922,5525459209798.478,-0.5543762950542622,-0.6953406987582551,5525459209798.478,0.1854587982973664,2.1034425162596557,0,0,0,0,0,kanan
1,29.0,29.996,-1392107.098189748,2130083.1849598647,4537254374848.762,0.7630510891246745,0.7707105259785592,4537254374848.762,0.2149917755145917,1.7712152647928416,0,0,0,0,0,1392107.098189748,2130083.1849598647,4537254374848.762,-0.7630510891246746,0.7707105259785592,4537254374848.762,0.2149917755145917,1.7712152647928416,0,0,0,0,0,kanan
1,30.0,30.996,-2780665.3854281018,3607723.6364682736,13015669837131.863,-0.2316663962655863,-0.9340046588679844,13015669837131.863,0.1389560810460119,2.747987304800604,0,0,0,0,0,2780665.385428102,3607723.6364682736,13015669837131.863,0.2316663962655864,-0.9340046588679836,13015669837131.863,0.1389560810460119,2.7479873048006027,0,0,0,0,0,kanan
1,31.0,96.992,-233578.2286825781,1462680.850915766,2139435271635.6692,0.0045378395302286,-0.6970813570866259,2139435271635.6692,0.3283228855341303,2.329541716542213,0,0,0,0,0,233578.22868257808,1462680.850915766,2139435271635.6692,-0.0045378395302286,-0.6970813570866254,2139435271635.6692,0.3283228855341303,2.329541716542212,0,0,0,0,0,kanan
2,96.996,97.992,-1165019.6425710607,2135666.6138688754,4561071885594.147,0.2211853153399966,-0.5043387563314732,4561071885594.147,0.2301133751201617,1.7331260337360874,0,0,0,0,0,1165019.642571061,2135666.6138688754,4561071885594.147,-0.2211853153399968,-0.5043387563314732,4561071885594.147,0.2301133751201617,1.7331260337360876,0,0,0,0,0,kanan
2,97.996,98.992,1670055.7388750922,2815035.6752421944,7924425852886.278,-0.2380551211334002,-0.4189329803642558,7924425852886.278,0.1640844523063011,2.0306764770422485,0,0,0,0,0,-1670055.7388750918,2815035.6752421944,7924425852886.278,0.2380551211334001,-0.4189329803642554,7924425852886.278,0.1640844523063012,2.0306764770422485,0,0,0,0,0,kanan
2,98.996,99.992,1083377.5596589586,4334783.1565901125,18790345014657.34,0.4499324096976531,-0.3192479083928798,18790345014657.34,0.1494360993639878,2.3219692059577977,0,0,0,0,0,-1083377.5596589583,4334783.156590113,18790345014657.344,-0.4499324096976528,-0.3192479083928807,18790345014657.344,0.1494360993639878,2.321969205957798,0,0,0,0,0,kanan
2,99.996,100.992,42234.52856658745,2751173.8373166625,7568957483135.69,0.1452472404590503,0.1314603707953225,7568957483135.69,0.1857194457078005,2.064899982362264,0,0,0,0,0,-42234.52856658733,2751173.837316663,7568957483135.691,-0.14524724045905,0.1314603707953221,7568957483135.691,0.1857194457078005,2.0648999823622645,0,0,0,0,0,kanan
2,100.996,101.992,-1049377.6830670163,1843061.9595412845,3396877386708.16,-0.2120906284583655,-0.0125373396880927,3396877386708.16,0.2821490197218416,1.4064769541091673,0,0,0,0,0,1049377.6830670163,1843061.9595412845,3396877386708.159,0.2120906284583652,-0.0125373396880927,3396877386708.159,0.2821490197218416,1.406476954109167,0,0,0,0,0,kanan
